profile,config,nx,nz,mode,strategy,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,1,8,33,cold,production,0.00214882638888889,0.00194450694444444,0.00870615833333333,0.00870615833333333,0.00329260555555556,0.00209,0.00194450694444444,0.00214882638888889
constant,1,8,33,cold,baseline,0.00223338333333333,0.00187439722222222,0.00611658472222222,0.00611658472222222,0.00243565,0.00223338333333333,0.00187439722222222,0.00190174861111111
constant,1,8,33,cold,setup,0.00215110972222222,0.00186806805555556,0.00432603333333333,0.00432603333333333,0.00215110972222222,0.00223150833333333,0.00194125694444444,0.00186806805555556
constant,1,8,33,cold,source,0.00215504027777778,0.00181101527777778,0.00301971805555556,0.00301971805555556,0.00258204722222222,0.00215504027777778,0.00187711111111111,0.00181101527777778
constant,1,8,33,cold,spectral,0.00215824444444444,0.00199315416666667,0.00320394166666667,0.00320394166666667,0.00266285555555556,0.0020589375,0.00215824444444444,0.00199315416666667
constant,1,8,33,cold,combined,0.00204405416666667,0.00176380694444444,0.00281492361111111,0.00281492361111111,0.00239033055555556,0.00176380694444444,0.00181785277777778,0.00204405416666667
constant,1,8,33,warm,production,0.00122269305555556,0.00105088888888889,0.00139985416666667,0.00133851666666667,0.00139985416666667,0.00117604722222222,0.00122269305555556,0.00105088888888889
constant,1,8,33,warm,baseline,0.00108699722222222,0.00101863888888889,0.00125658333333333,0.0012198125,0.00125658333333333,0.00104992222222222,0.00108699722222222,0.00101863888888889
constant,1,8,33,warm,setup,0.00100964861111111,0.000942545833333333,0.00129134027777778,0.00112731388888889,0.00129134027777778,0.00100964861111111,0.000986461111111111,0.000942545833333333
constant,1,8,33,warm,source,0.00114012222222222,0.000911481944444444,0.00132915416666667,0.00132915416666667,0.00118538888888889,0.000976701388888889,0.00114012222222222,0.000911481944444444
constant,1,8,33,warm,spectral,0.001080275,0.000938722222222222,0.00129491944444444,0.00129491944444444,0.001080275,0.00101392222222222,0.00115720972222222,0.000938722222222222
constant,1,8,33,warm,combined,0.00101516527777778,0.000898461111111111,0.00108293194444444,0.00102909722222222,0.00108293194444444,0.000957038888888889,0.00101516527777778,0.000898461111111111
constant,1,8,33,overlap,production,0.00249248472222222,0.00244561111111111,0.00299579027777778,0.00284902083333333,0.00299579027777778,0.0024878875,0.00244561111111111,0.00249248472222222
constant,1,8,33,overlap,baseline,0.002259575,0.00223391388888889,0.00252862361111111,0.00252862361111111,0.002259575,0.00226967638888889,0.00223391388888889,0.00224100138888889
constant,1,8,33,overlap,setup,0.00231451666666667,0.00215091388888889,0.00241435277777778,0.00231451666666667,0.00241435277777778,0.00215403888888889,0.00236960694444444,0.00215091388888889
constant,1,8,33,overlap,source,0.00215550555555556,0.00209710555555556,0.00260403888888889,0.00220051527777778,0.00260403888888889,0.0021066625,0.00209710555555556,0.00215550555555556
constant,1,8,33,overlap,spectral,0.00218793333333333,0.00213936805555556,0.00288578472222222,0.00288578472222222,0.0025671375,0.00214020833333333,0.00213936805555556,0.00218793333333333
constant,1,8,33,overlap,combined,0.002169275,0.00208206666666667,0.00280172361111111,0.00280172361111111,0.00229214583333333,0.00208867916666667,0.00208206666666667,0.002169275
constant,1,8,33,successive,production,0.00203772222222222,0.00166270694444444,0.00228513888888889,0.00203772222222222,0.00221648611111111,0.00228513888888889,0.00166865972222222,0.00166270694444444
constant,1,8,33,successive,baseline,0.00170211944444444,0.001614,0.001883925,0.001883925,0.00187433333333333,0.00170211944444444,0.001614,0.001667325
constant,1,8,33,successive,setup,0.00162754444444444,0.00160165555555556,0.00170613611111111,0.00162754444444444,0.00166627083333333,0.00170613611111111,0.00160165555555556,0.00160541527777778
constant,1,8,33,successive,source,0.00158799861111111,0.00158017083333333,0.00167520416666667,0.00158387083333333,0.00160821527777778,0.00167520416666667,0.00158799861111111,0.00158017083333333
constant,1,8,33,successive,spectral,0.00161325138888889,0.00158560972222222,0.00163495,0.00161325138888889,0.00163495,0.00161568888888889,0.00159293333333333,0.00158560972222222
constant,1,8,33,successive,combined,0.00156120555555556,0.00155481805555556,0.001572725,0.00157255,0.001572725,0.00156100416666667,0.00156120555555556,0.00155481805555556
constant,2,8,65,cold,production,0.00269566944444444,0.00263195694444444,0.00296137638888889,0.00296137638888889,0.00270268472222222,0.00269566944444444,0.00263195694444444,0.00267390555555556
