profile,config,strategy,quantity,maxError,referenceMax
exponential,1,baseline,Aw_p,0,1.85236885042999e-06
exponential,1,baseline,Aw_m,0,1.15728823573304e-06
exponential,1,baseline,Aio,0,1.7739147790936e-06
exponential,1,baseline,Amda,0,1.42633491608327e-07
exponential,1,baseline,u,0,3.77690438969422e-07
exponential,1,baseline,v,0,2.142617563168e-07
exponential,1,baseline,w,0,2.62666005482245e-05
exponential,1,baseline,eta,0,9.09227269597949e-06
exponential,1,state,Ag_q,0,3.89886827476079e-12
exponential,1,state,Ag_0,0,1.35977452447616e-09
exponential,1,state,Aw_p,0,1.85236885042999e-06
exponential,1,state,Aw_m,0,1.15728823573304e-06
exponential,1,state,Aio,0,1.7739147790936e-06
exponential,1,state,Amda,0,1.42633491608327e-07
exponential,1,state,u,0,3.77690438969422e-07
exponential,1,state,v,0,2.142617563168e-07
exponential,1,state,w,0,2.62666005482245e-05
exponential,1,state,eta,0,9.09227269597949e-06
exponential,1,stateSource,Ag_q,0,3.89886827476079e-12
exponential,1,stateSource,Ag_0,0,1.35977452447616e-09
exponential,1,stateSource,Aw_p,0,1.85236885042999e-06
exponential,1,stateSource,Aw_m,0,1.15728823573304e-06
exponential,1,stateSource,Aio,0,1.7739147790936e-06
exponential,1,stateSource,Amda,0,1.42633491608327e-07
exponential,1,stateSource,u,0,3.77690438969422e-07
exponential,1,stateSource,v,0,2.142617563168e-07
exponential,1,stateSource,w,0,2.62666005482245e-05
exponential,1,stateSource,eta,0,9.09227269597949e-06
exponential,2,baseline,Ag_q,0,3.89886827476063e-12
exponential,2,baseline,Ag_0,0,1.35977452445576e-09
exponential,2,baseline,Aw_p,0,1.85236963222593e-06
exponential,2,baseline,Aw_m,0,1.15728890222174e-06
exponential,2,baseline,Aio,0,1.77391477909361e-06
exponential,2,baseline,Amda,0,1.42633491608301e-07
exponential,2,baseline,u,0,3.77690438966813e-07
exponential,2,baseline,v,0,2.14261756316271e-07
exponential,2,baseline,w,0,2.6266600548249e-05
