profile,config,nx,nz,mode,strategy,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,1,8,33,cold,production,0.00259645277777778,0.00207009166666667,0.00846171805555556,0.00846171805555556,0.00418698333333333,0.00259645277777778,0.00207009166666667,0.00249660972222222
constant,1,8,33,cold,baseline,0.00258161527777778,0.00189877916666667,0.00696393888888889,0.00696393888888889,0.00276585277777778,0.00258161527777778,0.0024682875,0.00189877916666667
constant,1,8,33,cold,state,0.00189714722222222,0.00157658888888889,0.003678225,0.003678225,0.00204426527777778,0.00189714722222222,0.0015844125,0.00157658888888889
constant,1,8,33,cold,stateSource,0.00168837083333333,0.00138715138888889,0.00315587638888889,0.00315587638888889,0.00186072083333333,0.00168837083333333,0.00154069444444444,0.00138715138888889
constant,1,8,33,warm,production,0.00130150138888889,0.0010837375,0.00136772361111111,0.00130150138888889,0.00136772361111111,0.00116711111111111,0.00133240972222222,0.0010837375
constant,1,8,33,warm,baseline,0.00114112777777778,0.0010447375,0.00134490277777778,0.00124831666666667,0.00114112777777778,0.00113073611111111,0.00134490277777778,0.0010447375
constant,1,8,33,warm,state,0.00116006388888889,0.00102144305555556,0.00123007361111111,0.00123007361111111,0.00116006388888889,0.00110738333333333,0.00117394444444444,0.00102144305555556
constant,1,8,33,warm,stateSource,0.00109849027777778,0.000990801388888889,0.00113425277777778,0.00113425277777778,0.00109849027777778,0.00106510833333333,0.0011141875,0.000990801388888889
constant,1,8,33,overlap,production,0.00247888611111111,0.00242307222222222,0.0029441375,0.00267142083333333,0.0029441375,0.00247888611111111,0.00242307222222222,0.00245572222222222
constant,1,8,33,overlap,baseline,0.00227615277777778,0.00227201527777778,0.00294200138888889,0.00294200138888889,0.00240255694444444,0.00227595833333333,0.00227615277777778,0.00227201527777778
constant,1,8,33,overlap,state,0.00161063055555556,0.00147158333333333,0.00178590277777778,0.00178590277777778,0.00169478472222222,0.00150563472222222,0.00161063055555556,0.00147158333333333
constant,1,8,33,overlap,stateSource,0.00179427777777778,0.00141101944444444,0.00190840416666667,0.00179427777777778,0.00190840416666667,0.00175316805555556,0.00187500694444444,0.00141101944444444
constant,1,8,33,successive,production,0.00209756527777778,0.00162682916666667,0.00231567361111111,0.00231567361111111,0.00209756527777778,0.00222938333333333,0.00167296388888889,0.00162682916666667
constant,1,8,33,successive,baseline,0.00168510694444444,0.0015871,0.00207270972222222,0.00201438055555556,0.00207270972222222,0.00168510694444444,0.00162000555555556,0.0015871
constant,1,8,33,successive,state,0.00139629444444444,0.00121813194444444,0.00169794027777778,0.00139629444444444,0.00145610416666667,0.00169794027777778,0.00123751388888889,0.00121813194444444
constant,1,8,33,successive,stateSource,0.00136244444444444,0.001169625,0.00172769861111111,0.00172769861111111,0.00153531805555556,0.00136244444444444,0.00118888194444444,0.001169625
constant,2,8,65,cold,production,0.00278768888888889,0.00271110277777778,0.00314718611111111,0.00293691527777778,0.00314718611111111,0.00278768888888889,0.00271110277777778,0.00276923055555556
constant,2,8,65,cold,baseline,0.00267284027777778,0.00251198333333333,0.00289153611111111,0.00279093472222222,0.00263428194444444,0.00289153611111111,0.00267284027777778,0.00251198333333333
constant,2,8,65,cold,state,0.00233673888888889,0.00205215138888889,0.00245892222222222,0.00233714722222222,0.00228144444444444,0.00245892222222222,0.00233673888888889,0.00205215138888889
constant,2,8,65,cold,stateSource,0.00212105833333333,0.00203382777777778,0.00230836944444444,0.00230836944444444,0.0022371875,0.00210600694444444,0.00212105833333333,0.00203382777777778
constant,2,8,65,warm,production,0.00177550555555556,0.00172515833333333,0.00180977361111111,0.00177550555555556,0.00180977361111111,0.00176141388888889,0.00172515833333333,0.00179745555555556
constant,2,8,65,warm,baseline,0.00169509305555556,0.00162770833333333,0.00172217361111111,0.00169509305555556,0.00172217361111111,0.00170046111111111,0.001671975,0.00162770833333333
constant,2,8,65,warm,state,0.0017361125,0.00159909722222222,0.00175426666666667,0.00175426666666667,0.00169624583333333,0.0017361125,0.00175115833333333,0.00159909722222222
constant,2,8,65,warm,stateSource,0.00170319027777778,0.00156314305555556,0.00188889444444444,0.00170749166666667,0.00170312916666667,0.00170319027777778,0.00188889444444444,0.00156314305555556
constant,2,8,65,overlap,production,0.00328053611111111,0.00298889305555556,0.00404691666666667,0.00305233888888889,0.00298889305555556,0.00328053611111111,0.0038285625,0.00404691666666667
constant,2,8,65,overlap,baseline,0.0031174,0.00287669722222222,0.00335604583333333,0.0031174,0.00287669722222222,0.00316611111111111,0.00335604583333333,0.003081525
constant,2,8,65,overlap,state,0.00217160416666667,0.00211074583333333,0.00225430138888889,0.00214588611111111,0.00211074583333333,0.00225430138888889,0.00217160416666667,0.00217885555555556
constant,2,8,65,overlap,stateSource,0.00211133611111111,0.00208000555555556,0.00234536388888889,0.00234536388888889,0.002085425,0.00234488888888889,0.00208000555555556,0.00211133611111111
constant,2,8,65,successive,production,0.00245387916666667,0.00229270416666667,0.00261516527777778,0.00258442083333333,0.00245387916666667,0.00229270416666667,0.00261516527777778,0.00243570416666667
constant,2,8,65,successive,baseline,0.00238089305555556,0.00228224027777778,0.00261750833333333,0.00238089305555556,0.00261750833333333,0.00228224027777778,0.00256603888888889,0.00234658333333333
constant,2,8,65,successive,state,0.00186083333333333,0.00181777777777778,0.0019905375,0.00192774166666667,0.00182386388888889,0.00181777777777778,0.0019905375,0.00186083333333333
constant,2,8,65,successive,stateSource,0.00181845138888889,0.00180469722222222,0.00217028333333333,0.00207992083333333,0.00217028333333333,0.00181169444444444,0.00181845138888889,0.00180469722222222
constant,3,16,65,cold,production,0.0050023125,0.00493049305555556,0.00519418194444444,0.00493049305555556,0.00499672361111111,0.00514357777777778,0.00519418194444444,0.0050023125
constant,3,16,65,cold,baseline,0.00468198611111111,0.00462072083333333,0.00473347638888889,0.00468198611111111,0.00462072083333333,0.00473347638888889,0.00472161111111111,0.00466682777777778
