profile,strategy,nx,nz,duration,step,rhsCalls,medianSeconds,trial1,trial2,trial3,trial4,trial5,trial6,trial7,maxCoefficientDifference
constant,reference,16,65,40,5,32,0.18916175,0.201890583333333,0.198091291666667,0.194418,0.18916175,0.179716541666667,0.180699375,0.17886575,0
constant,production,16,65,40,5,32,0.165474541666667,0.170113916666667,0.1732975,0.172816916666667,0.165474541666667,0.159700625,0.159520125,0.164717083333333,0
exponential,reference,16,65,40,5,32,0.179823125,0.20898925,0.183277291666667,0.178822625,0.179823125,0.17943875,0.17965225,0.182365958333333,0
exponential,production,16,65,40,5,32,0.165741041666667,0.165741041666667,0.165690958333333,0.165771416666667,0.165556333333333,0.166119625,0.164152833333333,0.170214958333333,0
