profile,config,nx,nz,mode,strategy,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5,trial6,trial7
constant,1,8,33,cold,reference,0.00229701916666667,0.00169781166666667,0.00665351583333333,0.00665351583333333,0.00244697,0.0023735425,0.00229701916666667,0.002236165,0.00169781166666667,0.0017674175
constant,1,8,33,cold,production,0.0016557925,0.00135389333333333,0.00457711833333333,0.00457711833333333,0.00205866833333333,0.00165346583333333,0.0017016025,0.0016557925,0.00135389333333333,0.0015442925
constant,1,8,33,warm,reference,0.000909649166666667,0.000848631666666667,0.00102232416666667,0.000978101666666667,0.000950566666666667,0.00102232416666667,0.000909649166666667,0.000861239166666667,0.000861883333333333,0.000848631666666667
constant,1,8,33,warm,production,0.0009396575,0.000839469166666667,0.00110672666666667,0.000949043333333333,0.0009396575,0.00110672666666667,0.00098931,0.0008576125,0.000839469166666667,0.000844728333333333
constant,1,8,33,overlap,reference,0.00216509416666667,0.001973795,0.00278383166666667,0.00216509416666667,0.002120805,0.00220996333333333,0.001973795,0.00211104083333333,0.00276003416666667,0.00278383166666667
constant,1,8,33,overlap,production,0.00139911583333333,0.00127558666666667,0.0016902525,0.001461045,0.00139863,0.00138973333333333,0.00127558666666667,0.00139911583333333,0.00163455,0.0016902525
constant,1,8,33,successive,reference,0.00143826416666667,0.0013704,0.0020800725,0.0020800725,0.00139357916666667,0.0013704,0.0014103375,0.00146363833333333,0.00175662,0.00143826416666667
constant,1,8,33,successive,production,0.0010353975,0.000998225833333333,0.00133190833333333,0.00133190833333333,0.00102971916666667,0.0010261075,0.000998225833333333,0.00122178833333333,0.001215075,0.0010353975
constant,2,8,65,cold,reference,0.00278942,0.00251399333333333,0.002859725,0.00282545666666667,0.00251399333333333,0.00267056083333333,0.00255598916666667,0.002859725,0.00282760833333333,0.00278942
constant,2,8,65,cold,production,0.00207957,0.00198256083333333,0.00242018,0.00208161,0.00199847,0.00201003416666667,0.00207957,0.00242018,0.00218280416666667,0.00198256083333333
constant,2,8,65,warm,reference,0.0014906475,0.00144475916666667,0.001733315,0.00153452833333333,0.00155926833333333,0.001733315,0.0014906475,0.00146099333333333,0.00144595916666667,0.00144475916666667
constant,2,8,65,warm,production,0.0014906975,0.00140717666666667,0.00187640166666667,0.00153815666666667,0.0014906975,0.00187640166666667,0.0015040475,0.0014367725,0.00140717666666667,0.00142195166666667
constant,2,8,65,overlap,reference,0.00268924666666667,0.00261903583333333,0.00278850166666667,0.00268924666666667,0.0027855025,0.00265487,0.00261903583333333,0.00273664666666667,0.00278850166666667,0.00266546333333333
constant,2,8,65,overlap,production,0.00192022916666667,0.00175298833333333,0.0022351275,0.00197016666666667,0.00192022916666667,0.00190503,0.00181832083333333,0.0022351275,0.00207811833333333,0.00175298833333333
constant,2,8,65,successive,reference,0.00218599416666667,0.0020312125,0.00230509333333333,0.00230509333333333,0.00225456083333333,0.00214015916666667,0.00218599416666667,0.00221447666666667,0.00207223833333333,0.0020312125
constant,2,8,65,successive,production,0.00166751333333333,0.0016225275,0.001834985,0.001834985,0.00171187833333333,0.0016405675,0.0016231725,0.00173056333333333,0.00166751333333333,0.0016225275
constant,3,16,65,cold,reference,0.0046021175,0.00450958,0.00496911416666667,0.00450958,0.004712195,0.00496911416666667,0.0046021175,0.00471025,0.00454846416666667,0.004522385
constant,3,16,65,cold,production,0.00415670166666667,0.00398542583333333,0.00459854916666667,0.00459854916666667,0.00425605166666667,0.00413033333333333,0.0040304175,0.00421638916666667,0.00415670166666667,0.00398542583333333
constant,3,16,65,warm,reference,0.0030864425,0.00296931083333333,0.003130765,0.00311179583333333,0.0030864425,0.003130765,0.003099335,0.00296931083333333,0.0029960825,0.00298186916666667
constant,3,16,65,warm,production,0.00298033916666667,0.00293068333333333,0.00305655583333333,0.0030509125,0.00305655583333333,0.00298033916666667,0.00302594333333333,0.0029794625,0.00294567416666667,0.00293068333333333
constant,3,16,65,overlap,reference,0.0049929525,0.004968355,0.00514577833333333,0.00498491333333333,0.004968355,0.0049929525,0.0049688475,0.0050160525,0.00514577833333333,0.00509459333333333
constant,3,16,65,overlap,production,0.00415728416666667,0.00409122916666667,0.0043048825,0.0043048825,0.00409122916666667,0.0041515075,0.00412429416666667,0.0042847175,0.00424863416666667,0.00415728416666667
constant,3,16,65,successive,reference,0.00440962166666667,0.00437462166666667,0.00451774166666667,0.00440094,0.0044325125,0.00441733333333333,0.00440962166666667,0.00438835666666667,0.00451774166666667,0.00437462166666667
constant,3,16,65,successive,production,0.00392789916666667,0.00389732416666667,0.00404389166666667,0.00392789916666667,0.00389732416666667,0.00393389083333333,0.0039050725,0.00404389166666667,0.0040169575,0.00390496916666667
constant,4,24,129,cold,reference,0.0114193366666667,0.0112897216666667,0.0116423916666667,0.0112951841666667,0.0115374808333333,0.0112897216666667,0.0113655141666667,0.0114193366666667,0.0114803333333333,0.0116423916666667
constant,4,24,129,cold,production,0.0108031925,0.0107228508333333,0.0111237883333333,0.010783995,0.0107527283333333,0.0108031925,0.0107228508333333,0.0111237883333333,0.0110982683333333,0.0110202791666667
constant,4,24,129,warm,reference,0.00902645083333333,0.00845769833333333,0.00962728333333333,0.00853223166666667,0.00852930666666667,0.00902645083333333,0.00845769833333333,0.0091725575,0.00962728333333333,0.0091194675
constant,4,24,129,warm,production,0.0089521775,0.008518825,0.0100994441666667,0.00929983166666667,0.00898116916666667,0.00854408,0.008518825,0.0089521775,0.0100994441666667,0.00858334333333333
constant,4,24,129,overlap,reference,0.0122544175,0.0121326066666667,0.0126262491666667,0.0122544175,0.0123563733333333,0.0121791841666667,0.0121326066666667,0.0121408508333333,0.01258113,0.0126262491666667
constant,4,24,129,overlap,production,0.0112609975,0.0111315825,0.0116596275,0.0113010808333333,0.0111839341666667,0.0112609975,0.0111315825,0.0116596275,0.0114017525,0.0112604258333333
constant,4,24,129,successive,reference,0.0113546458333333,0.011288265,0.011587965,0.0113546458333333,0.01131482,0.011314615,0.011587965,0.0113736616666667,0.0113821616666667,0.011288265
constant,4,24,129,successive,production,0.0107714275,0.0106414025,0.0108454375,0.0107198491666667,0.0106414025,0.0107714275,0.0108188108333333,0.0107463616666667,0.0108093383333333,0.0108454375
exponential,1,8,33,cold,reference,0.0015138675,0.0014798775,0.00173103916666667,0.00173103916666667,0.00149720166666667,0.0015138675,0.00148565333333333,0.0014798775,0.0015472275,0.00173066416666667
exponential,1,8,33,cold,production,0.00110954916666667,0.00109112916666667,0.00145500333333333,0.00121103083333333,0.00109112916666667,0.00111019083333333,0.00109878083333333,0.00110954916666667,0.00110293833333333,0.00145500333333333
exponential,1,8,33,warm,reference,0.000840235833333333,0.000830998333333333,0.0009551325,0.0009551325,0.000865046666666667,0.000835694166666667,0.000844945833333333,0.000840235833333333,0.000835921666666667,0.000830998333333333
exponential,1,8,33,warm,production,0.0008310175,0.000820325833333333,0.000858253333333333,0.000858253333333333,0.000820325833333333,0.000828051666666667,0.000841654166666667,0.000846995,0.000823316666666667,0.0008310175
exponential,1,8,33,overlap,reference,0.00210016083333333,0.0019155975,0.00234496333333333,0.00234496333333333,0.0021007925,0.00209725083333333,0.00210016083333333,0.0019155975,0.002154245,0.00202363666666667
