profile,config,strategy,quantity,maxError,referenceMax
constant,3,setup,Aw_m,0,3.49220830587974e-07
constant,3,setup,Aio,0,5.77016251606685e-07
constant,3,setup,Amda,0,1.26189949028898e-07
constant,3,setup,u,0,2.32314361429241e-07
constant,3,setup,v,0,8.9002650826364e-08
constant,3,setup,w,0,2.81073907668047e-05
constant,3,setup,eta,0,5.52887567714338e-06
constant,3,source,Ag_q,0,1.74058162626631e-12
constant,3,source,Ag_0,0,2.19155345478205e-10
constant,3,source,Aw_p,0,6.93793711504807e-07
constant,3,source,Aw_m,0,3.49220830587974e-07
constant,3,source,Aio,0,5.77016251606685e-07
constant,3,source,Amda,0,1.26189949028898e-07
constant,3,source,u,0,2.32314361429241e-07
constant,3,source,v,0,8.9002650826364e-08
constant,3,source,w,0,2.81073907668047e-05
constant,3,source,eta,0,5.52887567714338e-06
constant,3,spectral,Ag_q,2.76651523991165e-28,1.74058162626631e-12
constant,3,spectral,Ag_0,1.49269525093121e-25,2.19155345478205e-10
constant,3,spectral,Aw_p,2.55731995162117e-22,6.93793711504807e-07
constant,3,spectral,Aw_m,2.32927231096874e-22,3.49220830587974e-07
constant,3,spectral,Aio,2.63990192403617e-22,5.77016251606685e-07
constant,3,spectral,Amda,0,1.26189949028898e-07
constant,3,spectral,u,1.19908101595687e-20,2.32314361429241e-07
constant,3,spectral,v,9.07913440338203e-21,8.9002650826364e-08
constant,3,spectral,w,5.96311194867027e-19,2.81073907668047e-05
constant,3,spectral,eta,0,5.52887567714338e-06
constant,3,combined,Ag_q,2.76651523991165e-28,1.74058162626631e-12
constant,3,combined,Ag_0,1.49269525093121e-25,2.19155345478205e-10
constant,3,combined,Aw_p,2.55731995162117e-22,6.93793711504807e-07
constant,3,combined,Aw_m,2.32927231096874e-22,3.49220830587974e-07
constant,3,combined,Aio,2.63990192403617e-22,5.77016251606685e-07
constant,3,combined,Amda,0,1.26189949028898e-07
constant,3,combined,u,1.19908101595687e-20,2.32314361429241e-07
constant,3,combined,v,9.07913440338203e-21,8.9002650826364e-08
constant,3,combined,w,5.96311194867027e-19,2.81073907668047e-05
constant,3,combined,eta,0,5.52887567714338e-06
constant,4,baseline,Ag_q,0,1.7405816262663e-12
constant,4,baseline,Ag_0,0,2.19155345463971e-10
constant,4,baseline,Aw_p,0,6.93793674491711e-07
constant,4,baseline,Aw_m,0,3.49220793643553e-07
constant,4,baseline,Aio,0,5.77016251606685e-07
constant,4,baseline,Amda,0,1.26189949028867e-07
constant,4,baseline,u,0,2.32314361430922e-07
constant,4,baseline,v,0,8.94663722602415e-08
constant,4,baseline,w,0,2.79684194640763e-05
constant,4,baseline,eta,0,5.52887567714335e-06
constant,4,setup,Ag_q,0,1.7405816262663e-12
constant,4,setup,Ag_0,0,2.19155345463971e-10
constant,4,setup,Aw_p,0,6.93793674491711e-07
constant,4,setup,Aw_m,0,3.49220793643553e-07
constant,4,setup,Aio,0,5.77016251606685e-07
constant,4,setup,Amda,0,1.26189949028867e-07
constant,4,setup,u,0,2.32314361430922e-07
constant,4,setup,v,0,8.94663722602415e-08
constant,4,setup,w,0,2.79684194640763e-05
constant,4,setup,eta,0,5.52887567714335e-06
constant,4,source,Ag_q,0,1.7405816262663e-12
constant,4,source,Ag_0,0,2.19155345463971e-10
constant,4,source,Aw_p,0,6.93793674491711e-07
constant,4,source,Aw_m,0,3.49220793643553e-07
constant,4,source,Aio,0,5.77016251606685e-07
constant,4,source,Amda,0,1.26189949028867e-07
constant,4,source,u,0,2.32314361430922e-07
constant,4,source,v,0,8.94663722602415e-08
constant,4,source,w,0,2.79684194640763e-05
constant,4,source,eta,0,5.52887567714335e-06
constant,4,spectral,Ag_q,4.03896783473158e-28,1.7405816262663e-12
constant,4,spectral,Ag_0,2.86069265604722e-25,2.19155345463971e-10
constant,4,spectral,Aw_p,8.6524051965135e-22,6.93793674491711e-07
constant,4,spectral,Aw_m,8.79232937658558e-22,3.49220793643553e-07
constant,4,spectral,Aio,7.62899077443457e-22,5.77016251606685e-07
constant,4,spectral,Amda,0,1.26189949028867e-07
constant,4,spectral,u,9.43779991698502e-20,2.32314361430922e-07
constant,4,spectral,v,4.90286492672431e-20,8.94663722602415e-08
constant,4,spectral,w,3.11708124589583e-18,2.79684194640763e-05
constant,4,spectral,eta,0,5.52887567714335e-06
constant,4,combined,Ag_q,4.03896783473158e-28,1.7405816262663e-12
constant,4,combined,Ag_0,2.86069265604722e-25,2.19155345463971e-10
constant,4,combined,Aw_p,8.6524051965135e-22,6.93793674491711e-07
constant,4,combined,Aw_m,8.79232937658558e-22,3.49220793643553e-07
constant,4,combined,Aio,7.62899077443457e-22,5.77016251606685e-07
constant,4,combined,Amda,0,1.26189949028867e-07
constant,4,combined,u,9.43779991698502e-20,2.32314361430922e-07
constant,4,combined,v,4.90286492672431e-20,8.94663722602415e-08
constant,4,combined,w,3.11708124589583e-18,2.79684194640763e-05
constant,4,combined,eta,0,5.52887567714335e-06
exponential,1,baseline,Ag_q,0,3.89886827476079e-12
exponential,1,baseline,Ag_0,0,1.35977452447616e-09
exponential,1,baseline,Aw_p,0,1.85236885042999e-06
exponential,1,baseline,Aw_m,0,1.15728823573304e-06
exponential,1,baseline,Aio,0,1.7739147790936e-06
exponential,1,baseline,Amda,0,1.42633491608327e-07
exponential,1,baseline,u,0,3.77690438969422e-07
exponential,1,baseline,v,0,2.142617563168e-07
exponential,1,baseline,w,0,2.62666005482245e-05
exponential,1,baseline,eta,0,9.09227269597949e-06
