triple,inputA,inputB,output,channel,error,modeA,modeB,referenceStability,eigenConvergence,gramError,productCount
1,wave,wave,wave,F*G->G,0.389207995373558,8,8,2.60018743071921e-15,1.32795212962528e-11,0.000781377983950812,64
1,wave,wave,wave,G*dG->G,0.38920815474234,8,8,1.64834029414142e-15,1.32795212962528e-11,0.000781377983950812,64
1,wave,wave,apv,G*dF->F,0.0085823453483272,8,7,1.36226901870609e-15,1.66950581942882e-11,2.12126980544059e-07,64
1,wave,wave,apv,F*F->F,0.00858191883035743,8,7,1.71191990799999e-15,1.66950581942882e-11,2.12126980544059e-07,64
1,wave,wave,apv,G*G->F,0.0085823453483272,8,7,1.77395449294196e-15,1.66950581942882e-11,2.12126980544059e-07,64
1,wave,apv,wave,F*G->G,0.00398389350213743,8,3,5.3636806685492e-16,1.66950581942882e-11,0.000781377983950812,32
1,wave,apv,wave,G*dG->G,0.00915452215693557,8,3,1.86629470115441e-15,1.66950581942882e-11,0.000781377983950812,32
1,wave,apv,apv,G*dF->F,0.000284278309846169,8,3,1.7388781668074e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,wave,apv,apv,F*F->F,0.000283975264209622,8,3,1.76080546052675e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,wave,apv,apv,G*G->F,0.00028427830984631,8,3,2.0477513517588e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,apv,wave,wave,F*G->G,0.00915451993678214,3,8,1.46035192623995e-15,1.66950581942882e-11,0.000781377983950812,32
1,apv,wave,wave,G*dG->G,0.00398389332107833,3,8,7.23084767390374e-16,1.66950581942882e-11,0.000781377983950812,32
1,apv,wave,apv,G*dF->F,0.000284278343921602,3,8,1.71741539984198e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,apv,wave,apv,F*F->F,0.000283975278845162,3,8,1.84017545833832e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,apv,wave,apv,G*G->F,0.000284278343921704,3,8,1.47038251387397e-15,1.66950581942882e-11,2.12126980544059e-07,32
1,wave,boundary,wave,F*G->G,0.000186827900116176,1,2,2.91108602108436e-16,5.73681637978046e-11,0.000781377983950812,16
1,wave,boundary,wave,G*dG->G,0.00128263289322525,8,2,4.12060303264816e-15,5.73681637978046e-11,0.000781377983950812,16
1,wave,boundary,apv,G*dF->F,0.0011162253998408,2,1,2.63342682576221e-15,5.73681637978046e-11,2.12126980544059e-07,16
1,wave,boundary,apv,F*F->F,0.000146764726217933,1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,16
1,wave,boundary,apv,G*G->F,0.001116225399841,2,1,2.6462351625356e-15,5.73681637978046e-11,2.12126980544059e-07,16
1,boundary,wave,wave,F*G->G,0.00191037447559307,2,1,2.37060975435693e-14,4.31900125512261e-10,0.000781377983950812,16
1,boundary,wave,wave,G*dG->G,0.00271196759942238,2,8,3.07189421211074e-16,4.31900125512261e-10,0.000781377983950812,16
1,boundary,wave,apv,G*dF->F,0.0316263819907223,1,2,1.33475990708426e-14,4.31900125512261e-10,2.12126980544059e-07,16
1,boundary,wave,apv,F*F->F,0.00645350376760668,1,1,3.77475828372553e-15,4.31900125512261e-10,2.12126980544059e-07,16
1,boundary,wave,apv,G*G->F,0.0316263819907222,1,2,1.29517321089304e-14,4.31900125512261e-10,2.12126980544059e-07,16
1,apv,boundary,wave,F*G->G,0.000172234092572131,-1,2,2.29185204975158e-16,5.73681637978046e-11,0.000781377983950812,8
1,apv,boundary,wave,G*dG->G,0.00180831523311118,3,2,1.13678199273733e-15,5.73681637978046e-11,0.000781377983950812,8
1,apv,boundary,apv,G*dF->F,0.00107340585149293,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
1,apv,boundary,apv,F*F->F,0.000143145267186477,-1,1,1.77635683940025e-15,5.73681637978046e-11,2.12126980544059e-07,8
1,apv,boundary,apv,G*G->F,0.00107340585149297,3,2,1.55431223447522e-15,5.73681637978046e-11,2.12126980544059e-07,8
2,wave,wave,wave,F*G->G,0.389208035462828,8,8,1.4553189520158e-15,1.32795212962528e-11,0.000781377838735263,64
2,wave,wave,wave,G*dG->G,0.389208075142951,8,8,1.74230893791144e-15,1.32795212962528e-11,0.000781377838735263,64
2,wave,wave,apv,G*dF->F,0.00858233680954237,8,7,1.58335201913045e-15,1.66950581942882e-11,2.12126980544059e-07,64
