waveCount,gramError,quadraticError
1,6.66133814775094e-16,1.02570268722957e-07
2,1.63123347481158e-14,1.02570268722957e-07
3,3.15167892592832e-10,1.98409878748862e-07
4,2.16859914561828e-07,1.13065289042424e-05
5,1.23767651784091e-05,0.000281763437669724
6,0.000137778539911996,0.000523189606610686
7,0.000389025945247148,0.0601067431271076
8,0.00078137856547413,0.2751584649086
