level,Nz,balancedCount,waveCount,velocityResidual,velocityRelative,velocityTermScale,velocityModal,velocityStrong,velocityForce,velocityPressure,etaResidual,etaRelative,etaTermScale,etaModal,etaStrong,etaVertical,etaTransport,sshResidual,pressureIBP,pressureIBPRelative,pressureIBPTermScale,reactionDual,projectedResidualDual,decompositionError,decompositionRelative,independentPressureDefectError,reactionWork,retainedConstraintResidual,discardedBoundaryTargetRMS,minimumLabel,maximumLabel,seedRelativeDifference,stageIterations,pressureIterations,pressureRelativeResidual,pressureInteriorDivergence,pressureBottomDivergence,pressureSurfaceDivergence,pressureBottomAcceleration,pressureSurfaceResidual,modalInteriorDivergence,modalEndpointDivergence,collocationMomentumIdentity,elapsedSeconds,pressureToleranceSensitivity,tightPressureRelativeResidual
1,65,2,3,6.03778724598592e-05,0.000392368514061767,0.153880523783196,0.028521717485474,0.0285217743955247,0.0740418745083988,0.0798386492747975,4.49450917360809e-05,0.0278322066227924,0.00161485908556292,0.00153713002156774,0.00153799737512273,0.00154219682652048,7.26622590424395e-05,5.20417042793042e-18,5.69792435131291e-17,9.49864673200976e-16,0.0599866961270526,4.10337670801502e-05,4.10337670801502e-05,2.86478521916323e-14,3.49076556091661e-10,1.5782592693749e-17,6.03116871099028e-06,6.13351989748958e-19,1.8417340600276e-09,-998.099995952782,-1.80072884152549,0,4,4,2.77196818937181e-15,3.59777686126886e-14,8.52107441570218e-14,6.41916455789964e-14,3.20287579010786e-13,1.59872115546023e-14,1.25996150904077e-19,3.27563522570999e-19,1.25230771932938e-14,5.367396375,NaN,NaN
2,129,4,6,8.77719952366146e-07,5.70390541169839e-06,0.153880523783931,0.0285217743810038,0.0285217743955244,0.0740418745083988,0.079838649275532,7.8779127558339e-07,0.000487839021142067,0.00161485908556292,0.00153798697753799,0.00153799737512273,0.00154219682652048,7.26622590424394e-05,6.93889390390723e-18,3.08438523593008e-16,5.14178205551437e-15,0.0599866972701069,7.43311152577109e-07,7.43311152577114e-07,3.01066304209738e-14,2.02517009938205e-08,2.44796394570852e-17,6.60303780723293e-08,4.33808728358189e-19,1.84173406002957e-09,-998.099995952782,-1.80072884152549,2.08128313650915e-15,4,3,3.5768823902921e-13,5.97920356799411e-13,7.89022776285865e-13,1.38496092205039e-12,2.16960916463518e-12,1.77635683940025e-14,8.18366175945663e-19,3.33229378894742e-18,4.69383375483606e-14,5.128272875,NaN,NaN
3,257,8,12,4.39977661751123e-07,2.85921603944605e-06,0.153880523780346,0.0285217743913867,0.0285217743955246,0.0740418745083989,0.0798386492719467,1.91195279022873e-07,0.00011839750027243,0.00161485908556292,0.00153799629417669,0.00153799737512273,0.00154219682652049,7.26622590424395e-05,6.93889390390723e-18,1.16183356524632e-16,1.93681868804998e-15,0.0599866973824006,1.52911485367314e-07,1.52911485367319e-07,3.01128820505126e-14,9.84650759448741e-08,2.60901843268048e-17,5.88352523853733e-09,1.84001921047012e-18,1.84173406002411e-09,-998.099995952782,-1.80072884152549,1.08307453833664e-14,4,3,1.26574425361416e-13,6.63576738523562e-12,1.77436371553367e-11,1.84782946397431e-11,1.25523678636604e-11,1.4210854715202e-14,7.5952253240211e-18,2.28609030856913e-17,1.89073745809204e-13,13.7652055833333,2.14520213259737e-10,4.78005124564028e-15
