profile,padding,traceRank,energy,energyRate,gridWork,workScale,reactionWork,solverWork,geometryConstraintWork,closure,retainedResidual,discardedTargetRMS,gradientIdentity,gramError,buoyancyError,pressureError,densityError,minimumLabel,maximumLabel,minimumGamma,minimumN2,adjustedLabels,coefficientStateUnchanged,coefficientDimension,elapsedSeconds,gradientDifferenceError,runtimeRateRelativeError,rateNorm,rateErrorToPadding4,relativeRateErrorToPadding4,quadraticControlError,gridWorkRelative
constant,1,62,88.2865104388245,6.03116871106951e-06,-1.19728107094395e-17,0.203300764694711,6.03116871099116e-06,-1.34267558397839e-16,1.47388261357385e-20,2.24573636803324e-16,1.84247569598554e-18,1.84173406925865e-09,1.26087377309047e-15,3.74556829446799e-13,1.81332813348201e-17,0,2.27373675443232e-13,-998.096355818542,-1.80072884152549,0.99750589020581,0.0001,0,1,206,0.153529333333333,5.41740263759749e-13,6.9971018888404e-13,0.0409510189997484,1.00160322457115e-15,2.44585665762627e-14,2.96206228707834e-16,-5.88921085831559e-17
constant,2,62,88.2865104388245,6.03116871090992e-06,1.43368796652263e-17,0.201126225943864,6.03116871109165e-06,-1.13352025536502e-16,-1.52409168754332e-20,-8.27005320452586e-17,9.78161677833236e-19,1.84173462593912e-09,4.04491217499284e-15,4.49118249677728e-13,1.81332813348201e-17,0,2.27373675443232e-13,-998.099257905578,-1.80072884152549,0.997364929218851,0.0001,0,1,206,0.21046175,NaN,NaN,0.0409510189997485,2.38866367842349e-16,5.83297738803069e-15,1.71654307329614e-16,7.12829945371112e-17
constant,3,62,88.2865104388245,6.03116871107992e-06,7.86893607999245e-19,0.200606918298201,6.03116871109787e-06,-1.20956509057449e-16,-1.69812824435296e-20,1.02238815612522e-16,9.70304999820139e-19,1.84173462598239e-09,4.31067096740949e-15,7.66928330151331e-13,1.88109076926235e-17,0,2.27373675443232e-13,-998.099995952782,-1.80072884152549,0.997376219765797,0.0001,0,1,206,0.448671625,NaN,NaN,0.0409510189997484,2.85670370641274e-16,6.97590383875498e-15,2.39277906465788e-16,3.92256465866013e-18
constant,4,62,88.2865104388245,6.03116871157605e-06,7.57925081203148e-18,0.200394298005778,6.03116871128023e-06,-9.16027221921904e-17,7.71877029193042e-20,3.79764070176331e-16,1.84078706633217e-18,1.8417346254702e-09,7.45261411264856e-15,1.19783622026994e-12,1.92445885616177e-17,0,2.27373675443232e-13,-998.099723011768,-1.80072884152549,0.997364929218851,0.0001,0,1,206,0.559056958333333,NaN,NaN,0.0409510189997486,0,0,0,3.78216889774626e-17
exponential,1,62,126.011964535943,2.21348670472257e-06,-2.02685282023763e-12,0.206949814347228,2.21348873138473e-06,-9.04393775018878e-18,-4.68346968044972e-21,1.99711502482076e-16,1.0367689094176e-18,2.49326383083884e-09,1.17167765525362e-15,2.46095897378758e-13,1.86482773667507e-17,0,2.27373675443232e-13,-998.096355818542,-1.80072884152549,0.997505856159601,2.15340915086931e-05,0,1,206,0.100500583333333,4.92623303260942e-13,2.32418713971105e-11,0.0409010081465601,5.22757926668395e-12,1.27810523592176e-10,3.11901895730574e-16,-9.79393398651181e-12
exponential,2,62,126.011964536163,2.21348871020169e-06,-2.01131225932051e-14,0.204714649506068,2.21348873059543e-06,1.14016747472801e-17,-5.94027818238268e-20,-2.9196471090728e-16,3.48679934299601e-18,2.4932649806351e-09,3.20180311309285e-15,4.82809105868555e-13,1.86482773667507e-17,8.88178419700125e-16,2.27373675443232e-13,-998.099257905578,-1.80072884152548,0.997364895888515,2.1533995364588e-05,0,1,206,0.250285916666667,NaN,NaN,0.0409010081467631,1.61408530097534e-13,3.94632155565484e-12,2.12909140246619e-16,-9.82495519579751e-14
exponential,3,62,126.011964536164,2.21348871156171e-06,-1.93639931021262e-14,0.204197313835104,2.21348872985013e-06,5.03954422416703e-17,-5.42344656743503e-20,1.02522969897699e-15,2.04296878515321e-18,2.4932649814356e-09,6.73377124054565e-15,6.17185200595213e-13,2.08166817117217e-17,1.77635683940025e-15,2.27373675443232e-13,-998.099995952782,-1.80072884152549,0.997376185981448,2.1533970913671e-05,0,1,206,0.2506905,NaN,NaN,0.0409010081467569,5.67640575963779e-14,1.38784005990054e-12,2.27668335384009e-16,-9.48298130785563e-14
exponential,4,62,126.011964536164,2.21348871062496e-06,-1.91666886355246e-14,0.203980483473072,2.21348872984974e-06,1.72106172674475e-17,-3.02087267093554e-20,-7.52750102611216e-17,2.60376391721794e-18,2.49326498086033e-09,6.38594650938314e-15,9.94580054942147e-13,2.09251019289702e-17,3.5527136788005e-15,2.27373675443232e-13,-998.099723011768,-1.80072884152548,0.997364895888515,2.15339799559865e-05,0,1,206,0.421876666666667,NaN,NaN,0.04090100814675,0,0,0,-9.39633454592478e-14
