family,step,rateMax,error,omittedTimeError,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Ag_q,0.5,3.75278816570613e-12,1.84002555074598e-21,4.58938257392243e-13,exponential,0.1,8,33,3,4,2
Ag_0,0.5,1.21305775303344e-09,5.82511743448154e-19,1.49916371325772e-10,exponential,0.1,8,33,3,4,2
Aio,0.5,1.77391477909699e-06,1.60965576594539e-17,1.15149230030215e-17,exponential,0.1,8,33,3,4,2
Amda,0.5,1.42589407664791e-07,2.97848018594542e-17,2.05972687776274e-11,exponential,0.1,8,33,3,4,2
Aw_p,0.25,1.87695218993609e-06,1.56624446734453e-14,1.60047493852898e-07,exponential,0.1,8,33,3,4,2
Aw_m,0.25,6.0111190897209e-07,1.824503573756e-14,6.34939568138109e-07,exponential,0.1,8,33,3,4,2
Ag_q,0.25,3.75278816570613e-12,4.71731531856791e-22,4.58938257380609e-13,exponential,0.1,8,33,3,4,2
Ag_0,0.25,1.21305775303344e-09,1.97928931372585e-19,1.49916371348541e-10,exponential,0.1,8,33,3,4,2
Aio,0.25,1.77391477909699e-06,3.3962594129056e-17,1.54953419127493e-17,exponential,0.1,8,33,3,4,2
Amda,0.25,1.42589407664791e-07,2.63153549075006e-17,2.05972583692865e-11,exponential,0.1,8,33,3,4,2
Aw_p,0.125,1.87695218993609e-06,3.91470932989844e-15,1.60047493785861e-07,exponential,0.1,8,33,3,4,2
Aw_m,0.125,6.0111190897209e-07,4.56069133632355e-15,6.34939568096953e-07,exponential,0.1,8,33,3,4,2
Ag_q,0.125,3.75278816570613e-12,5.19296244772273e-22,4.58938257291281e-13,exponential,0.1,8,33,3,4,2
Ag_0,0.125,1.21305775303344e-09,3.37908447450865e-19,1.49916371252414e-10,exponential,0.1,8,33,3,4,2
Aio,0.125,1.77391477909699e-06,4.79135087182898e-17,2.29685748986967e-17,exponential,0.1,8,33,3,4,2
Amda,0.125,1.42589407664791e-07,8.37911461203556e-18,2.05972514303926e-11,exponential,0.1,8,33,3,4,2
Aw_p,4,1.87720155954073e-08,4.00866164559917e-14,1.60042369894297e-09,exponential,0.01,8,33,3,4,2
Aw_m,4,6.00857000121712e-09,4.67054701213155e-14,6.34913686227953e-09,exponential,0.01,8,33,3,4,2
Ag_q,4,3.75262042189594e-14,1.17575143167387e-21,4.58928191439898e-15,exponential,0.01,8,33,3,4,2
Ag_0,4,1.2128149296591e-11,3.77732799880696e-19,1.4993315997454e-12,exponential,0.01,8,33,3,4,2
Aio,4,1.77391474475116e-08,2.83332215576313e-19,2.62635656187382e-20,exponential,0.01,8,33,3,4,2
Amda,4,1.42606651864655e-09,2.21480181542778e-17,2.06039148480096e-13,exponential,0.01,8,33,3,4,2
Aw_p,2,1.87720155954073e-08,1.00225413101924e-14,1.60042369986567e-09,exponential,0.01,8,33,3,4,2
Aw_m,2,6.00857000121712e-09,1.16775018921213e-14,6.34913686236131e-09,exponential,0.01,8,33,3,4,2
Ag_q,2,3.75262042189594e-14,2.94186293569593e-22,4.58928191477706e-15,exponential,0.01,8,33,3,4,2
Ag_0,2,1.2128149296591e-11,9.41323795776844e-20,1.4993316007495e-12,exponential,0.01,8,33,3,4,2
Aio,2,1.77391474475116e-08,2.17433088877788e-19,1.51305897867995e-19,exponential,0.01,8,33,3,4,2
Amda,2,1.42606651864655e-09,5.34876656208837e-18,2.06039202690204e-13,exponential,0.01,8,33,3,4,2
Aw_p,1,1.87720155954073e-08,2.50568139401405e-15,1.60042369751436e-09,exponential,0.01,8,33,3,4,2
Aw_m,1,6.00857000121712e-09,2.91944996293948e-15,6.34913686152325e-09,exponential,0.01,8,33,3,4,2
Ag_q,1,3.75262042189594e-14,7.41890351744451e-23,4.5892819136308e-15,exponential,0.01,8,33,3,4,2
Ag_0,1,1.2128149296591e-11,2.26813999714381e-20,1.49933159847382e-12,exponential,0.01,8,33,3,4,2
Aio,1,1.77391474475116e-08,1.02103743765681e-18,7.49177770545097e-19,exponential,0.01,8,33,3,4,2
Amda,1,1.42606651864655e-09,1.60238698567751e-18,2.06038660589118e-13,exponential,0.01,8,33,3,4,2
Aw_p,0.5,1.87720155954073e-08,6.26418366009968e-16,1.60042369908608e-09,exponential,0.01,8,33,3,4,2
Aw_m,0.5,6.00857000121712e-09,7.29848086628398e-16,6.34913686193539e-09,exponential,0.01,8,33,3,4,2
Ag_q,0.5,3.75262042189594e-14,1.89258098347758e-23,4.5892819135942e-15,exponential,0.01,8,33,3,4,2
Ag_0,0.5,1.2128149296591e-11,9.63709344191015e-21,1.49933160068916e-12,exponential,0.01,8,33,3,4,2
Aio,0.5,1.77391474475116e-08,6.38755129522184e-19,8.28406157463825e-19,exponential,0.01,8,33,3,4,2
Amda,0.5,1.42606651864655e-09,7.22765603830459e-19,2.06039311110422e-13,exponential,0.01,8,33,3,4,2
Aw_p,0.25,1.87720155954073e-08,1.56604007031896e-16,1.60042370060833e-09,exponential,0.01,8,33,3,4,2
Aw_m,0.25,6.00857000121712e-09,1.82491774806064e-16,6.3491368623069e-09,exponential,0.01,8,33,3,4,2
Ag_q,0.25,3.75262042189594e-14,1.61920635143867e-23,4.58928191462819e-15,exponential,0.01,8,33,3,4,2
Ag_0,0.25,1.2128149296591e-11,2.07581363191981e-20,1.49933160603596e-12,exponential,0.01,8,33,3,4,2
Aio,0.25,1.77391474475116e-08,1.43285932929509e-18,1.28509610649933e-18,exponential,0.01,8,33,3,4,2
Amda,0.25,1.42606651864655e-09,1.44563874114055e-18,2.06038010067815e-13,exponential,0.01,8,33,3,4,2
Aw_p,0.125,1.87720155954073e-08,1.61413750998145e-16,1.60042369795989e-09,exponential,0.01,8,33,3,4,2
Aw_m,0.125,6.00857000121712e-09,1.36977277110874e-16,6.34913685937057e-09,exponential,0.01,8,33,3,4,2
Ag_q,0.125,3.75262042189594e-14,3.41106856274882e-23,4.58928191112779e-15,exponential,0.01,8,33,3,4,2
Ag_0,0.125,1.2128149296591e-11,4.38712647018009e-20,1.49933162190079e-12,exponential,0.01,8,33,3,4,2
Aio,0.125,1.77391474475116e-08,2.4020278949586e-18,5.55047728124862e-18,exponential,0.01,8,33,3,4,2
Amda,0.125,1.42606651864655e-09,2.03606785467171e-18,2.06036275344339e-13,exponential,0.01,8,33,3,4,2
Aw_p,4,1.87695296409836e-06,4.00901964083218e-12,1.60047493810483e-07,exponential,0.1,16,65,3,4,2
Aw_m,4,6.01112907564376e-07,4.67020907415905e-12,6.34939568115817e-07,exponential,0.1,16,65,3,4,2
Ag_q,4,3.75278816570844e-12,1.17283909117514e-19,4.58938257378049e-13,exponential,0.1,16,65,3,4,2
Ag_0,4,1.21305775301408e-09,3.77048834544843e-17,1.49916371311618e-10,exponential,0.1,16,65,3,4,2
Aio,4,1.773914779097e-06,1.36079597399065e-18,2.04984135053836e-18,exponential,0.1,16,65,3,4,2
Amda,4,1.42589407664779e-07,2.21773602027513e-15,2.05972657544874e-11,exponential,0.1,16,65,3,4,2
Aw_p,2,1.87695296409836e-06,1.00234316334117e-12,1.60047493816742e-07,exponential,0.1,16,65,3,4,2
Aw_m,2,6.01112907564376e-07,1.16766606978132e-12,6.3493956811898e-07,exponential,0.1,16,65,3,4,2
Ag_q,2,3.75278816570844e-12,2.93202288419955e-20,4.58938257378072e-13,exponential,0.1,16,65,3,4,2
Ag_0,2,1.21305775301408e-09,9.42920325704201e-18,1.49916371314713e-10,exponential,0.1,16,65,3,4,2
Aio,2,1.773914779097e-06,2.33403470035791e-18,1.27394372378588e-18,exponential,0.1,16,65,3,4,2
Amda,2,1.42589407664779e-07,5.54136206813374e-16,2.05972644534448e-11,exponential,0.1,16,65,3,4,2
Aw_p,1,1.87695296409836e-06,2.5059138947769e-13,1.60047493824887e-07,exponential,0.1,16,65,3,4,2
Aw_m,1,6.01112907564376e-07,2.91923556394711e-13,6.34939568120377e-07,exponential,0.1,16,65,3,4,2
Ag_q,1,3.75278816570844e-12,7.33055949484864e-21,4.58938257376523e-13,exponential,0.1,16,65,3,4,2
Ag_0,1,1.21305775301408e-09,2.36142200805113e-18,1.4991637129834e-10,exponential,0.1,16,65,3,4,2
Aio,1,1.773914779097e-06,4.27023975959758e-18,2.70161490332442e-18,exponential,0.1,16,65,3,4,2
Amda,1,1.42589407664779e-07,1.38669934316929e-16,2.05972618513596e-11,exponential,0.1,16,65,3,4,2
Aw_p,0.5,1.87695296409836e-06,6.26481262009581e-14,1.60047493810909e-07,exponential,0.1,16,65,3,4,2
Aw_m,0.5,6.01112907564376e-07,7.29814749303448e-14,6.34939568112314e-07,exponential,0.1,16,65,3,4,2
Ag_q,0.5,3.75278816570844e-12,1.84235575688057e-21,4.58938257374277e-13,exponential,0.1,16,65,3,4,2
Ag_0,0.5,1.21305775301408e-09,6.18633196431561e-19,1.49916371322792e-10,exponential,0.1,16,65,3,4,2
Aio,0.5,1.773914779097e-06,6.82769171979241e-18,6.92685773238756e-18,exponential,0.1,16,65,3,4,2
Amda,0.5,1.42589407664779e-07,3.63212492342972e-17,2.05972653208065e-11,exponential,0.1,16,65,3,4,2
Aw_p,0.25,1.87695296409836e-06,1.56619745340648e-14,1.60047493799164e-07,exponential,0.1,16,65,3,4,2
Aw_m,0.25,6.01112907564376e-07,1.82454745176912e-14,6.34939568114599e-07,exponential,0.1,16,65,3,4,2
Ag_q,0.25,3.75278816570844e-12,4.6188226981503e-22,4.58938257372519e-13,exponential,0.1,16,65,3,4,2
Ag_0,0.25,1.21305775301408e-09,5.53139113839817e-19,1.49916371291993e-10,exponential,0.1,16,65,3,4,2
Aio,0.25,1.773914779097e-06,1.03157677607557e-17,2.8877037175411e-17,exponential,0.1,16,65,3,4,2
Amda,0.25,1.42589407664779e-07,5.4893028937999e-18,2.05972930763821e-11,exponential,0.1,16,65,3,4,2
Aw_p,0.125,1.87695296409836e-06,3.9154971152527e-15,1.60047493949563e-07,exponential,0.1,16,65,3,4,2
Aw_m,0.125,6.01112907564376e-07,4.56135748906257e-15,6.34939568161012e-07,exponential,0.1,16,65,3,4,2
Ag_q,0.125,3.75278816570844e-12,5.07782320039337e-22,4.58938257428584e-13,exponential,0.1,16,65,3,4,2
Ag_0,0.125,1.21305775301408e-09,1.0136813826568e-18,1.4991637137721e-10,exponential,0.1,16,65,3,4,2
Aio,0.125,1.773914779097e-06,7.54394444290774e-17,2.80096242033734e-17,exponential,0.1,16,65,3,4,2
Amda,0.125,1.42589407664779e-07,8.56567361866832e-18,2.05972653208065e-11,exponential,0.1,16,65,3,4,2
Aw_p,4,1.87720929886851e-08,4.00866125567561e-14,1.60042369933635e-09,exponential,0.01,16,65,3,4,2
Aw_m,4,6.0086698675995e-09,4.67054744936641e-14,6.34913686236658e-09,exponential,0.01,16,65,3,4,2
Ag_q,4,3.75262042189693e-14,1.17590083325359e-21,4.58928191440703e-15,exponential,0.01,16,65,3,4,2
Ag_0,4,1.2128149296387e-11,3.78384950612903e-19,1.49933160001313e-12,exponential,0.01,16,65,3,4,2
Aio,4,1.77391474475111e-08,7.17399229242292e-20,6.48740126481877e-20,exponential,0.01,16,65,3,4,2
Amda,4,1.42606651864619e-09,2.21476622598193e-17,2.06038986205664e-13,exponential,0.01,16,65,3,4,2
Aw_p,2,1.87720929886851e-08,1.00225341800844e-14,1.60042369910564e-09,exponential,0.01,16,65,3,4,2
Aw_m,2,6.0086698675995e-09,1.167751029251e-14,6.34913686235712e-09,exponential,0.01,16,65,3,4,2
Ag_q,2,3.75262042189693e-14,2.93942133189361e-22,4.5892819144313e-15,exponential,0.01,16,65,3,4,2
Ag_0,2,1.2128149296387e-11,9.43867943925114e-20,1.49933160080842e-12,exponential,0.01,16,65,3,4,2
Aio,2,1.77391474475111e-08,2.22985986413285e-19,1.9833476615965e-19,exponential,0.01,16,65,3,4,2
Amda,2,1.42606651864619e-09,5.50515891216678e-18,2.06039203046099e-13,exponential,0.01,16,65,3,4,2
Aw_p,1,1.87720929886851e-08,2.50567773077041e-15,1.60042369968207e-09,exponential,0.01,16,65,3,4,2
Aw_m,1,6.0086698675995e-09,2.91946276866732e-15,6.34913686239221e-09,exponential,0.01,16,65,3,4,2
Ag_q,1,3.75262042189693e-14,7.37848160183074e-23,4.58928191445491e-15,exponential,0.01,16,65,3,4,2
Ag_0,1,1.2128149296387e-11,2.38914997259133e-20,1.49933160021575e-12,exponential,0.01,16,65,3,4,2
Aio,1,1.77391474475111e-08,7.37923859584467e-19,2.61710496003997e-19,exponential,0.01,16,65,3,4,2
Amda,1,1.42606651864619e-09,2.31275191135488e-18,2.06038660945013e-13,exponential,0.01,16,65,3,4,2
Aw_p,0.5,1.87720929886851e-08,6.26422249542323e-16,1.60042369860972e-09,exponential,0.01,16,65,3,4,2
Aw_m,0.5,6.0086698675995e-09,7.29887477594137e-16,6.34913686213541e-09,exponential,0.01,16,65,3,4,2
Ag_q,0.5,3.75262042189693e-14,1.87776085998648e-23,4.58928191470501e-15,exponential,0.01,16,65,3,4,2
Ag_0,0.5,1.2128149296387e-11,2.9307608949567e-20,1.49933160247098e-12,exponential,0.01,16,65,3,4,2
Aio,0.5,1.77391474475111e-08,8.38044736498535e-19,2.39521146482416e-18,exponential,0.01,16,65,3,4,2
Amda,0.5,1.42606651864619e-09,7.23014171604531e-19,2.06038444104578e-13,exponential,0.01,16,65,3,4,2
Aw_p,0.25,1.87720929886851e-08,1.56647350049381e-16,1.6004237012552e-09,exponential,0.01,16,65,3,4,2
Aw_m,0.25,6.0086698675995e-09,1.82447305888611e-16,6.34913686190865e-09,exponential,0.01,16,65,3,4,2
Ag_q,0.25,3.75262042189693e-14,3.62394628081996e-23,4.58928191548503e-15,exponential,0.01,16,65,3,4,2
Ag_0,0.25,1.2128149296387e-11,5.65175484197025e-20,1.49933160109633e-12,exponential,0.01,16,65,3,4,2
Aio,0.25,1.77391474475111e-08,1.19669045378672e-18,1.09384411997436e-18,exponential,0.01,16,65,3,4,2
Amda,0.25,1.42606651864619e-09,1.43373499174045e-18,2.06038010423709e-13,exponential,0.01,16,65,3,4,2
Aw_p,0.125,1.87720929886851e-08,8.8830785685467e-17,1.60042368990374e-09,exponential,0.01,16,65,3,4,2
Aw_m,0.125,6.0086698675995e-09,7.70480566013043e-17,6.34913685857757e-09,exponential,0.01,16,65,3,4,2
Ag_q,0.125,3.75262042189693e-14,4.59615385320998e-23,4.58928191602564e-15,exponential,0.01,16,65,3,4,2
Ag_0,0.125,1.2128149296387e-11,1.62432779006285e-19,1.49933160702345e-12,exponential,0.01,16,65,3,4,2
Aio,0.125,1.77391474475111e-08,4.01012230452859e-18,1.61403395357918e-18,exponential,0.01,16,65,3,4,2
Amda,0.125,1.42606651864619e-09,3.00988484236355e-19,2.06036275700233e-13,exponential,0.01,16,65,3,4,2
Aw_p,4,1.87693390063977e-06,4.01252084400865e-12,9.89991695828885e-08,exponential,0.1,16,65,6,8,4
Aw_m,4,6.01463887169562e-07,4.67428134868888e-12,6.34477936889268e-07,exponential,0.1,16,65,6,8,4
Ag_q,4,3.7527882740524e-12,1.17302273393264e-19,4.58938257378002e-13,exponential,0.1,16,65,6,8,4
Ag_0,4,1.27740433871473e-09,2.10150088284277e-17,8.41062693166632e-11,exponential,0.1,16,65,6,8,4
Aio,4,1.773914779097e-06,5.33708034954709e-19,7.56968366463169e-19,exponential,0.1,16,65,6,8,4
Amda,4,1.59344310292346e-07,2.59382764858111e-15,3.82210956167561e-11,exponential,0.1,16,65,6,8,4
Aw_p,2,1.87693390063977e-06,1.00321852534412e-12,9.89991695837014e-08,exponential,0.1,16,65,6,8,4
Aw_m,2,6.01463887169562e-07,1.16868420530912e-12,6.34477936887895e-07,exponential,0.1,16,65,6,8,4
Ag_q,2,3.7527882740524e-12,2.93264155431605e-20,4.58938257377325e-13,exponential,0.1,16,65,6,8,4
Ag_0,2,1.27740433871473e-09,5.25243482459383e-18,8.4106269320344e-11,exponential,0.1,16,65,6,8,4
Aio,2,1.773914779097e-06,2.21415977914875e-18,1.09286566604307e-18,exponential,0.1,16,65,6,8,4
Amda,2,1.59344310292346e-07,6.49067106739545e-16,3.82210943191016e-11,exponential,0.1,16,65,6,8,4
Aw_p,1,1.87693390063977e-06,2.50810229654133e-13,9.89991695787614e-08,exponential,0.1,16,65,6,8,4
Aw_m,1,6.01463887169562e-07,2.92178135300059e-13,6.34477936888298e-07,exponential,0.1,16,65,6,8,4
Ag_q,1,3.7527882740524e-12,7.33134838419856e-21,4.58938257371669e-13,exponential,0.1,16,65,6,8,4
Ag_0,1,1.27740433871473e-09,1.3027244004126e-18,8.41062693018893e-11,exponential,0.1,16,65,6,8,4
Aio,1,1.773914779097e-06,4.51007942494742e-18,5.30917027954713e-18,exponential,0.1,16,65,6,8,4
Amda,1,1.59344310292346e-07,1.58655359070039e-16,3.82210932620045e-11,exponential,0.1,16,65,6,8,4
Aw_p,0.5,1.87693390063977e-06,6.27028810269263e-14,9.89991695682496e-08,exponential,0.1,16,65,6,8,4
Aw_m,0.5,6.01463887169562e-07,7.30449687136099e-14,6.34477936882301e-07,exponential,0.1,16,65,6,8,4
Ag_q,0.5,3.7527882740524e-12,1.83242134181594e-21,4.58938257374744e-13,exponential,0.1,16,65,6,8,4
Ag_0,0.5,1.27740433871473e-09,3.35313809023865e-19,8.41062693309466e-11,exponential,0.1,16,65,6,8,4
Aio,0.5,1.773914779097e-06,1.72986125983829e-17,6.75465615486676e-18,exponential,0.1,16,65,6,8,4
Amda,0.5,1.59344310292346e-07,4.00436414001247e-17,3.82210944139693e-11,exponential,0.1,16,65,6,8,4
Aw_p,0.25,1.87693390063977e-06,1.56759019242639e-14,9.89991695368942e-08,exponential,0.1,16,65,6,8,4
Aw_m,0.25,6.01463887169562e-07,1.82612550842753e-14,6.34477936882617e-07,exponential,0.1,16,65,6,8,4
Ag_q,0.25,3.7527882740524e-12,4.69075862247239e-22,4.58938257378265e-13,exponential,0.1,16,65,6,8,4
Ag_0,0.25,1.27740433871473e-09,5.70565683222697e-19,8.41062693087181e-11,exponential,0.1,16,65,6,8,4
Aio,0.25,1.773914779097e-06,1.21558807338422e-17,4.57990351342122e-17,exponential,0.1,16,65,6,8,4
Amda,0.25,1.59344310292346e-07,2.41058694645877e-17,3.82210974497354e-11,exponential,0.1,16,65,6,8,4
Aw_p,0.125,1.87693390063977e-06,4.6556635504056e-15,9.89991697529332e-08,exponential,0.1,16,65,6,8,4
Aw_m,0.125,6.01463887169562e-07,4.56492923064901e-15,6.34477936925269e-07,exponential,0.1,16,65,6,8,4
Ag_q,0.125,3.7527882740524e-12,5.52075649646708e-22,4.58938257387844e-13,exponential,0.1,16,65,6,8,4
Ag_0,0.125,1.27740433871473e-09,1.68023461004188e-18,8.41062693107671e-11,exponential,0.1,16,65,6,8,4
Aio,0.125,1.773914779097e-06,4.61769528321068e-17,4.83845120908288e-17,exponential,0.1,16,65,6,8,4
Amda,0.125,1.59344310292346e-07,2.35048995885108e-17,3.82211084001774e-11,exponential,0.1,16,65,6,8,4
Aw_p,4,1.87719167045997e-08,4.01216019103649e-14,9.89951614987324e-10,exponential,0.01,16,65,6,8,4
Aw_m,4,6.01215417033638e-09,4.67462190762243e-14,6.34451980651233e-09,exponential,0.01,16,65,6,8,4
Ag_q,4,3.75262041596333e-14,1.17579014785974e-21,4.58928191440286e-15,exponential,0.01,16,65,6,8,4
Ag_0,4,1.27724826595201e-11,2.11113358814889e-19,8.41185538306445e-13,exponential,0.01,16,65,6,8,4
Aio,4,1.77391474475123e-08,1.1128609894898e-19,1.98814023839462e-19,exponential,0.01,16,65,6,8,4
Amda,4,1.59338221822488e-09,2.58975414306067e-17,3.82226419187587e-13,exponential,0.01,16,65,6,8,4
Aw_p,2,1.87719167045997e-08,1.0031283800745e-14,9.89951614633536e-10,exponential,0.01,16,65,6,8,4
Aw_m,2,6.01215417033638e-09,1.16876967649092e-14,6.3445198064347e-09,exponential,0.01,16,65,6,8,4
Ag_q,2,3.75262041596333e-14,2.93815419614319e-22,4.58928191431595e-15,exponential,0.01,16,65,6,8,4
Ag_0,2,1.27724826595201e-11,5.35289564924118e-20,8.41185537650076e-13,exponential,0.01,16,65,6,8,4
Aio,2,1.77391474475123e-08,1.6573025411442e-19,1.92866937140454e-19,exponential,0.01,16,65,6,8,4
Amda,2,1.59338221822488e-09,6.5830726508405e-18,3.82226482953286e-13,exponential,0.01,16,65,6,8,4
Aw_p,1,1.87719167045997e-08,2.50786160553121e-15,9.89951615090661e-10,exponential,0.01,16,65,6,8,4
Aw_m,1,6.01215417033638e-09,2.92200030935158e-15,6.34451980656388e-09,exponential,0.01,16,65,6,8,4
Ag_q,1,3.75262041596333e-14,7.39980224443577e-23,4.5892819137844e-15,exponential,0.01,16,65,6,8,4
Ag_0,1,1.27724826595201e-11,2.16018228740409e-20,8.41185538978682e-13,exponential,0.01,16,65,6,8,4
Aio,1,1.77391474475123e-08,3.30229295614365e-19,4.76681406234839e-19,exponential,0.01,16,65,6,8,4
Amda,1,1.59338221822488e-09,1.75540836796461e-18,3.82226359392355e-13,exponential,0.01,16,65,6,8,4
Aw_p,0.5,1.87719167045997e-08,6.26972387178024e-16,9.8995161521477e-10,exponential,0.01,16,65,6,8,4
Aw_m,0.5,6.01215417033638e-09,7.30502585142472e-16,6.3445198062146e-09,exponential,0.01,16,65,6,8,4
Ag_q,0.5,3.75262041596333e-14,1.88289080267797e-23,4.58928191444827e-15,exponential,0.01,16,65,6,8,4
Ag_0,0.5,1.27724826595201e-11,3.59957125724706e-20,8.41185537580688e-13,exponential,0.01,16,65,6,8,4
Aio,0.5,1.77391474475123e-08,1.24170352813701e-18,1.72639474092829e-18,exponential,0.01,16,65,6,8,4
Amda,0.5,1.59338221822488e-09,1.30843325896061e-18,3.82226136199174e-13,exponential,0.01,16,65,6,8,4
Aw_p,0.25,1.87719167045997e-08,3.53499716778912e-16,9.89951612049931e-10,exponential,0.01,16,65,6,8,4
Aw_m,0.25,6.01215417033638e-09,2.70412373269746e-16,6.34451980661898e-09,exponential,0.01,16,65,6,8,4
Ag_q,0.25,3.75262041596333e-14,5.88738431032912e-23,4.58928191497188e-15,exponential,0.01,16,65,6,8,4
Ag_0,0.25,1.27724826595201e-11,6.26429195967268e-20,8.41185536771517e-13,exponential,0.01,16,65,6,8,4
Aio,0.25,1.77391474475123e-08,2.29238332933944e-18,5.35120119721413e-19,exponential,0.01,16,65,6,8,4
Amda,0.25,1.59338221822488e-09,1.21676138116473e-18,3.82226403861585e-13,exponential,0.01,16,65,6,8,4
Aw_p,0.125,1.87719167045997e-08,5.27649216261149e-16,9.89951625755816e-10,exponential,0.01,16,65,6,8,4
Aw_m,0.125,6.01215417033638e-09,5.5342496060788e-16,6.34451981046236e-09,exponential,0.01,16,65,6,8,4
Ag_q,0.125,3.75262041596333e-14,8.67223612005924e-23,4.58928191901147e-15,exponential,0.01,16,65,6,8,4
Ag_0,0.125,1.27724826595201e-11,1.19225871703795e-19,8.41185539313856e-13,exponential,0.01,16,65,6,8,4
Aio,0.125,1.77391474475123e-08,2.30077909064576e-18,1.7816630000857e-18,exponential,0.01,16,65,6,8,4
Amda,0.125,1.59338221822488e-09,5.64524194890263e-18,3.82226685076523e-13,exponential,0.01,16,65,6,8,4
