family,step,rateMax,error,omittedTimeError,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Aw_p,0.5,6.93757168237973e-09,2.66251520701432e-17,1.63987035584458e-16,constant,0.01,8,33,3,4,2
Aw_m,0.5,3.49194672669668e-09,3.12175404748882e-17,1.84077970865781e-16,constant,0.01,8,33,3,4,2
Ag_q,0.5,1.74056833942637e-14,7.34336090709096e-24,5.69842684097329e-24,constant,0.01,8,33,3,4,2
Ag_0,0.5,2.19152828689961e-12,1.41064009856886e-20,1.21596259483431e-20,constant,0.01,8,33,3,4,2
Aio,0.5,5.77016243867426e-09,6.41319253738097e-19,7.89691438179771e-19,constant,0.01,8,33,3,4,2
Amda,0.5,1.18488532486747e-09,2.13997993758185e-18,2.13997993758185e-18,constant,0.01,8,33,3,4,2
Aw_p,0.25,6.93757168237973e-09,4.04747605898206e-17,1.77235099695444e-16,constant,0.01,8,33,3,4,2
Aw_m,0.25,3.49194672669668e-09,4.4918804094411e-17,1.46090572506544e-16,constant,0.01,8,33,3,4,2
Ag_q,0.25,1.74056833942637e-14,1.08573084832077e-23,1.23023880589965e-23,constant,0.01,8,33,3,4,2
Ag_0,0.25,2.19152828689961e-12,1.20433476038493e-20,1.83648224002629e-20,constant,0.01,8,33,3,4,2
Aio,0.25,5.77016243867426e-09,9.35496781658069e-19,8.2000906221344e-19,constant,0.01,8,33,3,4,2
Amda,0.25,1.18488532486747e-09,3.87470341355866e-18,3.62278100851226e-18,constant,0.01,8,33,3,4,2
Aw_p,0.125,6.93757168237973e-09,6.99211365921728e-17,1.85534344955338e-16,constant,0.01,8,33,3,4,2
Aw_m,0.125,3.49194672669668e-09,9.16496816186426e-17,1.96619925645372e-16,constant,0.01,8,33,3,4,2
Ag_q,0.125,1.74056833942637e-14,1.45803080813537e-23,2.22927658994913e-23,constant,0.01,8,33,3,4,2
Ag_0,0.125,2.19152828689961e-12,3.20220265243385e-20,6.59535928719233e-20,constant,0.01,8,33,3,4,2
Aio,0.125,5.77016243867426e-09,1.75233975159251e-18,8.77069531338299e-19,constant,0.01,8,33,3,4,2
Amda,0.125,1.18488532486747e-09,6.53363744230219e-18,3.31611289539497e-18,constant,0.01,8,33,3,4,2
Aw_p,4,6.9379371150519e-07,2.93466834055865e-17,1.74774843886709e-15,constant,0.1,16,65,3,4,2
Aw_m,4,3.492208305883e-07,2.84160550692528e-17,1.76722671529988e-15,constant,0.1,16,65,3,4,2
Ag_q,4,1.7405816262668e-12,1.02776153965862e-23,8.60746992087188e-24,constant,0.1,16,65,3,4,2
Ag_0,4,2.19155345478274e-10,3.91426492862013e-20,5.31700138723216e-20,constant,0.1,16,65,3,4,2
Aio,4,5.77016251606792e-07,5.37033775306831e-19,1.9602445073258e-18,constant,0.1,16,65,3,4,2
Amda,4,1.18492142893865e-07,2.35502952605277e-18,2.35502952605277e-18,constant,0.1,16,65,3,4,2
Aw_p,2,6.9379371150519e-07,4.42506567225825e-17,1.76978325200965e-15,constant,0.1,16,65,3,4,2
Aw_m,2,3.492208305883e-07,5.6699694555799e-17,1.80001705598479e-15,constant,0.1,16,65,3,4,2
Ag_q,2,1.7405816262668e-12,2.796470562033e-23,1.82615843339575e-23,constant,0.1,16,65,3,4,2
Ag_0,2,2.19155345478274e-10,6.67754995051383e-20,4.77280780727391e-20,constant,0.1,16,65,3,4,2
Aio,2,5.77016251606792e-07,1.22372733035444e-18,1.4761255335511e-18,constant,0.1,16,65,3,4,2
Amda,2,1.18492142893865e-07,9.78803480578488e-18,8.05331132980807e-18,constant,0.1,16,65,3,4,2
Aw_p,1,6.9379371150519e-07,2.15751576799091e-16,1.83637754570869e-15,constant,0.1,16,65,3,4,2
Aw_m,1,3.492208305883e-07,1.91921343507799e-16,1.86710594854638e-15,constant,0.1,16,65,3,4,2
Ag_q,1,1.7405816262668e-12,3.80274542597457e-23,3.39959530365639e-23,constant,0.1,16,65,3,4,2
Ag_0,1,2.19155345478274e-10,1.2660676132644e-19,1.57096342228679e-19,constant,0.1,16,65,3,4,2
Aio,1,5.77016251606792e-07,2.18635871542509e-18,1.82185609098216e-18,constant,0.1,16,65,3,4,2
Amda,1,1.18492142893865e-07,1.11441742590084e-18,8.05331132980807e-18,constant,0.1,16,65,3,4,2
Aw_p,0.5,6.9379371150519e-07,2.00192653924722e-16,1.7325136837475e-15,constant,0.1,16,65,3,4,2
Aw_m,0.5,3.492208305883e-07,1.51182306865541e-16,1.58249687166601e-15,constant,0.1,16,65,3,4,2
Ag_q,0.5,1.7405816262668e-12,7.04844578316733e-23,9.13673156368782e-23,constant,0.1,16,65,3,4,2
Ag_0,0.5,2.19155345478274e-10,3.61613049591236e-19,2.9712840714647e-19,constant,0.1,16,65,3,4,2
Aio,0.5,5.77016251606792e-07,1.42798676885204e-17,3.46902741402643e-18,constant,0.1,16,65,3,4,2
Amda,0.5,1.18492142893865e-07,1.13034826275412e-17,9.29392342996e-18,constant,0.1,16,65,3,4,2
Aw_p,0.25,6.9379371150519e-07,7.86057360920293e-16,1.82304475874208e-15,constant,0.1,16,65,3,4,2
Aw_m,0.25,3.492208305883e-07,3.51351377182959e-16,1.82784838516759e-15,constant,0.1,16,65,3,4,2
Ag_q,0.25,1.7405816262668e-12,1.77158306179392e-22,1.22037916747174e-22,constant,0.1,16,65,3,4,2
Ag_0,0.25,2.19155345478274e-10,6.78021868766503e-19,4.2817385482369e-19,constant,0.1,16,65,3,4,2
Aio,0.25,5.77016251606792e-07,6.51597761903976e-18,1.26598684540131e-17,constant,0.1,16,65,3,4,2
Amda,0.25,1.18492142893865e-07,4.58386437785446e-18,1.84616521856689e-17,constant,0.1,16,65,3,4,2
Aw_p,0.125,6.9379371150519e-07,1.12156245381749e-15,2.28110038847101e-15,constant,0.1,16,65,3,4,2
Aw_m,0.125,3.492208305883e-07,1.94363914240869e-15,2.70999527482169e-15,constant,0.1,16,65,3,4,2
Ag_q,0.125,1.7405816262668e-12,3.17147268215499e-22,3.23287580243545e-22,constant,0.1,16,65,3,4,2
Ag_0,0.125,2.19155345478274e-10,1.34255065665702e-18,1.38649680299724e-18,constant,0.1,16,65,3,4,2
Aio,0.125,5.77016251606792e-07,1.73022639357021e-17,9.11379250719342e-18,constant,0.1,16,65,3,4,2
Amda,0.125,1.18492142893865e-07,3.70494990455889e-17,6.48050746612178e-17,constant,0.1,16,65,3,4,2
Aw_p,4,6.93774222621303e-09,5.37423426476546e-18,1.75894784810726e-16,constant,0.01,16,65,3,4,2
Aw_m,4,3.49211698759768e-09,3.12659257246195e-18,1.76152360006657e-16,constant,0.01,16,65,3,4,2
Ag_q,4,1.7405683394265e-14,7.3064736152417e-25,1.56551306428676e-24,constant,0.01,16,65,3,4,2
Ag_0,4,2.1915282869283e-12,3.13099111251532e-21,5.49181214259841e-21,constant,0.01,16,65,3,4,2
Aio,4,5.77016243867463e-09,3.12945102273944e-20,1.11459184119892e-19,constant,0.01,16,65,3,4,2
Amda,4,1.18488532486746e-09,6.35320205374416e-20,1.36843797457098e-19,constant,0.01,16,65,3,4,2
Aw_p,2,6.93774222621303e-09,5.92463429673762e-18,1.76985633752941e-16,constant,0.01,16,65,3,4,2
Aw_m,2,3.49211698759768e-09,4.95459240836226e-18,1.77711663819705e-16,constant,0.01,16,65,3,4,2
Ag_q,2,1.7405683394265e-14,1.88911266071203e-24,2.33555149015711e-24,constant,0.01,16,65,3,4,2
Ag_0,2,2.1915282869283e-12,8.25678698429848e-21,9.56666824329749e-21,constant,0.01,16,65,3,4,2
Aio,2,5.77016243867463e-09,2.10115745795701e-19,3.07474356909783e-19,constant,0.01,16,65,3,4,2
Amda,2,1.18488532486746e-09,1.53308413959659e-19,3.7014884845676e-19,constant,0.01,16,65,3,4,2
Aw_p,1,6.93774222621303e-09,8.35630766339666e-18,1.75203169024998e-16,constant,0.01,16,65,3,4,2
Aw_m,1,3.49211698759768e-09,9.94527033796022e-18,1.60387305255487e-16,constant,0.01,16,65,3,4,2
Ag_q,1,1.7405683394265e-14,3.68556603191766e-24,4.47985833289701e-24,constant,0.01,16,65,3,4,2
Ag_0,1,2.1915282869283e-12,2.08652805135935e-20,1.81641819751177e-20,constant,0.01,16,65,3,4,2
Aio,1,5.77016243867463e-09,1.94591894227151e-19,3.58505132020226e-19,constant,0.01,16,65,3,4,2
Amda,1,1.18488532486746e-09,1.02067015194806e-18,5.86989282953861e-19,constant,0.01,16,65,3,4,2
Aw_p,0.5,6.93774222621303e-09,2.63898133335217e-17,1.54883096836911e-16,constant,0.01,16,65,3,4,2
Aw_m,0.5,3.49211698759768e-09,2.5722565490187e-17,1.71219340063338e-16,constant,0.01,16,65,3,4,2
Ag_q,0.5,1.7405683394265e-14,9.94572966776311e-24,1.29491907575468e-23,constant,0.01,16,65,3,4,2
Ag_0,0.5,2.1915282869283e-12,3.00994786470691e-20,3.02308393250062e-20,constant,0.01,16,65,3,4,2
Aio,0.5,5.77016243867463e-09,4.26741054150413e-19,1.12880294650056e-18,constant,0.01,16,65,3,4,2
Amda,0.5,1.18488532486746e-09,1.02067015194806e-18,1.27261902677406e-18,constant,0.01,16,65,3,4,2
Aw_p,0.25,6.93774222621303e-09,7.0021491871356e-17,1.41349664490143e-16,constant,0.01,16,65,3,4,2
Aw_m,0.25,3.49211698759768e-09,4.70833081507902e-17,1.53697281507551e-16,constant,0.01,16,65,3,4,2
Ag_q,0.25,1.7405683394265e-14,1.66461697032827e-23,1.80643942672389e-23,constant,0.01,16,65,3,4,2
Ag_0,0.25,2.1915282869283e-12,5.84488916314306e-20,5.98834217837499e-20,constant,0.01,16,65,3,4,2
Aio,0.25,5.77016243867463e-09,1.53336469565654e-18,3.7443918143586e-19,constant,0.01,16,65,3,4,2
Amda,0.25,1.18488532486746e-09,5.60942771671608e-18,5.60942771671608e-18,constant,0.01,16,65,3,4,2
Aw_p,0.125,6.93774222621303e-09,1.08906607684415e-16,1.47078899466226e-16,constant,0.01,16,65,3,4,2
Aw_m,0.125,3.49211698759768e-09,1.37557537486445e-16,1.34294429650046e-16,constant,0.01,16,65,3,4,2
Ag_q,0.125,1.7405683394265e-14,3.98182808199688e-23,3.17626821272562e-23,constant,0.01,16,65,3,4,2
Ag_0,0.125,2.1915282869283e-12,1.07799677965415e-19,1.73446705726249e-19,constant,0.01,16,65,3,4,2
Aio,0.125,5.77016243867463e-09,1.80850137816106e-18,3.09208432799886e-18,constant,0.01,16,65,3,4,2
Amda,0.125,1.18488532486746e-09,1.00030835670752e-17,1.34725305190288e-17,constant,0.01,16,65,3,4,2
Aw_p,4,6.9379371150519e-07,1.23570524634448e-16,1.5688737471506e-13,constant,0.1,16,65,6,8,4
Aw_m,4,3.49220830588301e-07,1.28975591770155e-16,1.56873987444086e-13,constant,0.1,16,65,6,8,4
Ag_q,4,1.7405816262668e-12,1.17553282254908e-23,1.14887548156212e-23,constant,0.1,16,65,6,8,4
Ag_0,4,2.19155345478216e-10,2.83349995253188e-20,3.17548088333755e-20,constant,0.1,16,65,6,8,4
Aio,4,5.77016251606788e-07,9.91134750251315e-19,1.0511801573931e-18,constant,0.1,16,65,6,8,4
Amda,4,1.26189949028915e-07,1.70833310571392e-18,8.40971367725512e-19,constant,0.1,16,65,6,8,4
Aw_p,2,6.9379371150519e-07,2.3240668944779e-16,1.56993200228323e-13,constant,0.1,16,65,6,8,4
Aw_m,2,3.49220830588301e-07,2.00928485151481e-16,1.56998288467987e-13,constant,0.1,16,65,6,8,4
Ag_q,2,1.7405816262668e-12,3.94382466229563e-23,6.24377554420559e-23,constant,0.1,16,65,6,8,4
Ag_0,2,2.19155345478216e-10,6.1584203018138e-20,8.28554039657581e-20,constant,0.1,16,65,6,8,4
Aio,2,5.77016251606788e-07,7.25965529608698e-19,1.62342221001733e-18,constant,0.1,16,65,6,8,4
Amda,2,1.26189949028915e-07,2.84824092937119e-18,1.17491410718052e-18,constant,0.1,16,65,6,8,4
Aw_p,1,6.9379371150519e-07,2.89093413489595e-16,1.57178740289795e-13,constant,0.1,16,65,6,8,4
Aw_m,1,3.49220830588301e-07,2.7871081098317e-16,1.57106497889815e-13,constant,0.1,16,65,6,8,4
Ag_q,1,1.7405816262668e-12,6.24366719320972e-23,5.90447274974599e-23,constant,0.1,16,65,6,8,4
Ag_0,1,2.19155345478216e-10,1.21421250443211e-19,2.39944980329163e-19,constant,0.1,16,65,6,8,4
Aio,1,5.77016251606788e-07,1.81636991204281e-18,2.51411816782941e-18,constant,0.1,16,65,6,8,4
Amda,1,1.26189949028915e-07,6.04514179565593e-18,2.35592949855923e-18,constant,0.1,16,65,6,8,4
