profile,Nx,Nz,apvModes,waveModes,variant,setupSeconds,rhsMedian,rhsMinimum,rhsMaximum,diagnosticMedian
constant,8,33,3,4,quadrature displacement,4.43805666666667,0.005406325,0.00458389166666667,0.017765175,0.00278263888888889
constant,8,33,3,4,optimized displacement,4.43805666666667,0.00305258333333333,0.00285088333333333,0.004209575,0.00212384722222222
constant,8,33,3,4,native density,4.43805666666667,0.00273409166666667,0.002646675,0.003305025,0.001894875
constant,8,33,3,4,equivalent density,4.43805666666667,0.0129610333333333,0.00931616666666667,0.0183735833333333,0.00642279166666667
constant,16,65,3,4,quadrature displacement,13.7092540833333,0.00869055833333333,0.00864936666666667,0.0134903083333333,0.004348125
constant,16,65,3,4,optimized displacement,13.7092540833333,0.00649824166666667,0.006376475,0.00663905,0.00414127777777778
constant,16,65,3,4,native density,13.7092540833333,0.00653514166666667,0.00641504166666667,0.00665735,0.00416827777777778
constant,16,65,3,4,equivalent density,13.7092540833333,0.020016225,0.018867725,0.0214751583333333,0.0105899166666667
constant,16,65,6,8,quadrature displacement,13.6523545416667,0.00816500833333333,0.00782813333333333,0.00933723333333333,0.00438588888888889
constant,16,65,6,8,optimized displacement,13.6523545416667,0.00641583333333333,0.00621196666666667,0.00656070833333333,0.00418320833333333
constant,16,65,6,8,native density,13.6523545416667,0.00631913333333333,0.006253525,0.00654303333333333,0.00399679166666667
constant,16,65,6,8,equivalent density,13.6523545416667,0.0193648916666667,0.0190021416666667,0.0201927333333333,0.0108428194444444
exponential,8,33,3,4,quadrature displacement,4.141598875,0.003642275,0.00363239166666667,0.004205525,0.00190113888888889
exponential,8,33,3,4,optimized displacement,4.141598875,0.002732375,0.002599975,0.00280529166666667,0.00183955555555556
exponential,8,33,3,4,native density,4.141598875,0.00264428333333333,0.00256095833333333,0.002744875,0.00184186111111111
exponential,8,33,3,4,equivalent density,4.141598875,0.0144229166666667,0.0143380916666667,0.0160201833333333,0.011360125
exponential,16,65,3,4,quadrature displacement,13.5006212916667,0.00949759166666667,0.009281075,0.01006485,0.00467793055555556
exponential,16,65,3,4,optimized displacement,13.5006212916667,0.00687756666666667,0.00670131666666667,0.00702830833333333,0.00448379166666667
exponential,16,65,3,4,native density,13.5006212916667,0.00675228333333333,0.00667013333333333,0.00684674166666667,0.00454990277777778
exponential,16,65,3,4,equivalent density,13.5006212916667,0.0370559416666667,0.0365351583333333,0.0384278333333333,0.0283362361111111
exponential,16,65,6,8,quadrature displacement,13.443163,0.00938785833333333,0.009143625,0.00970866666666667,0.00458672222222222
exponential,16,65,6,8,optimized displacement,13.443163,0.00674233333333333,0.00659089166666667,0.00704210833333333,0.00448669444444444
exponential,16,65,6,8,native density,13.443163,0.00682550833333333,0.00672655,0.00696538333333333,0.00455777777777778
exponential,16,65,6,8,equivalent density,13.443163,0.04161285,0.04082955,0.0466438083333333,0.0328913472222222
exponential,8,33,10,12,quadrature displacement,4.17617604166667,0.00358306666666667,0.00349753333333333,0.00408409166666667,0.00193466666666667
exponential,8,33,10,12,optimized displacement,4.17617604166667,0.00257755,0.00254998333333333,0.00270484166666667,0.001810125
exponential,8,33,10,12,native density,4.17617604166667,0.00259219166666667,0.00252679166666667,0.00269114166666667,0.00183872222222222
exponential,8,33,10,12,equivalent density,4.17617604166667,0.0160964416666667,0.015902425,0.0165516166666667,0.012970875
exponential,8,65,10,12,quadrature displacement,4.33061325,0.004828625,0.00428350833333333,0.00533254166666667,0.00223920833333333
exponential,8,65,10,12,optimized displacement,4.33061325,0.00329433333333333,0.00322749166666667,0.00351919166666667,0.00212633333333333
exponential,8,65,10,12,native density,4.33061325,0.003308975,0.003248675,0.00347724166666667,0.00215163888888889
exponential,8,65,10,12,equivalent density,4.33061325,0.0199321583333333,0.0198134083333333,0.0204628,0.0159213472222222
exponential,16,65,10,12,quadrature displacement,13.32226475,0.00845795833333333,0.00823875833333333,0.00880054166666667,0.00449309722222222
exponential,16,65,10,12,optimized displacement,13.32226475,0.00678105833333333,0.00655154166666667,0.00699240833333333,0.00439604166666667
exponential,16,65,10,12,native density,13.32226475,0.0068238,0.00669743333333333,0.00693648333333333,0.004481875
exponential,16,65,10,12,equivalent density,13.32226475,0.0431482416666667,0.042183425,0.0434003166666667,0.0343123194444444
