family,referenceMax,pulledError,nativeDifference,closureDifference,profile,amplitude,Nx,Nz,apvModes,waveModes,mdaModes
Aw_p,1.85236963089001e-06,1.21737231207554e-21,9.88289441831218e-08,6.97367777833241e-11,exponential,0.1,16,65,3,4,2
Aw_m,1.15728890167334e-06,1.21722949393345e-21,6.34106873123484e-07,6.97367777833282e-11,exponential,0.1,16,65,3,4,2
Aio,1.773914779097e-06,0,0,2.44854369290432e-12,exponential,0.1,16,65,3,4,2
Amda,1.42633491608415e-07,1.72847660799081e-20,2.04024151758182e-11,0,exponential,0.1,16,65,3,4,2
Ag_q,3.89885199140025e-14,1.7070228187867e-27,4.5887465684248e-15,4.15850398008571e-20,exponential,0.01,16,65,3,4,2
Ag_0,1.35976597451472e-11,3.95542861132346e-23,8.0748017913126e-13,1.3810614841883e-17,exponential,0.01,16,65,3,4,2
Aw_p,1.85233182339875e-08,1.57640677115057e-22,9.89786633556141e-10,6.97889225617446e-13,exponential,0.01,16,65,3,4,2
Aw_m,1.15726799677009e-08,1.57635150319309e-22,6.34413237430082e-09,6.97889225617447e-13,exponential,0.01,16,65,3,4,2
Aio,1.77391474475122e-08,0,0,2.18658047907468e-15,exponential,0.01,16,65,3,4,2
Amda,1.42629439482314e-09,1.71639977104753e-22,2.07223805682187e-13,0,exponential,0.01,16,65,3,4,2
Ag_q,3.89886827476779e-12,1.89768536764804e-25,4.58408676678343e-13,4.2078511475302e-17,exponential,0.1,16,65,6,8,4
Ag_0,1.35977452445846e-09,3.26467159168736e-21,8.06110020313532e-11,1.38162608972732e-14,exponential,0.1,16,65,6,8,4
Aw_p,1.85236963089001e-06,2.90274731592669e-21,9.88289441831218e-08,6.98301370339733e-11,exponential,0.1,16,65,6,8,4
Aw_m,1.15728890167334e-06,2.90280589108524e-21,6.34106873123484e-07,6.98301370338505e-11,exponential,0.1,16,65,6,8,4
Aio,1.773914779097e-06,0,0,2.6081746294057e-12,exponential,0.1,16,65,6,8,4
Amda,1.59354693638878e-07,1.73377056391115e-20,5.5900858309191e-11,0,exponential,0.1,16,65,6,8,4
Ag_q,3.89885199140025e-14,1.8048713101541e-27,4.5887465684248e-15,4.20759674156459e-20,exponential,0.01,16,65,6,8,4
Ag_0,1.35976597451472e-11,3.95542861132346e-23,8.0748017913126e-13,1.38158763281876e-17,exponential,0.01,16,65,6,8,4
Aw_p,1.85233182339875e-08,1.98907464224335e-22,9.89786633556141e-10,8.74982697534157e-14,exponential,0.01,16,65,6,8,4
Aw_m,1.15726799677009e-08,1.98907742620473e-22,6.34413237430082e-09,8.74982697533615e-14,exponential,0.01,16,65,6,8,4
Aio,1.77391474475122e-08,0,0,2.3516680186229e-15,exponential,0.01,16,65,6,8,4
Amda,1.59350247853338e-09,1.71226386798477e-22,3.99547868608374e-13,0,exponential,0.01,16,65,6,8,4
