profile,form,duration,dt,medianSeconds,minimumSeconds,maximumSeconds,trial1,trial2,trial3,trial4,trial5
constant,production,160,20,0.0976853333333333,0.0920065416666667,0.123717541666667,0.123717541666667,0.0976853333333333,0.119012791666667,0.0942469166666667,0.0920065416666667
constant,divergence,160,20,0.0949337916666667,0.0866293333333333,0.112388791666667,0.112388791666667,0.0949337916666667,0.109031333333333,0.0866293333333333,0.0889725833333333
constant,advective,160,20,0.0993822083333333,0.0853605,0.111033875,0.10998475,0.0993822083333333,0.0944905,0.111033875,0.0853605
constant,split,160,20,0.114740458333333,0.101345875,0.120736958333333,0.11916125,0.114740458333333,0.120736958333333,0.110780041666667,0.101345875
constant,compatible,160,20,0.0952360416666667,0.0897324583333333,0.113756375,0.113756375,0.105040083333333,0.094601,0.0952360416666667,0.0897324583333333
exponential,production,160,20,0.093568625,0.0910562083333333,0.107918083333333,0.093423,0.093568625,0.0953147916666667,0.107918083333333,0.0910562083333333
exponential,divergence,160,20,0.0903123333333333,0.0901922083333333,0.090721375,0.090691375,0.0903123333333333,0.0901922083333333,0.090721375,0.09021875
exponential,advective,160,20,0.0900757083333333,0.0897933333333333,0.0918361666666667,0.0900757083333333,0.0916836666666667,0.0897933333333333,0.0918361666666667,0.08997975
exponential,split,160,20,0.106159625,0.105603,0.108189833333333,0.106159625,0.108189833333333,0.105720625,0.106592041666667,0.105603
exponential,compatible,160,20,0.0966805,0.0942446666666667,0.099291875,0.095565375,0.0992404583333334,0.0966805,0.099291875,0.0942446666666667
