profile,amplitude,time,config,form,family,rmsError,referenceRMS
constant,0.0001,901,6,split,Amda,6.81113930999306e-25,7.30245827231335e-14
constant,0.0001,901,6,compatible,Ag_q,9.06732113656777e-31,4.95725372127821e-20
constant,0.0001,901,6,compatible,Ag_0,1.40542767245536e-26,9.30304098846974e-18
constant,0.0001,901,6,compatible,Aw_p,1.14196651229366e-16,1.60848570866363e-14
constant,0.0001,901,6,compatible,Aw_m,1.14196651229365e-16,8.14936430095231e-15
constant,0.0001,901,6,compatible,Aio,5.37437372633695e-27,3.46615323537481e-13
constant,0.0001,901,6,compatible,Amda,6.81133531416587e-25,7.30245827231335e-14
constant,0.0001,901,7,divergence,Ag_q,0,4.95725372127821e-20
constant,0.0001,901,7,divergence,Ag_0,0,9.30304098846974e-18
constant,0.0001,901,7,divergence,Aw_p,0,1.60848570866363e-14
constant,0.0001,901,7,divergence,Aw_m,0,8.14936430095231e-15
constant,0.0001,901,7,divergence,Aio,0,3.46615323537481e-13
constant,0.0001,901,7,divergence,Amda,0,7.30245827231335e-14
constant,0.0001,901,7,advective,Ag_q,9.10235642526229e-31,4.95725372127821e-20
constant,0.0001,901,7,advective,Ag_0,1.35374860746671e-26,9.30304098846974e-18
constant,0.0001,901,7,advective,Aw_p,6.05170604441351e-29,1.60848570866363e-14
constant,0.0001,901,7,advective,Aw_m,6.63115682798816e-29,8.14936430095231e-15
constant,0.0001,901,7,advective,Aio,6.60771621057235e-28,3.46615323537481e-13
constant,0.0001,901,7,advective,Amda,6.85686713383567e-25,7.30245827231335e-14
constant,0.0001,901,7,split,Ag_q,4.55106507658021e-31,4.95725372127821e-20
constant,0.0001,901,7,split,Ag_0,6.76873982880396e-27,9.30304098846974e-18
