scenario,timeVelocity,timeDensity,timeSSH,spaceVelocity,spaceDensity,spaceSSH
waves,7.33042339815282e-12,1.89670257487805e-13,7.09516269347046e-11,3.8704027556483e-08,8.1879448504864e-08,5.70777480381983e-09
mixed,7.30394001319229e-12,1.93480949698322e-13,7.09807384823209e-11,4.84755147028411e-08,7.97623178355679e-08,5.46402266863935e-09
