profile,amplitude,time,config,form,field,rmsError,maxError,referenceRMS
constant,0.0001,327,2,advective,eta,4.30758873540735e-23,2.65247095642492e-22,1.61956742642837e-12
constant,0.0001,327,2,split,u,6.25215251094466e-25,5.57592131359178e-24,8.4743526278153e-14
constant,0.0001,327,2,split,v,2.53140419682389e-25,3.34524986556746e-24,3.18820001727044e-14
constant,0.0001,327,2,split,w,7.81742541284383e-24,7.67765683875962e-23,1.93820011921329e-09
constant,0.0001,327,2,split,eta,4.30519184104461e-23,2.65115728213668e-22,1.61956742642837e-12
constant,0.0001,327,2,compatible,u,8.0260751053992e-18,1.43617513349011e-17,8.4743526278153e-14
constant,0.0001,327,2,compatible,v,4.65462459506928e-18,1.07744837476044e-17,3.18820001727044e-14
constant,0.0001,327,2,compatible,w,5.43945956903449e-20,1.16839901136665e-19,1.93820011921329e-09
constant,0.0001,327,2,compatible,eta,1.4532269441828e-16,2.52198661571465e-16,1.61956742642837e-12
constant,0.0001,327,3,divergence,u,6.25778170019456e-25,5.63612717787825e-24,8.47435262781523e-14
constant,0.0001,327,3,divergence,v,2.41503802027194e-25,3.34527510911643e-24,3.1882000172703e-14
constant,0.0001,327,3,divergence,w,7.83365841851318e-24,7.88477597707165e-23,1.93820011632719e-09
constant,0.0001,327,3,divergence,eta,4.29767166106421e-23,3.33832202598894e-22,1.61956742642837e-12
constant,0.0001,327,3,advective,u,6.2573294351622e-25,5.63395623266708e-24,8.47435262781523e-14
constant,0.0001,327,3,advective,v,2.41491514464876e-25,3.34680234382894e-24,3.1882000172703e-14
constant,0.0001,327,3,advective,w,7.83365437933979e-24,7.88477211165321e-23,1.93820011632719e-09
constant,0.0001,327,3,advective,eta,4.30247758357439e-23,3.34242561730903e-22,1.61956742642837e-12
constant,0.0001,327,3,split,u,6.25754680098635e-25,5.63504170527267e-24,8.47435262781523e-14
constant,0.0001,327,3,split,v,2.41496926672853e-25,3.34603872647269e-24,3.1882000172703e-14
constant,0.0001,327,3,split,w,7.83365639025548e-24,7.88477408380548e-23,1.93820011632719e-09
constant,0.0001,327,3,split,eta,4.30007425699991e-23,3.34037382164898e-22,1.61956742642837e-12
constant,0.0001,327,3,compatible,u,8.02607510538809e-18,1.7552562486447e-17,8.47435262781523e-14
constant,0.0001,327,3,compatible,v,4.6546245950636e-18,1.18649796131868e-17,3.1882000172703e-14
constant,0.0001,327,3,compatible,w,5.4394595597304e-20,1.28407700016624e-19,1.93820011632719e-09
constant,0.0001,327,3,compatible,eta,1.45322694419305e-16,3.03450837641773e-16,1.61956742642837e-12
constant,0.0001,327,4,divergence,u,4.44252640718489e-25,5.70446146493211e-24,8.45882868115964e-14
constant,0.0001,327,4,divergence,v,1.74744846026801e-25,3.40913497711588e-24,3.1792917350659e-14
constant,0.0001,327,4,divergence,w,5.51086525421725e-24,7.85033391551925e-23,1.38101662570568e-09
constant,0.0001,327,4,divergence,eta,3.04247128575597e-23,3.31462287734767e-22,1.63197577105268e-12
constant,0.0001,327,4,advective,u,4.38794518738145e-25,5.63749032952247e-24,8.45882868115964e-14
constant,0.0001,327,4,advective,v,1.71616382361655e-25,3.36688989791949e-24,3.1792917350659e-14
constant,0.0001,327,4,advective,w,5.51088990582379e-24,7.85034314519184e-23,1.38101662570568e-09
constant,0.0001,327,4,advective,eta,3.06733271417945e-23,3.34242208321217e-22,1.63197577105268e-12
constant,0.0001,327,4,split,u,4.4151691656138e-25,5.67098851900178e-24,8.45882868115964e-14
constant,0.0001,327,4,split,v,1.73175667465052e-25,3.38801243751769e-24,3.1792917350659e-14
constant,0.0001,327,4,split,w,5.51087474922383e-24,7.8503384909125e-23,1.38101662570568e-09
constant,0.0001,327,4,split,eta,3.0548797543725e-23,3.3285229851509e-22,1.63197577105268e-12
constant,0.0001,327,4,compatible,u,1.92871474343259e-18,4.1858295338642e-18,8.45882868115964e-14
constant,0.0001,327,4,compatible,v,1.11917001538183e-18,2.83090232311798e-18,3.1792917350659e-14
constant,0.0001,327,4,compatible,w,1.30525704487147e-20,3.05770514229405e-20,1.38101662570568e-09
constant,0.0001,327,4,compatible,eta,3.48813054186313e-17,7.22648409232158e-17,1.63197577105268e-12
constant,0.0001,327,5,divergence,u,2.74516401231559e-25,5.16288636539254e-24,8.45087516946706e-14
constant,0.0001,327,5,divergence,v,1.30269164402428e-25,3.56401834952517e-24,3.17472434320704e-14
constant,0.0001,327,5,divergence,w,2.75534434502544e-24,7.06423031582025e-23,9.80303899565482e-10
constant,0.0001,327,5,divergence,eta,2.18184375389563e-23,3.37849713417004e-22,1.63828788503068e-12
constant,0.0001,327,5,advective,u,2.55700839814167e-25,4.80717951689753e-24,8.45087516946706e-14
constant,0.0001,327,5,advective,v,1.18363433307466e-25,3.39001456649514e-24,3.17472434320704e-14
constant,0.0001,327,5,advective,w,2.75530982566117e-24,7.06404493350753e-23,9.80303899565482e-10
constant,0.0001,327,5,advective,eta,2.2040926826185e-23,3.34240289811496e-22,1.63828788503068e-12
constant,0.0001,327,5,split,u,2.64828231782898e-25,4.98502031937055e-24,8.45087516946706e-14
constant,0.0001,327,5,split,v,1.24195054679059e-25,3.47701645801015e-24,3.17472434320704e-14
constant,0.0001,327,5,split,w,2.75532896011559e-24,7.06413762466389e-23,9.80303899565482e-10
constant,0.0001,327,5,split,eta,2.19238450552889e-23,3.3604500161425e-22,1.63828788503068e-12
constant,0.0001,327,5,compatible,u,4.7316926529422e-19,1.02292475256395e-18,8.45087516946706e-14
constant,0.0001,327,5,compatible,v,2.74631364980132e-19,6.91958141009892e-19,3.17472434320704e-14
constant,0.0001,327,5,compatible,w,3.20018876754372e-21,7.47048825937921e-21,9.80303899565482e-10
constant,0.0001,327,5,compatible,eta,8.55308769545617e-18,1.76502380244933e-17,1.63828788503068e-12
constant,0.0001,327,6,divergence,u,2.75146872914304e-25,5.21453466657917e-24,8.45087516946706e-14
constant,0.0001,327,6,divergence,v,1.30132726620043e-25,3.62836257812042e-24,3.17472434320704e-14
constant,0.0001,327,6,divergence,w,6.95687701475137e-12,5.89944677036249e-10,9.80302157207727e-10
constant,0.0001,327,6,divergence,eta,2.18189015317611e-23,3.37791047409204e-22,1.63828788503068e-12
constant,0.0001,327,6,advective,u,2.55550035700229e-25,4.81361662188413e-24,8.45087516946706e-14
constant,0.0001,327,6,advective,v,1.18389150650561e-25,3.3987567230468e-24,3.17472434320704e-14
constant,0.0001,327,6,advective,w,6.95687701475137e-12,5.89944677036249e-10,9.80302157207727e-10
constant,0.0001,327,6,advective,eta,2.2040928517955e-23,3.34241703450238e-22,1.63828788503068e-12
constant,0.0001,327,6,split,u,2.65070975700781e-25,4.96936931901097e-24,8.45087516946706e-14
constant,0.0001,327,6,split,v,1.2413794457418e-25,3.51137450587615e-24,3.17472434320704e-14
