policy,tolerance,status,largestDenseQuadraticCount,largestSampledQuadraticCount,falseAcceptance,retainedCountLoss,worstMissedError,limitingInteraction
linear,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
fixed,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
targeted,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
linear,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
fixed,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
targeted,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
linear,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
fixed,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
targeted,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
