waveCount,gramError,denseError,fixedError,targetedError
1,5.15589793081972e-11,0.0124043924733996,0.0124043924733996,0.0124043924733996
2,5.99025535902609e-08,0.0168873351067305,0.0155912227928638,0.0155912227928638
3,8.53485650791262e-08,0.0220854002982378,0.0220603551715612,0.0220603551715612
4,8.54305287847504e-08,0.0225770324468613,0.0225521642714739,0.0225521642714739
5,1.17795653748084e-07,0.028119383379817,0.0280982404947281,0.0280982404947281
6,1.58151479600966e-07,0.0283669847995043,0.028346186503768,0.028346186503768
7,1.60343064314027e-07,0.0304058250039816,0.0303857028484344,0.0303857028484344
8,2.59549710050699e-07,0.0310667045414448,0.031047010794282,0.031047010794282
9,3.09104528145182e-07,0.03120949678123,0.031189788132906,0.031189788132906
10,3.58856047373623e-07,0.0317995175719261,0.0317800752818584,0.0317800752818584
11,6.17370198791365e-07,0.0318736396729946,0.0318542644381523,0.0318542644381523
12,6.35488085197804e-07,0.0320070423185825,0.0319877006113529,0.0319877006113529
13,9.08521672259694e-07,0.0321207158267498,0.0321014299988747,0.0321014299988747
14,1.42089428611601e-06,0.0321207940578461,0.0321015082299709,0.0321015082299709
15,1.53700560411487e-06,0.0321918502449989,0.0321725904941559,0.0321725904941559
16,2.49858890897047e-06,0.0322210974991322,0.0322018601000309,0.0322018601000309
