Nx,Ny,Z,directionalSeconds,spectralSeconds,relativeDifference
8,8,33,3.18777777777778e-05,7.76777777777778e-05,4.603054187868e-16
8,8,65,8.1875e-05,3.73888888888889e-05,4.55768407336504e-16
8,8,129,0.0002564125,0.000294911111111111,4.3986495203089e-16
16,16,65,0.000298679166666667,0.000368609722222222,9.31505453791435e-16
