requestedDegree,representedDegree,horizontalSide,Z,amplitude,quadratureSetupSeconds,recurrenceSetupSeconds,quadratureSeconds,recurrenceSeconds,absoluteRemainderDifference
0,0,8,65,0.1,0.0254255,0.0244507916666667,0.00111656666666667,0.000973695833333333,0
0,0,8,65,1e-07,0.0254255,0.0244507916666667,0.00135685833333333,0.00107629583333333,0
0,0,8,65,1e-12,0.0254255,0.0244507916666667,0.0007125625,0.0005296875,0
0,0,32,65,0.1,0.0254255,0.0244507916666667,0.00420934166666667,0.00338128333333333,0
0,0,32,65,1e-07,0.0254255,0.0244507916666667,0.0041180375,0.00330161666666667,0
0,0,32,65,1e-12,0.0254255,0.0244507916666667,0.003685025,0.00310644583333333,0
8,8,8,65,0.1,0.00376,0.00666420833333333,0.00116380833333333,0.000722270833333333,2.3553709448506e-21
8,8,8,65,1e-07,0.00376,0.00666420833333333,0.00113832916666667,0.000746333333333333,3.13013294023394e-27
8,8,8,65,1e-12,0.00376,0.00666420833333333,0.00111522083333333,0.000713641666666667,2.42168189812499e-32
8,8,32,65,0.1,0.00376,0.00666420833333333,0.00689440416666667,0.00503132083333333,3.52810625829766e-21
8,8,32,65,1e-07,0.00376,0.00666420833333333,0.00682877916666667,0.004586925,3.13013294023394e-27
8,8,32,65,1e-12,0.00376,0.00666420833333333,0.0065046125,0.004644075,2.74560926969657e-32
32,29,8,65,0.1,0.004101875,0.00321483333333333,0.002110075,0.000715683333333333,3.51603459123321e-21
32,29,8,65,1e-07,0.004101875,0.00321483333333333,0.00211242916666667,0.000734458333333333,2.84578297355323e-27
32,29,8,65,1e-12,0.004101875,0.00321483333333333,0.00213965833333333,0.000764979166666667,4.67814090148204e-32
32,29,32,65,0.1,0.004101875,0.00321483333333333,0.0222675,0.00864265416666667,5.48586182245168e-21
32,29,32,65,1e-07,0.004101875,0.00321483333333333,0.0221264291666667,0.00868940416666667,5.28641939383815e-27
32,29,32,65,1e-12,0.004101875,0.00321483333333333,0.022231975,0.00870353333333333,4.6751209273996e-32
64,44,8,65,0.1,0.00429670833333333,0.00319608333333333,0.0032305875,0.0008281,5.45649691070605e-21
64,44,8,65,1e-07,0.00429670833333333,0.00319608333333333,0.00310938333333333,0.000830316666666667,3.11407049289217e-27
64,44,8,65,1e-12,0.00429670833333333,0.00319608333333333,0.00309065416666667,0.000812666666666667,7.30569029550711e-32
64,44,32,65,0.1,0.00429670833333333,0.00319608333333333,0.0430028208333333,0.0121779708333333,7.507077649225e-21
64,44,32,65,1e-07,0.00429670833333333,0.00319608333333333,0.0402198291666667,0.0114898125,8.46628158125325e-27
64,44,32,65,1e-12,0.00429670833333333,0.00319608333333333,0.0398028875,0.0113439041666667,8.09868567212997e-32
