requestedDegree,representedDegree,quadratureSeconds,recurrenceSeconds,relativeDifference
0,0,0.0133435208333333,0.00982147083333333,0
8,8,0.00557524583333333,0.0045216375,2.28295431334728e-16
32,29,0.00598314166666667,0.00447587083333333,2.51726835708157e-16
64,44,0.00635004166666667,0.00397386666666667,2.37013696316836e-16
