  PID  %CPU COMM
21626   0.0 /System/Library/PrivateFrameworks/GameControllerFoundation.framework/Versions/A/XPCServices/GameControllerConfigService.xpc/Contents/MacOS/GameControllerConfigService
20706   0.0 /usr/libexec/mobilerepaird
20522   0.0 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbstated
20497   0.0 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
20496   0.0 /usr/libexec/MTLAssetUpgraderD
20495   0.0 /System/Library/PrivateFrameworks/SiriTTSService.framework/sirittsd
20492   0.0 /usr/libexec/sysdiagnosed
20490   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
20489   0.0 /usr/libexec/tzd
20488   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
20480   0.0 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
20479   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService
20477   0.0 /usr/libexec/griddatad
20478   0.0 /usr/libexec/uarpassetmanagerd
20476   0.0 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
20448   0.0 /usr/libexec/assetsubscriptiond
16039   0.0 /System/Library/PrivateFrameworks/RecoveryOS.framework/Versions/A/XPCServices/recoveryos_lockout_service.xpc/Contents/MacOS/recoveryos_lockout_service
16038   0.0 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
16033   0.0 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheManagerService.xpc/Contents/MacOS/AssetCacheManagerService
16030   0.0 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
16026   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
16024   0.0 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
 8873   0.0 /usr/libexec/dprivacyd
 8347   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
 7770   0.0 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
 3580   0.0 /usr/libexec/containermanagerd_system
 3575   0.0 /usr/libexec/metrickitd
93216   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
90638   0.0 /System/Library/PrivateFrameworks/Stickers.framework/Support/stickersd
90407   0.0 /usr/libexec/proactiveeventtrackerd
90397   0.0 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
88369   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
88276   0.0 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
87320   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
86153   0.0 /System/Library/CoreServices/ReportCrash
85708   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
85707   0.0 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
85706   0.0 /usr/sbin/systemsoundserverd
83087   0.0 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService
83086   0.0 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
83074   0.0 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
83033   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
83032   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
83031   0.0 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
83030   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
82991   0.0 /usr/libexec/ASPCarryLog
82251   0.0 /usr/libexec/betaenrollmentd
81797   0.0 /System/Library/PrivateFrameworks/AvatarPersistence.framework/Support/avatarsd
81740   0.0 /usr/libexec/trustd
81735   0.0 /usr/libexec/trustdFileHelper
81734   0.0 /usr/libexec/trustd
81297   0.0 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
78037   0.0 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
77696   0.0 /System/Library/CoreServices/ReportSystemMemory
77694   0.0 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
77076   0.0 /usr/libexec/feedbackd
77066   0.0 /usr/libexec/proactived
77065   0.0 /usr/libexec/gamecontrolleragentd
77064   0.0 /usr/libexec/gamecontrollerd
76863   0.0 /usr/libexec/assessmentagent
75970   0.0 /usr/libexec/inputanalyticsd
75951   0.0 /System/Library/Frameworks/Speech.framework/Versions/A/XPCServices/localspeechrecognition.xpc/Contents/MacOS/localspeechrecognition
75950   0.0 /System/Library/PrivateFrameworks/CallIntelligence.framework/callintelligenced
75943   0.0 /System/Library/PrivateFrameworks/ToneLibrary.framework/Versions/A/XPCServices/com.apple.tonelibraryd.xpc/Contents/MacOS/com.apple.tonelibraryd
71154   0.0 /System/Library/PrivateFrameworks/IntelligenceTasksEngine.framework/Support/intelligencetasksd
69239   0.0 /System/Library/PrivateFrameworks/HomeKitEvents.framework/Support/homeeventsd
68851   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedSettingsSubscriber.xpc/Contents/MacOS/ManagedSettingsSubscriber
68848   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ASConfigurationSubscriber.xpc/Contents/MacOS/ASConfigurationSubscriber
68847   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
68846   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
68845   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedAppsSubscriber.xpc/Contents/MacOS/ManagedAppsSubscriber
68844   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
68843   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PowerSubscriber.xpc/Contents/MacOS/PowerSubscriber
68842   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedAppsSubscriber.xpc/Contents/MacOS/ManagedAppsSubscriber
68841   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/AccountSubscriber.xpc/Contents/MacOS/AccountSubscriber
68840   0.0 /System/Library/CoreServices/iconservicesagent
68839   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
68838   0.0 /System/Library/PrivateFrameworks/SystemMigration.framework/Resources/systemmigrationd
68837   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/MigrationSubscriber.xpc/Contents/MacOS/MigrationSubscriber
68827   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/BackgroundTaskManagementSubscriber.xpc/Contents/MacOS/BackgroundTaskManagementSubscriber
68819   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
68809   0.0 /System/Library/PrivateFrameworks/RemoteManagement.framework/RemoteManagementAgent
68633   0.0 /System/Library/Frameworks/Translation.framework/translationd
68631   0.0 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
68605   0.0 /usr/libexec/powerexperienced
66696   0.0 /usr/libexec/mmaintenanced
66283   0.0 /System/Library/PrivateFrameworks/IDSBlastDoorSupport.framework/Versions/A/XPCServices/IDSBlastDoorService.xpc/Contents/MacOS/IDSBlastDoorService
60830   0.0 /usr/sbin/spindump
60727   0.0 /usr/libexec/milod
60721   0.0 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
60329   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
60196   0.0 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
60192   0.0 /System/Library/AssetsV2/com_apple_MobileAsset_RecoveryOSUpdateBrain/7a84bd1c89069f2e742ece792e84523266f36fdf.asset/AssetData/com.apple.NRD.UpdateBrainService.xpc/Contents/MacOS/com.apple.NRD.UpdateBrainService
60191   0.0 /usr/libexec/NRDUpdated
60190   0.0 /System/Library/PrivateFrameworks/IASUtilities.framework/Versions/A/Resources/installerauthagent
60183   0.0 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
59921   0.0 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
59915   0.0 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
59872   0.0 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
58749   0.0 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
58065   0.0 /usr/libexec/dprivacyd
58027   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSODaemon
58026   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
57473   0.0 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
57472   0.0 /usr/libexec/swtransparencyd
56491   0.0 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
56488   0.0 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
56271   0.0 /System/Library/CoreServices/ScopedBookmarkAgent
54164   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
54163   0.0 /System/Library/CoreServices/talagentd
53868   0.0 /usr/libexec/logd_helper
53740   0.0 /usr/libexec/frauddefensed
52639   0.0 /usr/libexec/nfcd
52634   0.0 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
52617   0.0 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
39820   0.0 /usr/libexec/icloudwebd
34930   0.0 /System/Library/CoreServices/mapspushd
34929   0.0 /System/Library/CoreServices/destinationd
33899   0.0 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
33874   0.0 /System/Cryptexes/App/usr/libexec/webinspectord
33865   0.0 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
33862   0.0 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
33860   0.0 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
33856   0.0 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
33852   0.0 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
33848   0.0 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
23950   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
23632   0.0 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
23724   0.0 /usr/libexec/appleidsetupd
75313   0.0 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
75312   0.0 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension
75311   0.0 /System/Library/ExtensionKit/Extensions/WebThumbnailExtension.appex/Contents/MacOS/WebThumbnailExtension
75310   0.0 /System/Library/ExtensionKit/Extensions/CalendarThumbnailExtension.appex/Contents/MacOS/CalendarThumbnailExtension
75307   0.0 /System/Library/ExtensionKit/Extensions/OfficeThumbnailExtension.appex/Contents/MacOS/OfficeThumbnailExtension
40258   0.0 /usr/sbin/cfprefsd
40257   0.0 /usr/sbin/distnoted
33553   0.0 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
24807   0.0 /usr/libexec/wifivelocityd
20920   0.0 /Users/jearly/Library/Application Support/MathWorks/ServiceHost/v2026.7.0.6/MathWorksServiceHost.app/Contents/Helpers/MathWorksServiceHost-Monitor.app/Contents/MacOS/MathWorksServiceHost-Monitor
20891   0.0 /Users/jearly/Library/Application Support/MathWorks/ServiceHost/v2026.7.0.6/MathWorksServiceHost.app/Contents/MacOS/MathWorksServiceHost
20080   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
20069   0.0 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/PlugIns/QLPreviewGenerationExtension.appex/Contents/MacOS/QLPreviewGenerationExtension
19957   0.0 /Applications/GitHub Desktop.app/Contents/Frameworks/GitHub Desktop Helper (Renderer).app/Contents/MacOS/GitHub Desktop Helper (Renderer)
19952   0.0 /Applications/GitHub Desktop.app/Contents/Frameworks/GitHub Desktop Helper.app/Contents/MacOS/GitHub Desktop Helper
19951   0.0 /Applications/GitHub Desktop.app/Contents/Frameworks/GitHub Desktop Helper (GPU).app/Contents/MacOS/GitHub Desktop Helper (GPU)
19941   0.0 /Applications/GitHub Desktop.app/Contents/MacOS/GitHub Desktop
19001   0.0 /System/Library/ExtensionKit/Extensions/ImageThumbnailExtension.appex/Contents/MacOS/ImageThumbnailExtension
18326   0.0 /System/Library/Frameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
13368   0.0 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
79728   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
70055   0.0 /System/Library/PrivateFrameworks/NewsDaemon.framework/newsd
58861   0.0 /System/Library/PrivateFrameworks/FaceTimeMessageStore.framework/facetimemessagestored
58856   0.0 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
58855   0.0 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
57105   0.0 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
48640   0.0 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
39334   0.0 /System/Library/PrivateFrameworks/AppleAccountTransparency.framework/Versions/A/Resources/appleaccounttransparencyd
30765   0.0 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
30551   0.0 /usr/sbin/cfprefsd
30550   0.0 /usr/sbin/distnoted
36204   0.0 /System/Library/PrivateFrameworks/BookKit.framework/Versions/A/XPCServices/com.apple.BKAgentService.xpc/Contents/MacOS/com.apple.BKAgentService
36202   0.0 /System/Library/PrivateFrameworks/AMPLibrary.framework/Versions/A/Support/AMPLibraryAgent
36201   0.0 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
34226   0.0 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
34025   0.0 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
28377   0.0 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged
26053   0.0 /System/Library/PrivateFrameworks/PrivateCloudCompute.framework/privatecloudcomputed.app/Contents/MacOS/privatecloudcomputed
11642   0.0 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
10251   0.0 /System/Library/Frameworks/ShazamKit.framework/shazamd
 7023   0.0 /usr/libexec/diagnosticd
 5066   0.0 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.external.extra.arm64.xpc/Contents/MacOS/com.apple.dock.external.extra.arm64
 5057   0.0 /usr/libexec/studentd
 5040   0.0 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
 4648   0.0 /System/Library/PrivateFrameworks/MediaConversionService.framework/Versions/A/XPCServices/com.apple.photos.ImageConversionService.xpc/Contents/MacOS/com.apple.photos.ImageConversionService
 4638   0.0 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
 4637   0.0 /System/Library/PrivateFrameworks/MediaAnalysisAccess.framework/Versions/A/XPCServices/mediaanalysisd-access.xpc/Contents/MacOS/mediaanalysisd-access
 4558   0.0 /usr/libexec/ciphermld
 4541   0.0 /usr/sbin/cfprefsd
 4540   0.0 /usr/sbin/cfprefsd
 4539   0.0 /usr/sbin/cfprefsd
 4522   0.0 /usr/sbin/cfprefsd
 4520   0.0 /usr/sbin/cfprefsd
 4519   0.0 /usr/sbin/cfprefsd
 4518   0.0 /usr/sbin/cfprefsd
 4507   0.0 /usr/sbin/cfprefsd
 4506   0.0 /usr/sbin/cfprefsd
 4505   0.0 /usr/sbin/cfprefsd
 4493   0.0 /usr/libexec/seserviced
 4482   0.0 /usr/sbin/cfprefsd
 3976   0.0 /usr/libexec/seputil
 3963   0.0 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstored
 3956   0.0 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
 3431   0.0 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
 3325   0.0 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
 3183   0.0 /usr/libexec/betaenrollmentagent
 3182   0.0 /usr/libexec/mlhostd
 2967   0.0 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
 2968   0.0 /usr/libexec/filevaultd
 2963   0.0 /usr/libexec/keyboardservicesd
 2961   0.0 /usr/libexec/naturallanguaged
 2946   0.0 /System/Library/PrivateFrameworks/OnDeviceStorage.framework/Support/amsondevicestoraged
 2933   0.0 /usr/libexec/textunderstandingd
 2932   0.0 /usr/libexec/icloudmailagent
 2900   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline
 2897   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
 2892   0.0 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/com.apple.CoreSimulator.CoreSimulatorService.xpc/Contents/MacOS/com.apple.CoreSimulator.CoreSimulatorService
 2891   0.0 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
 2889   0.0 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
 2881   0.0 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
 2870   0.0 /usr/sbin/BTLEServerAgent
 2864   0.0 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
 2863   0.0 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
 2860   0.0 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 2831   0.0 /usr/libexec/tipsd
 2816   0.0 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
 2806   0.0 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
 2790   0.0 /usr/sbin/distnoted
 2717   0.0 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
 2706   0.0 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
 2682   0.0 /usr/sbin/cfprefsd
 2680   0.0 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
 2640   0.0 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
 2637   0.0 /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/Versions/A/intelligencecontextd
 2632   0.0 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
 2620   0.0 /System/Library/PrivateFrameworks/People.framework/peopled
 2618   0.0 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
 2566   0.0 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
 2565   0.0 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
 2564   0.0 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
 2553   0.0 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
 2547   0.0 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
 2397   0.0 /System/Library/CoreServices/CrashReporterSupportHelper
 2283   0.0 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
 2261   0.0 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
 2237   0.0 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
 2236   0.0 /usr/libexec/adprivacyd
 2074   0.0 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
 1893   0.0 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
 1892   0.0 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
 1890   0.0 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
 1889   0.0 /usr/libexec/promotedcontentd
 1888   0.0 /System/Library/PrivateFrameworks/AppleMediaServicesUI.framework/amsengagementd
 1884   0.0 /System/Cryptexes/App/usr/libexec/SafariBookmarksSyncAgent
 1883   0.0 /usr/sbin/distnoted
 1875   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
 1874   0.0 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
 1873   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
 1872   0.0 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
 1488   0.0 /System/Library/CoreServices/diagnostics_agent
 1772   0.0 /System/Library/CoreServices/SubmitDiagInfo
 1859   0.0 /Library/Application Support/Mosyle/Mosyle.app/Contents/MacOS/Mosyle
 1856   0.0 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
 1850   0.0 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn
 1846   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1836   0.0 /usr/sbin/distnoted
 1792   0.0 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
 1793   0.0 /usr/sbin/distnoted
 1771   0.0 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
 1770   0.0 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
 1511   0.0 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
 1310   0.0 /System/Library/PrivateFrameworks/ExchangeSync.framework/Versions/Current/exchangesyncd
 1311   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
 1484   0.0 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
 1515   0.0 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
 1739   0.0 /usr/libexec/findmydevice-user-agent
 1520   0.0 /System/Library/PrivateFrameworks/FamilyControls.framework/Resources/parentalcontrolsd
 1737   0.0 /usr/libexec/audioanalyticsd
 1720   0.0 /Applications/NoMachine.app/Contents/Frameworks/bin/nxrunner.app/Contents/MacOS/nxrunner
 1712   0.0 cloudphotod
 1292   0.0 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
