family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,count,order,status
Ag_q,8.75171506897078e-27,1.85407120919833e-14,4.7202691167158e-13,3.50890466890758e-26,2.24356008888912e-09,1.79568925246442e-07,constant,0.01,327,25,0,rejected
Ag_0,1.20301119203175e-22,2.59122819141429e-12,4.64262929840672e-11,4.1519570922478e-22,2.06577812170075e-07,1.60169428987752e-05,constant,0.01,327,25,0,rejected
Aw_p,2.00897215856203e-11,7.03471799653587e-09,0.00285579629425276,9.26381328634351e-19,2.85579601998239,1.31687040959352e-05,constant,0.01,327,25,0,rejected
Aw_m,2.00897215856204e-11,3.58373680006884e-09,0.00560580274344771,9.26381328187398e-19,5.60580143771005,2.58495844246642e-05,constant,0.01,327,25,0,rejected
Aio,6.50144169770314e-24,6.07380887208266e-09,1.07040603921306e-15,1.01117488620911e-23,2.73521741866736e-12,1.66481155568735e-10,constant,0.01,327,25,0,rejected
Amda,4.86552125868332e-22,1.42889198698381e-09,3.40510080748213e-13,9.07594360919165e-22,9.75682923414959e-10,6.35173080970162e-08,constant,0.01,327,25,0,rejected
Ag_q,8.75171506897078e-27,1.85407120919833e-14,4.7202691167158e-13,3.50890466890758e-26,2.24356008888912e-09,1.79568925246442e-07,constant,0.01,327,25,8,assessed
Ag_0,1.20301119203175e-22,2.59122819141429e-12,4.64262929840672e-11,4.1519570922478e-22,2.06577812170075e-07,1.60169428987752e-05,constant,0.01,327,25,8,assessed
Aw_p,9.37636624380541e-23,7.03471799653587e-09,1.33287023707598e-14,9.26381328634351e-19,1.31700369659828e-07,1.31687040959352e-05,constant,0.01,327,25,8,assessed
Aw_m,8.82389222132968e-23,3.58373680006884e-09,2.46220431733719e-14,9.26381328187398e-19,2.58520466282945e-07,2.58495844246642e-05,constant,0.01,327,25,8,assessed
Aio,6.50144169770314e-24,6.07380887208266e-09,1.07040603921306e-15,1.01117488620911e-23,2.73521741866736e-12,1.66481155568735e-10,constant,0.01,327,25,8,assessed
Amda,4.86552125868332e-22,1.42889198698381e-09,3.40510080748213e-13,9.07594360919165e-22,9.75682923414959e-10,6.35173080970162e-08,constant,0.01,327,25,8,assessed
Ag_q,8.75171506897078e-27,1.85407120919833e-14,4.7202691167158e-13,3.50890466890758e-26,2.24356008888912e-09,1.79568925246442e-07,constant,0.01,327,25,16,assessed
Ag_0,1.20301119203175e-22,2.59122819141429e-12,4.64262929840672e-11,4.1519570922478e-22,2.06577812170075e-07,1.60169428987752e-05,constant,0.01,327,25,16,assessed
Aw_p,9.37636266963476e-23,7.03471799653587e-09,1.33286972900008e-14,9.26381328634351e-19,1.31700369654747e-07,1.31687040959352e-05,constant,0.01,327,25,16,assessed
Aw_m,8.82390027023752e-23,3.58373680006884e-09,2.46220656329115e-14,9.26381328187398e-19,2.58520466305404e-07,2.58495844246642e-05,constant,0.01,327,25,16,assessed
Aio,6.50144169770314e-24,6.07380887208266e-09,1.07040603921306e-15,1.01117488620911e-23,2.73521741866736e-12,1.66481155568735e-10,constant,0.01,327,25,16,assessed
Amda,4.86552125868332e-22,1.42889198698381e-09,3.40510080748213e-13,9.07594360919165e-22,9.75682923414959e-10,6.35173080970162e-08,constant,0.01,327,25,16,assessed
Ag_q,8.62210595119393e-27,1.85407120919833e-14,4.65036397114543e-13,3.50890466890758e-26,2.2369273153665e-09,1.79568925246442e-07,constant,0.01,327,33,0,rejected
Ag_0,1.19464197371184e-22,2.59122819141429e-12,4.61033103016605e-11,4.1519570922478e-22,2.06254954084216e-07,1.60169428987752e-05,constant,0.01,327,33,0,rejected
Aw_p,1.11757101615192e-11,7.03471799653587e-09,0.00158865076994167,9.26381328634351e-19,1.58865067579869,1.31687040959352e-05,constant,0.01,327,33,0,rejected
Aw_m,1.11757101615193e-11,3.58373680006884e-09,0.00311845171255452,9.26381328187398e-19,3.11845110088298,2.58495844246642e-05,constant,0.01,327,33,0,rejected
Aio,6.24565819541279e-24,6.07380887208266e-09,1.02829350197699e-15,1.01117488620911e-23,2.69310488836475e-12,1.66481155568735e-10,constant,0.01,327,33,0,rejected
Amda,4.98125570489778e-22,1.42889198698381e-09,3.48609674508184e-13,9.07594360919165e-22,9.8378251150649e-10,6.35173080970162e-08,constant,0.01,327,33,0,rejected
Ag_q,8.62210595119393e-27,1.85407120919833e-14,4.65036397114543e-13,3.50890466890758e-26,2.2369273153665e-09,1.79568925246442e-07,constant,0.01,327,33,8,assessed
Ag_0,1.19464197371184e-22,2.59122819141429e-12,4.61033103016605e-11,4.1519570922478e-22,2.06254954084216e-07,1.60169428987752e-05,constant,0.01,327,33,8,assessed
Aw_p,8.25544305153129e-23,7.03471799653587e-09,1.17352864117603e-14,9.26381328634351e-19,1.31698776244096e-07,1.31687040959352e-05,constant,0.01,327,33,8,assessed
