family,absoluteError,referenceNorm,relativeError,referenceChange,allowanceFraction,referenceFraction,profile,amplitude,time,unsplitDifference
Ag_0,0,9.83206190730192e-12,0,1.04377340682823e-21,1.06149378155866e-07,1.06149378155866e-05,exponential,0.01,901,1.29394738086808e-19
Aw_p,0,6.30303960010669e-09,0,3.38347478962876e-18,5.36800411784035e-07,5.36800411784035e-05,exponential,0.01,901,9.67317266674812e-15
Aw_m,0,2.70952059011897e-09,0,3.38347478790247e-18,1.24873512735283e-06,0.000124873512735283,exponential,0.01,901,9.67317266687117e-15
Aio,0,1.78520744380784e-08,0,2.04439251826211e-23,1.14518478557481e-12,1.14518478557481e-10,exponential,0.01,901,1.48000389896944e-22
Amda,0,8.75723983734061e-10,0,2.62143037984099e-22,2.99344021071924e-10,2.99344021071924e-08,exponential,0.01,901,7.38323151488052e-20
Ag_q,0,4.1029907563831e-12,0,7.52834189021737e-24,1.83439543047417e-09,1.83439543047417e-07,exponential,0.1,327,9.61461172701278e-22
Ag_0,0,1.42835406982402e-09,0,9.96678809270062e-20,6.97780846181936e-08,6.97780846181936e-06,exponential,0.1,327,1.23565770598357e-17
Aw_p,0,1.90150791038479e-06,0,9.1407946582056e-17,4.80712943841961e-08,4.80712943841961e-06,exponential,0.1,327,3.98044449081067e-14
Aw_m,0,1.19366050651636e-06,0,9.14079458503252e-17,7.65778420872088e-08,7.65778420872088e-06,exponential,0.1,327,3.98044450315912e-14
Aio,0,1.81033046064588e-06,0,3.2829304059033e-21,1.81344261473598e-12,1.81344261473598e-10,exponential,0.1,327,1.70292786849678e-20
Amda,0,1.7597291194232e-07,0,1.24094360977129e-19,7.051901278568e-10,7.051901278568e-08,exponential,0.1,327,1.36563058930667e-17
Ag_q,0,3.54672655826918e-12,0,7.88954022587897e-24,2.22382985168057e-09,2.22382985168057e-07,exponential,0.1,901,1.01031013201966e-21
Ag_0,0,9.83208245655281e-10,0,1.04436589784897e-19,1.06220105482525e-07,1.06220105482525e-05,exponential,0.1,901,1.29506657983403e-17
Aw_p,0,6.3017880485601e-07,0,3.38347496473026e-16,5.36907133862472e-07,5.36907133862472e-05,exponential,0.1,901,1.06449190559772e-14
Aw_m,0,2.71027411724653e-07,0,3.38347496418584e-16,1.24838846748806e-06,0.000124838846748806,exponential,0.1,901,1.06449188585197e-14
Aio,0,1.78520765313402e-06,0,1.46337904818918e-21,8.19724834139275e-13,8.19724834139276e-11,exponential,0.1,901,1.39309909260857e-20
Amda,0,8.75747377113448e-08,0,4.97670591696437e-20,5.68280989494938e-10,5.68280989494938e-08,exponential,0.1,901,7.84182387175531e-18
Ag_q,0,4.10320443181766e-10,0,7.56675155939436e-22,1.84410336947523e-09,1.84410336947523e-07,exponential,1,327,9.60992684800059e-20
Ag_0,0,1.42843948930341e-07,0,1.00049318357166e-17,7.00409911697037e-08,7.00409911697037e-06,exponential,1,327,1.23512715656939e-15
Aw_p,0,0.000190178765639072,0,9.14596166053921e-15,4.80913924841044e-08,4.80913924841044e-06,exponential,1,327,1.47317225779629e-13
Aw_m,0,0.00011943040079984,0,9.14596136656751e-15,7.65798431993805e-08,7.65798431993805e-06,exponential,1,327,1.4731730888693e-13
Aio,0,0.00018103471252003,0,3.07531250852131e-19,1.69874189634436e-12,1.69874189634436e-10,exponential,1,327,1.95558314603571e-18
Amda,0,1.76022913017532e-05,0,9.02588292946332e-18,5.12767501356573e-10,5.12767501356573e-08,exponential,1,327,1.47580709728334e-15
Ag_q,0,3.5468279198258e-10,0,7.8953251049173e-22,2.22601801474624e-09,2.22601801474624e-07,exponential,1,901,1.0081604991421e-19
Ag_0,0,9.83235032016484e-08,0,1.04470079928324e-17,1.06251379847152e-07,1.06251379847152e-05,exponential,1,901,1.29316678893216e-15
Aw_p,0,6.28856223065825e-05,0,3.38349700879741e-14,5.38039838780357e-07,5.38039838780357e-05,exponential,1,901,8.94406339650238e-14
Aw_m,0,2.7211625345524e-05,0,3.38349701052612e-14,1.24340129170503e-06,0.000124340129170503,exponential,1,901,8.94406694452878e-14
Aio,0,0.000178521176239313,0,2.03944015855722e-19,1.14240797731014e-12,1.14240797731014e-10,exponential,1,901,1.44370997859538e-18
Amda,0,8.75983579975898e-06,0,2.38547231848182e-18,2.72319296016386e-10,2.72319296016386e-08,exponential,1,901,6.21492597533583e-16
