waveAmplitude,waveEnergyFraction,policy,absoluteScale,relativeTolerance,maximumError,boundaryError,pvError,velocityError,displacementError,rhs,acceptedSteps,rejectedSteps,runtime,referenceError,controlled_Aw_p,controlled_Aw_m,controlled_Ag_q,controlled_Ag_0,controlled_Aio,controlled_Amda,boundaryChange,policyPairIdentical,positiveEnergyError,wavePhaseError,largestWaveCoefficientPhaseError,imposedWavePhaseError,energyBudgetChange,referenceEnergyBudgetChange
0,0,energy,1e-05,1e-09,4.30792746047839e-05,6.35610211520544e-06,1.89503396961325e-05,4.30792746047839e-05,1.50479589757304e-07,10439,803,0,144.083651416667,9.93369541190013e-08,0,802,0,1,0,0,0.220638647447268,1,1.48767698288299e-06,3.12296894763208,3.47320747788713e-06,NaN,4.12690900885413e-07,4.30584314024005e-07
0,0,invariant,1e-05,1e-09,4.30792746047839e-05,6.35610211520544e-06,1.89503396961325e-05,4.30792746047839e-05,1.50479589757304e-07,10439,803,0,132.90877725,9.93369541190013e-08,0,802,0,1,0,0,0.220638647447268,1,1.48767698288299e-06,3.12296894763208,3.47320747788713e-06,NaN,4.12690900885413e-07,4.30584314024005e-07
1,1,energy,1e-05,1e-09,0.000192526044744319,3.71737205943985e-06,1.45547371525994e-05,0.000192526044744319,6.11620325969465e-07,11791,907,0,163.825093875,9.65992425117242e-06,235,672,0,0,0,0,0.220633172083967,1,1.19903487624225e-05,3.13322891748979,2.58670703196239e-06,3.20625627122497e-06,4.53113368380286e-07,4.28452782012463e-07
1,1,invariant,1e-05,1e-09,0.000192526044744319,3.71737205943985e-06,1.45547371525994e-05,0.000192526044744319,6.11620325969465e-07,11791,907,0,163.461411875,9.65992425117242e-06,235,672,0,0,0,0,0.220633172083967,1,1.19903487624225e-05,3.13322891748979,2.58670703196239e-06,3.20625627122497e-06,4.53113368380286e-07,4.28452782012463e-07
0.1,0.01,energy,1e-05,1e-09,7.26838424451969e-05,6.04327034400652e-06,1.86445751854429e-05,7.26838424451969e-05,2.08085960289337e-07,10465,805,0,112.262599,2.6562898045651e-07,54,751,0,0,0,0,0.220638146897825,1,3.87369547841574e-06,2.97486746439173,1.90331688781074e-06,3.20295002172049e-06,4.14351189582966e-07,4.30408921423172e-07
0.1,0.01,invariant,1e-05,1e-09,7.26838424451969e-05,6.04327034400652e-06,1.86445751854429e-05,7.26838424451969e-05,2.08085960289337e-07,10465,805,0,133.554116041667,2.6562898045651e-07,54,751,0,0,0,0,0.220638146897825,1,3.87369547841574e-06,2.97486746439173,1.90331688781074e-06,3.20295002172049e-06,4.14351189582966e-07,4.30408921423172e-07
0.01,0.0001,energy,1e-05,1e-09,2.21690022283618e-05,6.34725250167874e-06,1.89541471516136e-05,2.21690022283618e-05,1.59896038412535e-07,10439,803,0,143.597111541667,4.52426559164171e-07,2,801,0,0,0,0,0.220638594856503,1,1.53996914681807e-06,3.1331239314538,3.45700309361625e-06,2.21496642818892e-06,4.12662786741781e-07,4.30510818033656e-07
0.01,0.0001,invariant,1e-05,1e-09,2.21690022283618e-05,6.34725250167874e-06,1.89541471516136e-05,2.21690022283618e-05,1.59896038412535e-07,10439,803,0,145.881318083333,4.52426559164171e-07,2,801,0,0,0,0,0.220638594856503,1,1.53996914681807e-06,3.1331239314538,3.45700309361625e-06,2.21496642818892e-06,4.12662786741781e-07,4.30510818033656e-07
