caseName,absoluteScale,relativeTolerance,maximumError,boundaryError,pvError,velocityError,displacementError,positiveEnergyError,wavePhaseError,referenceUncertainty,rhs,runtime,boundaryChange,energyBudgetDrift
surface,1e-06,0.001,7.06247821575433e-06,5.3791633256687e-07,8.76974667875491e-07,7.06247821575433e-06,1.79147266093456e-08,3.59292124739502e-07,7.81347299852073e-09,9.65992425117242e-06,20306,260.264867625,0.220633585990818,4.28704010766462e-07
surface,1e-07,0.001,7.55063218689273e-07,2.12531940004235e-11,4.03911974963737e-11,7.55063218689273e-07,1.5338943417823e-09,3.9163289266214e-08,2.38569380457328e-10,9.65992425117242e-06,43823,611.709103625,0.220633483125039,4.28449254104531e-07
bottom,1e-06,0.001,2.45377962905703e-06,1.79217503595966e-07,9.8155760297439e-08,2.45377962905703e-06,8.10195919754655e-09,1.37473598656013e-07,1.81728397812721e-08,1.23063011310487e-07,15951,74.1682115,0.132972633108541,-3.41265629838181e-07
bottom,1e-07,0.001,5.56751923003627e-07,1.63285125837973e-09,6.62568285104416e-10,5.56751923003627e-07,1.34226430847003e-09,3.09822083745997e-08,5.3150836162172e-09,1.23063011310487e-07,32864,157.083813625,0.132972617881326,-3.43094862644167e-07
