caseId,split,policy,tolerance,status,largestDenseQuadraticCount,largestSampledQuadraticCount,falseAcceptance,retainedCountLoss,worstMissedError,limitingInteraction
cal-exponential-33,calibration,fixed,0.1,diagnostic-linear-gate-ignored,14,14,0,0,0.0654236972332001,"wave mode 14 sign 1 [-2,-1] x wave mode 13 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.1,diagnostic-linear-gate-ignored,14,14,0,0,0.0654236972332001,"wave mode 14 sign 1 [-2,-1] x wave mode 13 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,linear,0.03,diagnostic-linear-gate-ignored,13,16,1,0,0.479536801576614,"wave mode 16 sign 1 [-2,0] x wave mode 15 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
cal-exponential-33,calibration,fixed,0.03,diagnostic-linear-gate-ignored,13,13,0,0,0.011803412809968,"wave mode 13 sign 1 [-2,-1] x wave mode 13 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.03,diagnostic-linear-gate-ignored,13,13,0,0,0.011803412809968,"wave mode 13 sign 1 [-2,-1] x wave mode 13 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,linear,0.01,diagnostic-linear-gate-ignored,12,16,1,0,0.479536801576614,"wave mode 16 sign 1 [-2,0] x wave mode 15 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
cal-exponential-33,calibration,fixed,0.01,diagnostic-linear-gate-ignored,12,12,0,0,0.000204673226107843,"wave mode 12 sign 1 [-2,-1] x wave mode 11 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.01,diagnostic-linear-gate-ignored,12,12,0,0,0.000204673226107843,"wave mode 12 sign 1 [-2,-1] x wave mode 11 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
withheld-exponential-25,withheld,linear,0.1,diagnostic-linear-gate-ignored,10,12,1,0,0.442873626947403,"wave mode 12 sign 1 [-1,-1] x wave mode 11 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.1,diagnostic-linear-gate-ignored,10,10,0,0,0.0123745547607541,"wave mode 10 sign 1 [-2,0] x wave mode 9 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
withheld-exponential-25,withheld,targeted,0.1,diagnostic-linear-gate-ignored,10,10,0,0,0.0123745547607541,"wave mode 10 sign 1 [-2,0] x wave mode 9 sign 1 [2,1] -> wave [0,1], w*dz(v)"
withheld-exponential-25,withheld,linear,0.03,diagnostic-linear-gate-ignored,10,12,1,0,0.442873626947403,"wave mode 12 sign 1 [-1,-1] x wave mode 11 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.03,diagnostic-linear-gate-ignored,10,10,0,0,0.0123745547607541,"wave mode 10 sign 1 [-2,0] x wave mode 9 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
withheld-exponential-25,withheld,targeted,0.03,diagnostic-linear-gate-ignored,10,10,0,0,0.0123745547607541,"wave mode 10 sign 1 [-2,0] x wave mode 9 sign 1 [2,1] -> wave [0,1], w*dz(v)"
withheld-exponential-25,withheld,linear,0.01,diagnostic-linear-gate-ignored,9,12,1,0,0.442873626947403,"wave mode 12 sign 1 [-1,-1] x wave mode 11 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.01,diagnostic-linear-gate-ignored,9,9,0,0,0.00116760621313006,"wave mode 9 sign 1 [-2,0] x wave mode 9 sign 1 [2,-1] -> wave [0,-1], w*dz(v)"
withheld-exponential-25,withheld,targeted,0.01,diagnostic-linear-gate-ignored,9,9,0,0,0.00116760621313006,"wave mode 9 sign 1 [-2,0] x wave mode 9 sign 1 [2,1] -> wave [0,1], w*dz(v)"
withheld-exponential-49,withheld,linear,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,fixed,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,targeted,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,1] x wave mode 15 sign 1 [1,-1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,linear,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,fixed,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,targeted,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,1] x wave mode 15 sign 1 [1,-1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,linear,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,fixed,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,-1] x wave mode 15 sign 1 [1,1] -> wave [-1,0], u*dx(u)"
withheld-exponential-49,withheld,targeted,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.02503572634305e-05,"wave mode 16 sign 1 [-2,1] x wave mode 15 sign 1 [1,-1] -> wave [-1,0], u*dx(u)"
withheld-pycnocline-33,withheld,linear,0.1,diagnostic-linear-gate-ignored,13,16,1,0,0.593368887901306,"wave mode 16 sign 1 [-1,-1] x wave mode 15 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-pycnocline-33,withheld,fixed,0.1,diagnostic-linear-gate-ignored,13,13,0,0,0.0285718608647585,"wave mode 13 sign 1 [0,-1] x wave mode 13 sign 1 [-2,1] -> wave [-2,0], w*dz(u)"
withheld-pycnocline-33,withheld,targeted,0.1,diagnostic-linear-gate-ignored,13,13,0,0,0.0285718608647585,"wave mode 13 sign 1 [0,-1] x wave mode 13 sign 1 [2,1] -> wave [2,0], w*dz(u)"
withheld-pycnocline-33,withheld,linear,0.03,diagnostic-linear-gate-ignored,13,16,1,0,0.593368887901306,"wave mode 16 sign 1 [-1,-1] x wave mode 15 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-pycnocline-33,withheld,fixed,0.03,diagnostic-linear-gate-ignored,13,13,0,0,0.0285718608647585,"wave mode 13 sign 1 [0,-1] x wave mode 13 sign 1 [-2,1] -> wave [-2,0], w*dz(u)"
withheld-pycnocline-33,withheld,targeted,0.03,diagnostic-linear-gate-ignored,13,13,0,0,0.0285718608647585,"wave mode 13 sign 1 [0,-1] x wave mode 13 sign 1 [2,1] -> wave [2,0], w*dz(u)"
withheld-pycnocline-33,withheld,linear,0.01,diagnostic-linear-gate-ignored,10,16,1,0,0.593368887901306,"wave mode 16 sign 1 [-1,-1] x wave mode 15 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-pycnocline-33,withheld,fixed,0.01,diagnostic-linear-gate-ignored,10,10,0,0,0.0073525202460587,"wave mode 10 sign 1 [0,-1] x wave mode 9 sign 1 [-2,0] -> wave [-2,-1], w*eta*dlogN2"
withheld-pycnocline-33,withheld,targeted,0.01,diagnostic-linear-gate-ignored,10,10,0,0,0.0073525202460587,"wave mode 10 sign 1 [0,-1] x wave mode 9 sign 1 [2,0] -> wave [2,-1], w*eta*dlogN2"
withheld-pycnocline-65,withheld,linear,0.1,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,fixed,0.1,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,targeted,0.1,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,linear,0.03,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,fixed,0.03,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,targeted,0.03,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,linear,0.01,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,fixed,0.01,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
withheld-pycnocline-65,withheld,targeted,0.01,diagnostic-linear-gate-ignored,16,16,0,0,0.000105977393104695,"wave mode 15 sign 1 [-3,0] x wave mode 16 sign 1 [-1,0] -> wave [-4,0], w*eta*dlogN2"
followup-pycnocline-129,resolution-followup,linear,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.1,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,linear,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.03,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,linear,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,fixed,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
followup-pycnocline-129,resolution-followup,targeted,0.01,diagnostic-linear-gate-ignored,16,16,0,0,1.37004246880679e-06,"wave mode 16 sign 1 [-2,0] x wave mode 1 sign 1 [1,0] -> wave [-1,0], w*dz(u)"
