caseId,split,referencesStable,fixedFamiliesGramAccepted,referenceStability,eigenConvergence,eigenProductStability,boundaryInterpolationError,apvGram,mdaGram,inertialGram,interactionCount,nonzeroProductEvaluations,structuralZeroProducts,constructionSeconds,assessmentSeconds
cal-constant-17,calibration,True,True,6.27719736357156e-13,3.460576895475202e-08,2.0888148525934015e-06,8.810837032045113e-14,2.999580751168436e-10,2.4604221158934594e-15,3.2251519683891374e-10,224,790592,441472,4.034800208333333,26.406851958333334
cal-constant-33,calibration,True,True,1.0039980094718225e-12,3.460576895475202e-08,3.002660427602228e-06,8.810837032045113e-14,4.234613622172769e-13,2.482141655550251e-15,3.867598081281735e-11,224,2799744.0,1272912.0,2.4271424583333334,97.42067845833333
cal-exponential-17,calibration,True,True,2.5266830769170444e-14,6.9562860468366e-08,5.09243492339589e-06,2.2633593437752343e-14,1.988500931843318e-10,1.6429558164051368e-13,3.218044480347559e-10,224,865856,366208,1.702641625,26.89155175
cal-exponential-33,calibration,True,True,5.26984045657969e-14,6.9562860468366e-08,7.364047631850839e-06,2.2633593437752343e-14,3.3921327929238363e-13,3.5841034682105804e-15,3.974070803581977e-11,224,3072128.0,1000528.0,1.9909449166666666,101.01708216666667
withheld-exponential-25,withheld,True,True,3.511233571207611e-14,5.3130986092490204e-08,6.376004049988699e-06,1.6186662907334936e-14,1.6008768619242062e-13,1.531121281548568e-15,2.859798783969377e-11,104,776704,313216,4.6869825,24.587535125
withheld-exponential-49,withheld,True,True,3.8395909155683016e-14,5.3130986092490204e-08,7.413245093033401e-06,1.6186662907334936e-14,6.186004938633776e-14,1.2614652483424845e-15,4.225081421450378e-11,104,1352912.0,517768,3.254886375,50.496836208333335
withheld-pycnocline-33,withheld,True,False,3.4946490146126052e-12,5.18507276584785e-07,2.728471890998385e-05,4.5422467627776724e-10,5.55523886089982e-05,9.58393325726703e-06,0.005008398818028578,104,1313600.0,468000,6.42959925,48.67063425
withheld-pycnocline-65,withheld,True,False,3.4948710592175303e-12,5.18507276584785e-07,2.72917831152446e-05,4.5422467627776724e-10,1.7940249509553682e-07,1.6724493964685702e-07,3.233244896581787e-05,578,8126480.0,2466424.0,8.133302458333333,324.36259558333336
followup-pycnocline-129,resolution-followup,True,True,3.4948710592175303e-12,5.18507276584785e-07,2.72917831152446e-05,4.5422467627776724e-10,3.4540633699712644e-13,1.09679977918788e-14,4.7515512243677284e-11,578,8126480.0,2466424.0,7.7132755,310.69971595833334
