caseId,split,policy,tolerance,status,largestDenseCount,largestJointCount,largestSampledCount,falseAcceptance,retainedCountLoss,additionalQuadraticLoss,worstMissedError,productEvaluations,candidatePlanEvaluations,densePlanEvaluations,limitingInteraction
cal-exponential-33,calibration,fixed,0.1,scored,14,8,8,0,6,0,9.605308e-06,61152,128328,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.1,scored,14,8,8,0,6,0,9.605308e-06,114676,240772,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,linear,0.03,scored,13,8,8,0,5,0,9.605308e-06,0,0,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,fixed,0.03,scored,13,8,8,0,5,0,9.605308e-06,61152,128328,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.03,scored,13,8,8,0,5,0,9.605308e-06,114676,240772,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,linear,0.01,scored,12,8,8,0,4,0,9.605308e-06,0,0,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,fixed,0.01,scored,12,8,8,0,4,0,9.605308e-06,61152,128328,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
cal-exponential-33,calibration,targeted,0.01,scored,12,8,8,0,4,0,9.605308e-06,114676,240772,3072128,"wave mode 8 sign 1 [-2,-1] x wave mode 7 sign 1 [2,-1] -> wave [0,-2], w*dz(v)"
withheld-exponential-25,withheld,linear,0.1,scored,10,6,6,0,4,0,1.091548e-05,0,0,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
withheld-exponential-25,withheld,fixed,0.1,scored,10,6,6,0,4,0,1.091548e-05,46322,98504,776704,"wave mode 6 sign 1 [-1,-1] x wave mode 5 sign 1 [2,1] -> wave [1,0], w*dz(u)"
