kappa,waveCount,apvCount
6.28318530717959e-05,38,38
8.88576587631673e-05,38,38
0.000125663706143592,38,38
0.000140496294620815,38,38
0.000177715317526335,38,38
0.000188495559215388,38,38
0.000198691765315922,38,38
0.00022654346798278,38,38
0.000251327412287183,38,38
0.000259062366868304,38,38
0.000266572976289502,38,38
0.000280992589241629,38,38
0.000314159265358979,38,38
0.000320380844888282,38,38
0.000338359883929281,38,38
0.000355430635052669,38,38
0.00036636951272563,38,38
0.000376991118430775,38,38
0.000382191241574323,38,38
0.000397383530631844,38,38
0.000402320161286836,38,38
0.000421488883862444,38,38
0.000439822971502571,38,38
0.000444288293815837,38,38
0.000453086935965559,38,38
0.000457422794909802,38,38
0.000478513136815776,38,38
0.000490732460090608,38,38
0.000502654824574367,38,38
0.000506566594268042,38,38
0.000518124733736608,38,38
0.000533145952579004,38,38
0.000536835587970665,38,38
0.000540500037254619,38,38
0.000561985178483258,38,38
0.000565486677646163,38,38
0.000568966628507974,38,38
0.000579281062729517,38,38
0.000592754516371475,38,38
0.000596075295947766,38,38
0.000618821986327463,38,38
0.000622003611342171,38,38
0.000628318530717959,38,38
0.000631452308416091,38,38
0.000640761689776564,38,38
0.000646893520300048,38,38
0.000655983804592382,38,38
0.00066791175983751,38,38
0.000676719767858562,38,38
0.000679630403948339,38,38
0.000691150383789755,38,38
0.000694000500556852,38,38
0.000702481473104073,38,38
0.000710861270105339,38,38
0.000716393347859014,38,38
0.000732739025451259,38,38
0.000735427985039798,38,38
0.00075398223686155,38,38
0.000756595701324811,38,38
0.000759200169272649,38,38
0.000764382483148646,38,38
0.000766960508960485,38,38
0.000777187100604911,38,38
0.000787280862455332,38,38
0.000794767061263688,38,38
0.000799718928868506,38,38
0.000804640322573671,38,38
0.000816814089933346,38,38
0.000819227135337982,38,38
0.000826423998051474,38,38
0.000838281476210445,38,38
0.000842977767724887,38,38
0.000845316129408915,38,38
0.00085460559656523,38,38
0.000872887999553264,38,38
0.000875146445758956,38,38
0.000879645943005142,38,38
0.000881887082797929,38,38
0.000888576587631673,38,38
0.000893008418553834,38,38
0.000899615229356044,38,38
0.000906173871931118,38,38
0.000914845589819603,38,38
0.000927701193151648,38,38
0.000934062647286733,38,38
0.000942477796076938,38,38
0.000944569869230687,38,38
0.000950818470129701,38,38
0.000957026273631551,38,38
0.000959086612450371,38,38
0.000961142534664845,38,38
0.000975412663576301,38,38
0.000977434246394841,38,38
0.000981464920181216,38,38
0.000983474062345702,38,38
0.00099345882657961,38,38
0.00100530964914873,38,38
0.00100727123081719,38,38
0.00101313318853608,38,38
0.00101507965178784,38,38
0.00102282846387626,38,38
0.00103051901173982,38,38
0.00103624946747322,38,38
0.001040052230592,38,38
0.00104573044693205,38,38
0.00105325378455643,38,38
0.00106629190515801,38,38
0.00106814150222053,38,38
0.00106998790204673,38,38
0.00107367117594133,38,38
0.00107550808263242,38,38
0.00108100007450924,38,38
0.00108464595357649,38,38
0.0010973111395283,38,38
0.00109910853817689,38,38
0.00111160895598065,38,38
0.00111338327308112,38,38
0.001118689339387,38,38
0.00112397035696652,38,38
0.00113097335529233,38,38
0.0011327173399139,38,38
0.00113793325701595,38,38
0.00114657372472297,38,38
0.00115343949701181,38,38
0.00115514956392118,38,38
0.00115856212545903,38,38
0.00116874002631499,38,38
0.0011737958827633,38,38
0.00118050334240688,38,38
0.00118550903274295,38,38
0.00119215059189553,38,38
0.00119380520836412,38,38
0.00119545753470282,38,38
0.00120040086744347,38,38
0.00120696048386051,38,38
0.0012085948251425,38,38
0.00121348464211235,38,38
0.00121997391106707,38,38
0.00123445004740095,38,38
0.00123764397265493,38,38
0.00123923784836064,38,38
0.00124400722268434,38,38
0.00124717667297448,38,38
0.00125191580343607,38,38
0.00125663706143592,38,38
0.00125820687724028,38,38
0.00126290461683218,38,38
0.00126446665158733,38,38
0.00127069558904492,38,38
0.0012722480582727,38,38
0.00128152337955313,38,38
0.00128920183879152,38,38
0.0012937870406001,38,38
0.00129531183434152,38,38
0.00130744616801942,38,38
0.00131196760918476,38,38
0.00131946891450771,38,38
0.00132096406389901,38,38
0.00132543939257663,38,38
0.00133138309679658,38,38
0.00133286488144751,38,38
0.00133582351967502,38,38
0.00134319160380012,38,38
0.00134466037581226,38,38
0.00134905709722045,38,38
0.00135343953571712,38,38
0.00135635329481778,38,38
0.00135926080789668,38,38
0.0013722683847294,38,38
0.00137801011852947,38,38
0.00137944181774007,38,38
0.00138230076757951,38,38
0.00138372802739965,38,38
0.0013880010011137,38,38
0.00139084235721145,38,38
0.00139509354091216,38,38
0.00140496294620815,38,38
0.00141197028616754,38,38
0.00141755121814409,38,38
0.00142172254021068,38,38
0.00142449663560992,38,38
0.00143278669571803,38,38
0.00143416371352333,38,38
0.00143553941044733,38,38
0.0014451326206513,38,38
0.00144649788559505,38,38
0.00145058597067263,38,38
0.00145737396268577,38,38
0.00146143162426291,38,38
0.00146547805090252,38,38
0.0014668243792075,38,38
0.0014708559700796,38,38
0.00147219738027182,38,38
0.00147888618063778,38,38
0.00148288497887149,38,38
0.00148952578674049,38,38
0.00149349609796819,38,38
0.0014987734857836,38,38
0.0015079644737231,38,38
0.00150927290301371,38,38
0.00151058019897384,38,38
0.00151319140264962,38,38
0.0015184003385453,38,38
0.00151969978280413,38,38
0.00152099811690066,38,38
0.00152876496629729,38,38
0.00153005560811965,38,38
0.00153392101792097,38,38
0.0015403418120735,38,38
0.00154545924082896,38,38
0.001551832295664,38,38
0.00155437420120982,38,38
0.00155564359644075,38,38
0.00156071085284522,38,38
0.0015707963267949,38,38
0.00157205246160323,38,38
0.00157456172491066,38,38
0.00157581485819689,38,38
0.0015820656358433,38,38
0.00158580427587946,38,38
0.00158953412252738,38,38
0.00159077546135189,38,38
0.00159943785773701,38,38
0.00160190422444141,38,38
0.00160559667088735,38,38
0.00160928064514734,38,38
0.00161050676391199,38,38
0.00161540193253816,38,38
0.00162150011176386,38,38
0.00162999923459284,38,38
0.0016312097800509,38,38
0.00163362817986669,38,38
0.00163483603820536,38,38
0.00163845427067596,38,38
0.00164446696710469,38,38
0.00164926134161334,38,38
0.00165284799610295,38,38
0.00165880852030116,38,38
0.00165999805686156,38,38
0.00166356156305243,38,38
0.00166948383725858,38,38
0.00167302713909516,38,38
0.00167656295242089,38,38
0.00168595553544977,38,38
0.00168829551650018,38,38
0.00169063225881783,38,38
0.00169179941964641,38,38
0.00169646003293849,38,38
0.00169762318702299,38,38
0.00170110787735505,38,38
0.00170689988552392,38,38
0.00170921119313046,38,38
0.00171497583409348,38,38
0.00171612643860674,38,38
0.00172530365077239,38,38
0.00172873254514684,38,38
0.00173329385266654,38,38
0.00173784318818855,38,38
0.00174238064548912,38,38
0.00174577599910653,38,38
0.0017469063171266,38,38
0.00175029289151791,38,38
0.00175254697215767,38,38
0.00175929188601028,38,38
0.00176041352583478,38,38
0.00176377416559586,38,38
0.00176936104739127,38,38
0.00177047630816851,38,38
0.00177381788328658,38,38
0.00177715317526335,38,38
0.00177826354911442,38,38
0.0017793732300643,38,38
0.00178601683710767,38,38
0.00178712170379986,38,38
0.0017882258878433,38,38
0.001797034935675,38,38
0.00179923045871209,38,38
0.00180032721617981,38,38
0.0018090773392537,38,38
0.00181234774386224,38,38
0.00181343656807813,38,38
0.00182212373908208,38,38
0.00182320672505531,38,38
0.00182645183007059,38,38
0.00182969117963921,38,38
0.00183184756362815,38,38
0.00183507738846396,38,38
0.00183937499947494,38,38
0.00184794023788025,38,38
0.0018490081028858,38,38
0.0018554023863033,38,38
0.00185646595898239,38,38
0.00186071417039322,38,38
0.0018649527047472,38,38
0.00186601083402651,38,38
0.00186812529457347,38,38
0.00187445436508543,38,38
0.00188286003220401,38,38
0.00188495559215388,38,38
0.00188600249897836,38,38
0.00188913973846137,38,38
0.00189018432783534,38,38
0.00189435692524827,38,38
0.0018995597829598,38,38
0.0019016369402594,38,38
0.00190785484330485,38,38
0.00191095620787161,38,38
0.0019140525472631,38,38
0.00191508354790197,38,38
0.00191817322490074,38,38
0.00192228506932969,38,38
0.00192331165688983,38,38
0.00192741253927903,38,38
0.00193558823892209,38,38
0.00193966316604076,38,38
0.00194068056090014,38,38
0.00194778744522567,38,38
0.00194880059871173,38,38
0.0019508253271526,38,38
0.0019518369037449,38,38
0.00195486849278968,38,38
0.00195688694298436,38,38
0.00196292984036243,38,38
0.00196393518221598,38,38
0.0019669481246914,38,38
0.00196795141377714,38,38
0.00197195946561515,38,38
0.00197296020633708,38,38
0.0019839350380379,38,38
0.00198691765315922,38,38
0.0019958387550801,38,38
0.00199682752836596,38,38
0.00199979091490121,38,38
