waveCount,gramError,sampledQuadraticError
1,2.68419064752834e-10,0.000252737983828411
2,7.92597405217088e-06,0.000288551265839487
3,1.80674518848444e-05,0.000905444496311247
4,4.27676763341615e-05,0.000921883154660463
5,8.49503968679349e-05,0.00105583248659968
6,0.000100677100139802,0.00238560908474028
7,0.000185818293632541,0.00250951410271227
8,0.000252398385652292,0.00417809514328837
9,0.000339231772419508,0.00459638237953186
10,0.000596539729386156,0.0073525202460587
11,0.000632842089291063,0.0119399921968579
12,0.000926910739897742,0.0153026320040226
13,0.00155784759435249,0.0285718608647585
14,0.00190902807511675,0.106377147138119
15,0.00271226747517724,0.379777014255524
16,0.00372094097469788,0.593368887901306
