kappa,waveCount,apvCount
6.28318530717959e-05,25,25
8.88576587631673e-05,25,25
0.000125663706143592,25,25
0.000140496294620815,25,25
0.000177715317526335,25,25
0.000188495559215388,25,25
0.000198691765315922,25,25
0.00022654346798278,25,25
0.000251327412287183,25,25
0.000259062366868304,25,25
0.000266572976289502,25,25
0.000280992589241629,25,25
0.000314159265358979,25,25
0.000320380844888282,25,25
0.000338359883929281,25,25
0.000355430635052669,25,25
0.00036636951272563,25,25
0.000376991118430775,25,25
0.000382191241574323,25,25
0.000397383530631844,25,25
0.000402320161286836,25,25
0.000421488883862444,25,25
0.000439822971502571,25,25
0.000444288293815837,25,25
0.000453086935965559,25,25
0.000457422794909802,25,25
0.000478513136815776,25,25
0.000490732460090608,25,25
0.000502654824574367,25,25
0.000506566594268042,25,25
0.000518124733736608,25,25
0.000533145952579004,25,25
0.000536835587970665,25,25
0.000540500037254619,25,25
0.000561985178483258,25,25
0.000565486677646163,25,25
0.000568966628507974,25,25
0.000579281062729517,25,25
0.000592754516371475,25,25
0.000596075295947766,25,25
0.000618821986327463,25,25
0.000622003611342171,25,25
0.000628318530717959,25,25
0.000631452308416091,25,25
0.000640761689776564,25,25
0.000646893520300048,25,25
0.000655983804592382,25,25
0.00066791175983751,25,25
0.000676719767858562,25,25
0.000679630403948339,25,25
0.000691150383789755,25,25
0.000694000500556852,25,25
0.000702481473104073,25,25
0.000710861270105339,25,25
0.000716393347859014,25,25
0.000732739025451259,25,25
0.000735427985039798,25,25
0.00075398223686155,25,25
0.000756595701324811,25,25
0.000759200169272649,25,25
0.000764382483148646,25,25
0.000766960508960485,25,25
0.000777187100604911,25,25
0.000787280862455332,25,25
0.000794767061263688,25,25
0.000799718928868506,25,25
0.000804640322573671,25,25
0.000816814089933346,25,25
0.000819227135337982,25,25
0.000826423998051474,25,25
0.000838281476210445,25,25
0.000842977767724887,25,25
0.000845316129408915,25,25
0.00085460559656523,25,25
0.000872887999553264,25,25
0.000875146445758956,25,25
0.000879645943005142,25,25
0.000881887082797929,25,25
0.000888576587631673,25,25
0.000893008418553834,25,25
0.000899615229356044,25,25
0.000906173871931118,25,25
0.000914845589819603,25,25
0.000927701193151648,25,25
0.000934062647286733,25,25
0.000942477796076938,25,25
0.000944569869230687,25,25
0.000950818470129701,25,25
0.000957026273631551,25,25
0.000959086612450371,25,25
0.000961142534664845,25,25
0.000975412663576301,25,25
0.000977434246394841,25,25
0.000981464920181216,25,25
0.000983474062345702,25,25
0.00099345882657961,25,25
0.00100530964914873,25,25
0.00100727123081719,25,25
0.00101313318853608,25,25
0.00101507965178784,25,25
0.00102282846387626,25,25
0.00103051901173982,25,25
0.00103624946747322,25,25
0.001040052230592,25,25
0.00104573044693205,25,25
0.00105325378455643,25,25
0.00106629190515801,25,25
0.00106814150222053,25,25
0.00106998790204673,25,25
0.00107367117594133,25,25
0.00107550808263242,25,25
0.00108100007450924,25,25
0.00108464595357649,25,25
0.0010973111395283,25,25
0.00109910853817689,25,25
0.00111160895598065,25,25
0.00111338327308112,25,25
0.001118689339387,25,25
0.00112397035696652,25,25
0.00113097335529233,25,25
0.0011327173399139,25,25
0.00113793325701595,25,25
0.00114657372472297,25,25
0.00115343949701181,25,25
0.00115514956392118,25,25
0.00115856212545903,25,25
0.00116874002631499,25,25
0.0011737958827633,25,25
0.00118050334240688,25,25
0.00118550903274295,25,25
0.00119215059189553,25,25
0.00119380520836412,25,25
0.00119545753470282,25,25
0.00120040086744347,25,25
0.00120696048386051,25,25
0.0012085948251425,25,25
0.00121348464211235,25,25
0.00121997391106707,25,25
0.00123445004740095,25,25
0.00123764397265493,25,25
0.00123923784836064,25,25
0.00124400722268434,25,25
0.00124717667297448,25,25
0.00125191580343607,25,25
0.00125663706143592,25,25
0.00125820687724028,25,25
0.00126290461683218,25,25
0.00126446665158733,25,25
0.00127069558904492,25,25
0.0012722480582727,25,25
0.00128152337955313,25,25
0.00128920183879152,25,25
0.0012937870406001,25,25
0.00129531183434152,25,25
0.00130744616801942,25,25
0.00131196760918476,25,25
0.00131946891450771,25,25
0.00132096406389901,25,25
0.00132543939257663,25,25
0.00133138309679658,25,25
0.00133286488144751,25,25
0.00133582351967502,25,25
0.00134319160380012,25,25
0.00134466037581226,25,25
0.00134905709722045,25,25
0.00135343953571712,25,25
0.00135635329481778,25,25
0.00135926080789668,25,25
0.0013722683847294,25,25
0.00137801011852947,25,25
0.00137944181774007,25,25
0.00138230076757951,25,25
0.00138372802739965,25,25
0.0013880010011137,25,25
0.00139084235721145,25,25
0.00139509354091216,25,25
0.00140496294620815,25,25
0.00141197028616754,25,25
0.00141755121814409,25,25
0.00142172254021068,25,25
0.00142449663560992,25,25
0.00143278669571803,25,25
0.00143416371352333,25,25
0.00143553941044733,25,25
0.0014451326206513,25,25
0.00144649788559505,25,25
0.00145058597067263,25,25
0.00145737396268577,25,25
0.00146143162426291,25,25
0.00146547805090252,25,25
0.0014668243792075,25,25
0.0014708559700796,25,25
0.00147219738027182,25,25
0.00147888618063778,25,25
0.00148288497887149,25,25
0.00148952578674049,25,25
0.00149349609796819,25,25
0.0014987734857836,25,25
0.0015079644737231,25,25
0.00150927290301371,25,25
0.00151058019897384,25,25
0.00151319140264962,25,25
0.0015184003385453,25,25
0.00151969978280413,25,25
0.00152099811690066,25,25
0.00152876496629729,25,25
0.00153005560811965,25,25
0.00153392101792097,25,25
0.0015403418120735,25,25
0.00154545924082896,25,25
0.001551832295664,25,25
