kappa,waveCount,apvCount
6.28318530717959e-05,26,26
8.88576587631673e-05,26,26
0.000125663706143592,26,26
0.000140496294620815,26,26
0.000177715317526335,26,26
0.000188495559215388,26,26
0.000198691765315922,26,26
0.00022654346798278,26,26
0.000251327412287183,26,26
0.000259062366868304,26,26
0.000266572976289502,26,26
0.000280992589241629,26,26
0.000314159265358979,26,26
0.000320380844888282,26,26
0.000338359883929281,26,26
0.000355430635052669,26,26
0.00036636951272563,26,26
0.000376991118430775,26,26
0.000382191241574323,26,26
0.000397383530631844,26,26
0.000402320161286836,26,26
0.000421488883862444,26,26
0.000439822971502571,26,26
0.000444288293815837,26,26
0.000453086935965559,26,26
0.000457422794909802,26,26
0.000478513136815776,26,26
0.000490732460090608,26,26
0.000502654824574367,26,26
0.000506566594268042,26,26
0.000518124733736608,26,26
0.000533145952579004,26,26
0.000536835587970665,26,26
0.000540500037254619,26,26
0.000561985178483258,26,26
0.000565486677646163,26,26
0.000568966628507974,26,26
0.000579281062729517,26,26
0.000592754516371475,26,26
0.000596075295947766,26,26
0.000618821986327463,26,26
0.000622003611342171,26,26
0.000628318530717959,26,26
0.000631452308416091,26,26
0.000640761689776564,26,26
0.000646893520300048,26,26
0.000655983804592382,26,26
0.00066791175983751,26,26
0.000676719767858562,26,26
0.000679630403948339,26,26
0.000691150383789755,26,26
0.000694000500556852,26,26
0.000702481473104073,26,26
0.000710861270105339,26,26
0.000716393347859014,26,26
0.000732739025451259,26,26
0.000735427985039798,26,26
0.00075398223686155,26,26
0.000756595701324811,26,26
0.000759200169272649,26,26
0.000764382483148646,26,26
0.000766960508960485,26,26
0.000777187100604911,26,26
0.000787280862455332,26,26
0.000794767061263688,26,26
0.000799718928868506,26,26
0.000804640322573671,26,26
0.000816814089933346,26,26
0.000819227135337982,26,26
0.000826423998051474,26,26
0.000838281476210445,26,26
0.000842977767724887,26,26
0.000845316129408915,26,26
0.00085460559656523,26,26
0.000872887999553264,26,26
0.000875146445758956,26,26
0.000879645943005142,26,26
0.000881887082797929,26,26
0.000888576587631673,26,26
0.000893008418553834,26,26
0.000899615229356044,26,26
0.000906173871931118,26,26
0.000914845589819603,26,26
0.000927701193151648,26,26
0.000934062647286733,26,26
0.000942477796076938,26,26
0.000944569869230687,26,26
0.000950818470129701,26,26
0.000957026273631551,26,26
0.000959086612450371,26,26
0.000961142534664845,26,26
0.000975412663576301,26,26
0.000977434246394841,26,26
0.000981464920181216,26,26
