profile,kh,familyIndex,providerModeNumber,h,referenceH,omega,referenceOmega,hRelativeError,frequencyRelativeError,referenceFrequencyConvergence,interiorNodes
constant,6.28318530717959e-05,1,1,1002.07973247223,1002.07973250241,0.00623047929380437,0.00623047929389816,3.01140639467429e-11,1.50532066100077e-11,0,0
constant,6.28318530717959e-05,2,2,1.03019447523322,1.03019447523327,0.000223377951464612,0.000223377951464617,4.82801963114243e-14,1.91719843128569e-14,0,1
constant,6.28318530717959e-05,3,3,0.258024101139712,0.258024101139704,0.000141396046393326,0.000141396046393325,3.33466075565798e-14,8.4346233162454e-15,0,2
constant,6.28318530717959e-05,4,4,0.114716625093221,0.114716625093222,0.000120178130480518,0.000120178130480518,2.41949025200785e-15,3.38310983085207e-16,0,3
constant,6.28318530717959e-05,5,5,0.064535833016908,0.0645358330169097,0.000111800558529585,0.000111800558529585,2.64499243375989e-14,2.66685248584527e-15,0,4
constant,6.28318530717959e-05,6,6,0.0413052239199045,0.0413052239199048,0.000107701820998754,0.000107701820998754,6.71962841054921e-15,5.0333511654276e-16,0,5
constant,0.000100958707155246,1,1,999.999999973328,1000,0.00999999999986665,0.01,2.66720689978683e-11,1.33346458874861e-11,0,0
constant,0.000100958707155246,2,2,1.02954598512046,1.0295459851204,0.000336071871855105,0.000336071871855097,5.54277946691809e-14,2.53249015070231e-14,0,1
constant,0.000100958707155246,3,3,0.257983338701487,0.257983338701457,0.000189197658645031,0.000189197658645023,1.17915021287216e-13,4.25491583160067e-14,0,2
constant,0.000100958707155246,4,4,0.114708564725462,0.114708564725463,0.000146525456446649,0.00014652545644665,1.39130465254997e-14,3.69970583534836e-15,0,3
constant,0.000100958707155246,5,5,0.0645332817206043,0.0645332817206088,0.000128268011753684,0.000128268011753686,7.03208715280025e-14,1.35242096003485e-14,0,4
constant,0.000100958707155246,6,6,0.0413041787295914,0.0413041787295915,0.000118869696858248,0.000118869696858248,2.85591434074229e-15,4.56046495087142e-16,0,5
constant,0.000628318530717959,1,1,889.186600669459,889.186600647261,0.0586828850947095,0.058682885093977,2.49639191848627e-11,1.24820638438486e-11,0,0
constant,0.000628318530717959,2,2,0.991120072278558,0.991120072278381,0.00196174470610714,0.00196174470610696,1.79227208598124e-13,8.95329302512592e-14,0,1
constant,0.000628318530717959,3,3,0.255497524701403,0.255497524701378,0.000999749561414149,0.0009997495614141,9.71182974448535e-14,4.81506352353549e-14,0,2
constant,0.000628318530717959,4,4,0.114214334384811,0.114214334384812,0.000672557073165661,0.000672557073165663,5.58930052517433e-15,2.90170751054343e-15,0,3
constant,0.000628318530717959,5,5,0.0643765461214726,0.0643765461214754,0.000509234324495825,0.000509234324495835,4.39767102051741e-14,2.12908305731141e-14,0,4
constant,0.000628318530717959,6,6,0.0412399117281263,0.0412399117281283,0.000411965145914504,0.000411965145914513,4.77849196598921e-14,2.25017302232521e-14,0,5
constant,0.00628318530717959,1,1,159.282965580595,159.282965580342,0.248369963627542,0.248369963627345,1.59003727618685e-12,7.9510790121748e-13,0,0
constant,0.00628318530717959,2,2,0.206529419242306,0.20652941924231,0.00894401421168646,0.00894401421168656,2.2577590740014e-14,1.12493069918414e-14,0,1
constant,0.00628318530717959,3,3,0.129074890379756,0.129074890379758,0.00707096503214403,0.00707096503214408,1.39772531257466e-14,6.99191960935886e-15,0,2
constant,0.00628318530717959,4,4,0.079432219025506,0.0794322190255029,0.00554732098040581,0.0055473209804057,3.91355612003282e-14,1.95446085834069e-14,0,3
constant,0.00628318530717959,5,5,0.051632355801811,0.0516323558018108,0.00447284561980412,0.00447284561980411,3.62854129927042e-15,1.7452548792054e-15,0,4
constant,0.00628318530717959,6,6,0.0356092767940454,0.035609276794045,0.003714953216081,0.00371495321608097,1.09122704419481e-14,5.4867449620887e-15,0,5
exponential,6.28318530717959e-05,1,1,1000.57722352341,1000.57722347745,0.00622580778466763,0.00622580778452467,4.59354818365573e-11,2.29616938325074e-11,5.97612019646437e-11,0
exponential,6.28318530717959e-05,2,2,0.305921780690862,0.30592178069059,0.000147810144996706,0.00014781014499667,8.89312789596883e-13,2.41141407589201e-13,2.95338626610485e-11,1
exponential,6.28318530717959e-05,3,3,0.0740998125388672,0.0740998125386546,0.000113444972653183,0.000113444972653147,2.86995625334426e-12,3.19923103467251e-13,6.38591840770796e-12,2
exponential,6.28318530717959e-05,4,4,0.0327001994174334,0.0327001994174235,0.000106143412597808,0.000106143412597807,3.02168949890228e-13,1.698161070614e-14,9.36669895791302e-13,3
exponential,6.28318530717959e-05,5,5,0.0183450188079013,0.0183450188078756,0.000103491409786042,0.000103491409786037,1.40044853310192e-12,4.66193250003581e-14,7.87670162765882e-12,4
