profile,kh,familyIndex,providerModeNumber,h,referenceH,omega,referenceOmega,hRelativeError,frequencyRelativeError,referenceFrequencyConvergence,interiorNodes
constant,6.28318530717959e-05,1,1,1002.07973250593,1002.07973250241,0.0062304792939091,0.00623047929389816,3.5119857575823e-12,1.75547193082647e-12,0,0
constant,6.28318530717959e-05,2,2,1.03019447523335,1.03019447523327,0.000223377951464624,0.000223377951464617,7.93174653687685e-14,3.19128599638061e-14,0,1
constant,6.28318530717959e-05,3,3,0.258024101139715,0.258024101139704,0.000141396046393327,0.000141396046393325,4.28127413145767e-14,1.0926671114227e-14,0,2
constant,6.28318530717959e-05,4,4,0.114716625093222,0.114716625093222,0.000120178130480518,0.000120178130480518,7.25847075602356e-16,1.12770327695069e-16,0,3
constant,6.28318530717959e-05,5,5,0.0645358330169101,0.0645358330169097,0.000111800558529585,0.000111800558529585,6.66624109321598e-15,6.06102837692107e-16,0,4
constant,6.28318530717959e-05,6,6,0.0413052239199047,0.0413052239199048,0.000107701820998754,0.000107701820998754,2.51986065395596e-15,1.2583377913569e-16,0,5
constant,0.000100958707155246,1,1,1000.00000000204,1000,0.0100000000000102,0.01,2.03874606086174e-12,1.01932351448397e-12,0,0
constant,0.000100958707155246,2,2,1.0295459851204,1.0295459851204,0.000336071871855097,0.000336071871855097,8.62689411193478e-16,3.22610210280549e-16,0,1
constant,0.000100958707155246,3,3,0.257983338701449,0.257983338701457,0.000189197658645021,0.000189197658645023,3.05546223043516e-14,1.08880001077997e-14,0,2
constant,0.000100958707155246,4,4,0.114708564725463,0.114708564725463,0.00014652545644665,0.00014652545644665,3.99243943775209e-15,1.10991175060451e-15,0,3
constant,0.000100958707155246,5,5,0.0645332817206099,0.0645332817206088,0.000128268011753686,0.000128268011753686,1.67737858690648e-14,3.38105240008712e-15,0,4
constant,0.000100958707155246,6,6,0.0413041787295913,0.0413041787295915,0.000118869696858248,0.000118869696858248,5.37583875904431e-15,9.12092990174284e-16,0,5
constant,0.000628318530717959,1,1,889.186600669091,889.186600647261,0.0586828850946973,0.058682885093977,2.45503086786295e-11,1.22751369977607e-11,0,0
constant,0.000628318530717959,2,2,0.991120072278577,0.991120072278381,0.00196174470610716,0.00196174470610696,1.98158082506301e-13,9.90388956853435e-14,0,1
constant,0.000628318530717959,3,3,0.25549752470138,0.255497524701378,0.000999749561414104,0.0009997495614141,6.73527342458716e-15,3.25342129968614e-15,0,2
constant,0.000628318530717959,4,4,0.11421433438481,0.114214334384812,0.000672557073165657,0.000672557073165663,1.65248885092111e-14,8.22150461320637e-15,0,3
constant,0.000628318530717959,5,5,0.0643765461214757,0.0643765461214754,0.000509234324495836,0.000509234324495835,4.52701428582675e-15,2.12908305731141e-15,0,4
constant,0.000628318530717959,6,6,0.0412399117281279,0.0412399117281283,0.000411965145914511,0.000411965145914513,8.7493514870225e-15,4.21085010025771e-15,0,5
constant,0.00628318530717959,1,1,159.282965580221,159.282965580342,0.24836996362725,0.248369963627345,7.58171741276839e-13,3.78947419961838e-13,0,0
constant,0.00628318530717959,2,2,0.2065294192423,0.20652941924231,0.00894401421168633,0.00894401421168656,5.07995791650315e-14,2.54079175160557e-14,0,1
constant,0.00628318530717959,3,3,0.129074890379758,0.129074890379758,0.00707096503214407,0.00707096503214408,1.07517331736513e-15,4.90661025218166e-16,0,2
constant,0.00628318530717959,4,4,0.0794322190255046,0.0794322190255029,0.00554732098040576,0.0055473209804057,2.20137531751846e-14,1.11013376753751e-14,0,3
constant,0.00628318530717959,5,5,0.0516323558018109,0.0516323558018108,0.00447284561980411,0.00447284561980411,1.74707544038946e-15,7.75668835202401e-16,0,4
constant,0.00628318530717959,6,6,0.0356092767940448,0.035609276794045,0.00371495321608097,0.00371495321608097,4.87154930444111e-15,2.45152434476303e-15,0,5
exponential,6.28318530717959e-05,1,1,1000.5772234956,1000.57722347745,0.00622580778458113,0.00622580778452467,1.81430416577905e-11,9.06898857951232e-12,5.97612019646437e-11,0
exponential,6.28318530717959e-05,2,2,0.305921780690768,0.30592178069059,0.000147810144996694,0.00014781014499667,5.80294287110963e-13,1.57337891795844e-13,2.9534229416041e-11,1
exponential,6.28318530717959e-05,3,3,0.0740998125388429,0.0740998125386546,0.000113444972653179,0.000113444972653147,2.54202011398079e-12,2.83367289553517e-13,6.38591840770796e-12,2
exponential,6.28318530717959e-05,4,4,0.0327001994174247,0.0327001994174232,0.000106143412597807,0.000106143412597807,4.49858268095005e-14,2.55362567009625e-15,9.3526540167275e-13,3
exponential,6.28318530717959e-05,5,5,0.0183450188079041,0.0183450188078756,0.000103491409786042,0.000103491409786037,1.55647419681686e-12,5.1595545084666e-14,7.87774925293972e-12,4
exponential,6.28318530717959e-05,6,6,0.0117259038816689,0.0117259038816716,0.0001022454138226,0.000102245413822601,2.23980289206881e-13,4.77176392933365e-15,5.18001484328775e-13,5
exponential,0.000628318530717959,1,1,887.942587074138,887.942587003775,0.0586418207973144,0.058641820794991,7.92424167643288e-11,3.96209899157561e-11,5.30174670642259e-11,0
exponential,0.000628318530717959,2,2,0.295189941929492,0.295189941929289,0.00107388140853153,0.00107388140853116,6.86767045555758e-13,3.40238809634827e-13,9.69416089452954e-11,1
exponential,0.000628318530717959,3,3,0.0733248976483559,0.0733248976479185,0.000542194675599599,0.000542194675598037,5.96542249557331e-12,2.88130256648359e-12,3.36957826964409e-11,2
exponential,0.000628318530717959,4,4,0.0325398553227376,0.0325398553227299,0.000368810815902855,0.000368810815902815,2.37339374697651e-13,1.09945694384524e-13,7.91917670635696e-12,3
exponential,0.000628318530717959,5,5,0.0182932385419273,0.0182932385419242,0.000284335459694168,0.000284335459694147,1.69174346797596e-13,7.41649749824613e-14,5.21970806061011e-11,4
exponential,0.000628318530717959,6,6,0.0117044677091599,0.0117044677091608,0.000235222120694847,0.000235222120694854,7.32159221954048e-14,3.00754842043335e-14,9.6610291022656e-12,5
exponential,0.00628318530717959,1,1,159.259028676654,159.259028677218,0.248351300519555,0.248351300519995,3.54068915139552e-12,1.77015607027414e-12,1.4081675917327e-14,0
exponential,0.00628318530717959,2,2,0.0767420536881612,0.0767420536881474,0.00545260616704913,0.00545260616704864,1.79932621100913e-13,8.98761742458111e-14,2.79269929677325e-11,1
exponential,0.00628318530717959,3,3,0.0369475919997211,0.0369475919996838,0.00378406983230759,0.00378406983230568,1.00963260684822e-12,5.04614595079497e-13,2.39557269444678e-11,2
exponential,0.00628318530717959,4,4,0.021812821429284,0.0218128214292809,0.00290821955106174,0.00290821955106154,1.42036468695224e-13,7.0982293467455e-14,5.02749988179082e-11,3
exponential,0.00628318530717959,5,5,0.0142046260644895,0.0142046260644939,0.00234759752226311,0.00234759752226348,3.13003401056933e-13,1.56284887715909e-13,1.49599367519173e-11,4
exponential,0.00628318530717959,6,6,0.00986372382021512,0.00986372382021847,0.00195705270280194,0.00195705270280227,3.39075477237886e-13,1.69080016378081e-13,1.37178628228948e-11,5
