horizontalSide,Z,complexInput,order,denseSeconds,fftSeconds,relativeDifference,denseAnalyticError,fftAnalyticError
8,33,0,1,8.10558578431372e-06,0.000227205666666667,1.88108745405769e-14,7.37883025262038e-15,6.00776382054564e-14
8,33,0,4,9.74474129353234e-06,0.000761882583333333,1.5513124599852e-08,5.73574629258198e-08,5.17323273274774e-08
8,33,1,1,2.46174444444444e-05,0.000209864,1.04271925993532e-14,7.37883025262038e-15,2.09120274167881e-14
8,33,1,4,3.78059166666667e-05,0.00068098675,4.91486952944165e-08,5.73574629258198e-08,6.49136870539672e-08
8,129,0,1,3.24565912698413e-05,0.000311415708333333,6.34090267090938e-14,1.12876160080625e-12,1.36315579423634e-12
8,129,0,4,5.27931893939394e-05,0.00115281633333333,0.000745620578620587,0.0182214080589635,0.0144638716636228
8,129,1,1,6.12632314814815e-05,0.000338779666666667,1.24404467099611e-13,1.12876160080625e-12,1.19794772438843e-12
8,129,1,4,0.000148119770833333,0.00129894133333333,0.0014905983424369,0.0182214080589635,0.0133797073865319
8,513,0,1,0.000132562479166667,0.000734695083333333,1.18809930255102e-12,3.83818829843059e-12,7.61083131191448e-12
8,513,0,4,0.000357140777777778,0.00279006633333333,1.36361050996819,177.986577401404,100.85273257181
8,513,1,1,0.000429515777777778,0.000964028416666667,9.86702639374513e-13,3.83818829843059e-12,4.38523175868282e-12
8,513,1,4,0.00145314966666667,0.003336858,2.18888274541994,177.986577401404,329.728784673553
32,33,0,1,6.35390784313726e-05,0.00078479925,1.88108745405772e-14,7.37883025262038e-15,6.00776382054564e-14
32,33,0,4,9.16186060606061e-05,0.00288939966666667,1.55131245998522e-08,5.73574629258198e-08,5.17323273274774e-08
32,33,1,1,0.000105444736111111,0.000805653416666667,1.04271925993535e-14,7.37883025262038e-15,2.09120274167881e-14
32,33,1,4,0.000250489,0.003151858,4.91486952944162e-08,5.73574629258198e-08,6.49136870539672e-08
32,129,0,1,0.000172128138888889,0.00158444133333333,6.34090267090926e-14,1.12876160080625e-12,1.36315579423634e-12
32,129,0,4,0.000453488,0.006034608,0.000745620578620588,0.0182214080589635,0.0144638716636228
32,129,1,1,0.000461015777777778,0.00182739966666667,1.24404467099633e-13,1.12876160080625e-12,1.19794772438843e-12
32,129,1,4,0.00151906633333333,0.00719414966666667,0.00149059834243679,0.0182214080589635,0.0133797073865319
32,513,0,1,0.00143956633333333,0.00444594133333333,1.18809930255102e-12,3.83818829843059e-12,7.61083131191448e-12
32,513,0,4,0.004827608,0.016975733,1.36361050996819,177.986577401404,100.85273257181
32,513,1,1,0.00490589966666667,0.00553214966666667,9.86702639374634e-13,3.83818829843059e-12,4.38523175868282e-12
32,513,1,4,0.0182387746666667,0.0217896496666667,2.18888274542029,177.986577401404,329.728784673553
