Z,restorationAndMetricSeconds,denseSeconds,fftSeconds,Aw_p,Aw_m,Ag_q,Ag_0,Aio,Amda
33,0.223337208333333,0.00819069133333333,0.009171858,1.87204446964541e-15,8.68652799106871e-16,1.28565169534682e-14,5.34480341636291e-13,2.58736585431356e-15,5.25195328939104e-15
65,0.173766833333333,0.014055858,0.014354483,3.50710056489012e-15,1.15805951695622e-15,7.92158200396477e-14,2.97844152323251e-12,2.77557694128461e-15,2.55305729739905e-13
129,0.18647125,0.016804483,0.0183770663333333,2.77910748947098e-15,5.57820326795846e-15,2.36247958342253e-12,8.89552481200288e-11,5.92508535236176e-15,3.54775915392919e-13
