waveCount,gramError,denseError,fixedError,targetedError
1,5.55111512312578e-16,4.0929447209237e-07,4.0929447209237e-07,4.0929447209237e-07
2,4.40446845430357e-14,4.0929447209237e-07,4.0929447209237e-07,4.0929447209237e-07
3,1.46668156314113e-13,4.0929447209237e-07,4.0929447209237e-07,4.0929447209237e-07
4,1.51516244708976e-13,4.55839398227909e-07,4.55753792039104e-07,4.55839398227909e-07
5,1.90952826136435e-13,5.21000856679166e-07,5.20898709055473e-07,5.21000856679166e-07
6,2.69689620138927e-13,5.78952267460409e-07,5.78836477416189e-07,5.78952267460409e-07
7,2.93566597727308e-13,6.32288106316992e-07,6.32160833902162e-07,6.32288106316992e-07
8,2.97754851995154e-13,6.80091829963203e-07,6.79953814142209e-07,6.80091829963203e-07
9,2.98528607583135e-13,7.23395828572393e-07,7.23247410405747e-07,7.23395828572393e-07
10,2.99651613501721e-13,7.65376796607597e-07,7.65219340337353e-07,7.65376796607597e-07
11,1.4981694491451e-11,1.96154064724396e-06,1.96153632714413e-06,1.96154064724396e-06
12,5.25674048957926e-10,5.51394668946159e-06,5.51393986825133e-06,5.51394668946159e-06
13,1.0365750906685e-08,6.63427636027336e-06,6.63427454128396e-06,6.63427636027336e-06
14,1.20184250196231e-07,8.09114135336131e-06,8.09114135336131e-06,8.09114135336131e-06
15,8.37241106187854e-07,9.65292110777227e-06,9.65292019827757e-06,9.65292110777227e-06
16,3.4953480682457e-06,1.02503572634305e-05,1.02503572634305e-05,1.02503572634305e-05
