interaction,inputA,inputB,output,channel,error,modeA,signA,modeB,signB,referenceStability,productCount,zeroProductCount
1,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,32
1,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,32
1,wave,boundary,wave,u*dx(eta),0,1,1,1,0,0,0,32
1,wave,boundary,wave,v*dy(eta),0.000204549563437224,1,1,1,0,1.77635683940025e-15,32,0
1,wave,boundary,wave,w*dz(eta),0.00128010970623252,2,1,1,0,1.17371567358105e-15,32,0
1,wave,boundary,wave,w*eta*dlogN2,0,1,1,1,0,0,0,32
1,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,32
1,boundary,wave,wave,v*dy(u),0.00860907374627111,1,0,1,1,3.77475828372553e-15,32,0
1,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,32
1,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,32
1,boundary,wave,wave,v*dy(v),0.000911979222961653,1,0,1,1,3.77475828372553e-15,32,0
1,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,32
1,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,32
1,boundary,wave,wave,v*dy(w),0.011486394611853,1,0,2,1,3.5527136788005e-15,32,0
1,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,32
1,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,32
1,boundary,wave,wave,v*dy(eta),0.00296613523438101,1,0,2,1,2.34241917155649e-14,32,0
1,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,32
1,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,32
1,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,v*dy(u),0.000134930285325211,-1,0,1,0,1.77635683940025e-15,8,0
1,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,v*dy(eta),0.000200533624744121,-1,0,1,0,1.77635683940025e-15,8,0
1,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,8
1,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,8
1,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,v*dy(u),0.00874957321966277,1,0,-1,0,3.77475828372553e-15,8,0
1,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,u*dx(v),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,v*dy(v),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,u*dx(eta),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,v*dy(eta),0.00442199212567111,2,0,3,0,3.5527136788005e-15,8,0
1,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,8
1,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,8
1,boundary,boundary,wave,u*dx(u),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,v*dy(u),0.0368589490262884,2,0,1,0,8.74574409559514e-07,4,0
1,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,u*dx(v),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,v*dy(v),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,u*dx(eta),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,v*dy(eta),0.106292523441847,2,0,1,0,7.96955687221157e-07,4,0
1,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,4
1,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,4
2,wave,wave,wave,u*dx(u),0,1,1,1,1,0,0,256
2,wave,wave,wave,v*dy(u),0.246291743377581,8,1,7,1,1.53885297280105e-15,256,0
2,wave,wave,wave,w*dz(u),0.246289009046408,8,1,7,1,1.65065753905497e-15,256,0
2,wave,wave,wave,u*dx(v),0,1,1,1,1,0,0,256
2,wave,wave,wave,v*dy(v),0.128370626057277,8,1,7,1,9.02702908548143e-16,256,0
2,wave,wave,wave,w*dz(v),0.128369181859713,8,1,7,1,8.66914846345144e-16,256,0
2,wave,wave,wave,u*dx(w),0,1,1,1,1,0,0,256
2,wave,wave,wave,v*dy(w),0.0301618380564183,8,1,8,1,6.39892939332488e-16,256,0
2,wave,wave,wave,w*dz(w),0.0301618370262569,8,1,8,1,9.50313692336645e-16,256,0
2,wave,wave,wave,u*dx(eta),0,1,1,1,1,0,0,256
2,wave,wave,wave,v*dy(eta),0.385762528118697,8,1,8,1,2.21570419238761e-15,256,0
2,wave,wave,wave,w*dz(eta),0.385762514943204,8,1,8,1,1.63588638067844e-15,256,0
2,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,256
2,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,64
2,wave,apv,wave,v*dy(u),0.00810350005900499,8,1,3,0,1.34784003754287e-15,64,0
2,wave,apv,wave,w*dz(u),0.00825686119639328,8,1,3,0,1.40828931234193e-15,64,0
2,wave,apv,wave,u*dx(v),0,1,1,-1,0,0,0,64
2,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,64
2,wave,apv,wave,w*dz(v),0,1,1,-1,0,0,0,64
2,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,64
2,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,64
2,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,64
2,wave,apv,wave,u*dx(eta),0,1,1,-1,0,0,0,64
2,wave,apv,wave,v*dy(eta),0.00914973729127277,8,1,3,0,1.47878908984864e-15,64,0
2,wave,apv,wave,w*dz(eta),0.0089798702998163,8,1,3,0,1.71971981542942e-15,64,0
2,wave,apv,wave,w*eta*dlogN2,0,1,1,-1,0,0,0,64
2,apv,wave,wave,u*dx(u),0,-1,0,1,1,0,0,64
2,apv,wave,wave,v*dy(u),0.00810349980043578,3,0,8,1,1.40161197450996e-15,64,0
2,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,64
2,apv,wave,wave,u*dx(v),0,-1,0,1,1,0,0,64
2,apv,wave,wave,v*dy(v),0.00418843571884997,3,0,8,1,6.6199704994213e-16,64,0
2,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,64
2,apv,wave,wave,u*dx(w),0,-1,0,1,1,0,0,64
2,apv,wave,wave,v*dy(w),0.000668618145056877,3,0,8,1,4.64970743633393e-16,64,0
2,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,64
2,apv,wave,wave,u*dx(eta),0,-1,0,1,1,0,0,64
2,apv,wave,wave,v*dy(eta),0.00897987036443442,3,0,8,1,2.06532584017455e-15,64,0
2,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,64
2,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,64
2,wave,boundary,wave,u*dx(u),0,1,1,1,0,0,0,32
2,wave,boundary,wave,v*dy(u),0.00520957804990664,1,1,1,0,3.5527136788005e-15,32,0
2,wave,boundary,wave,w*dz(u),0.0289218232857577,2,1,1,0,2.0903305008506e-14,32,0
2,wave,boundary,wave,u*dx(v),0,1,1,1,0,0,0,32
2,wave,boundary,wave,v*dy(v),0,1,1,1,0,0,0,32
2,wave,boundary,wave,w*dz(v),0,1,1,1,0,0,0,32
2,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,32
2,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,32
2,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,32
2,wave,boundary,wave,u*dx(eta),0,1,1,1,0,0,0,32
2,wave,boundary,wave,v*dy(eta),0.00231814915112658,8,1,1,0,3.10862446895044e-15,32,0
2,wave,boundary,wave,w*dz(eta),0.004623819116386,2,1,1,0,3.88578058618805e-15,32,0
2,wave,boundary,wave,w*eta*dlogN2,0,1,1,1,0,0,0,32
2,boundary,wave,wave,u*dx(u),0,1,0,1,1,0,0,32
2,boundary,wave,wave,v*dy(u),0.00785588519985233,1,0,1,1,3.99680288865056e-15,32,0
2,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,32
2,boundary,wave,wave,u*dx(v),0,1,0,1,1,0,0,32
2,boundary,wave,wave,v*dy(v),0.0039935762530169,1,0,1,1,3.77475828372553e-15,32,0
2,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,32
2,boundary,wave,wave,u*dx(w),0,1,0,1,1,0,0,32
2,boundary,wave,wave,v*dy(w),0.0121798364852631,1,0,2,1,3.76019022423548e-15,32,0
2,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,32
2,boundary,wave,wave,u*dx(eta),0,1,0,1,1,0,0,32
2,boundary,wave,wave,v*dy(eta),0.00287641015733055,1,0,2,1,2.50990138890912e-14,32,0
2,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,32
2,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,32
2,apv,boundary,wave,u*dx(u),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,v*dy(u),0.00516845379993452,-1,0,1,0,3.33066907387547e-15,8,0
2,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,u*dx(v),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,v*dy(v),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,u*dx(eta),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,v*dy(eta),0.0021746975123262,3,0,1,0,3.10862446895044e-15,8,0
2,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,8
2,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,8
2,boundary,apv,wave,u*dx(u),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,v*dy(u),0.00784191336884938,1,0,-1,0,3.77475828372553e-15,8,0
2,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,u*dx(v),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,v*dy(v),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,u*dx(eta),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,v*dy(eta),0.00443104407150224,2,0,3,0,3.5527136788005e-15,8,0
2,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,8
2,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,8
2,boundary,boundary,wave,u*dx(u),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,v*dy(u),0.0279632834222248,1,0,1,0,1.20237217415831e-06,4,0
2,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,u*dx(v),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,v*dy(v),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,u*dx(eta),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,v*dy(eta),0.00962226114787175,2,0,1,0,4.15854870206012e-07,4,0
2,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,4
2,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,4
3,wave,wave,wave,u*dx(u),0.128370657525258,8,1,7,1,7.20489116545902e-16,256,0
3,wave,wave,wave,v*dy(u),0.128370657525258,8,1,7,1,1.04045812745101e-15,256,0
3,wave,wave,wave,w*dz(u),0.128369221462611,8,1,7,1,7.41501953741043e-16,256,0
3,wave,wave,wave,u*dx(v),0.246291803840869,8,-1,7,1,1.48626800620543e-15,256,0
3,wave,wave,wave,v*dy(v),0.246291803840869,8,-1,7,1,2.07923339776333e-15,256,0
3,wave,wave,wave,w*dz(v),0.24628908511733,8,1,7,1,1.51053096600722e-15,256,0
3,wave,wave,wave,u*dx(w),0.0301618431905858,8,1,8,1,7.17126932069463e-16,256,0
3,wave,wave,wave,v*dy(w),0.0301618431905858,8,1,8,1,7.06747380234993e-16,256,0
3,wave,wave,wave,w*dz(w),0.0301618400950641,8,1,8,1,5.95751633801275e-16,256,0
3,wave,wave,wave,u*dx(eta),0.385762590971989,8,1,8,1,2.19587963572634e-15,256,0
3,wave,wave,wave,v*dy(eta),0.385762590971989,8,1,8,1,2.11383274529907e-15,256,0
3,wave,wave,wave,w*dz(eta),0.385762551381084,8,1,8,1,1.61038226527583e-15,256,0
3,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,256
3,wave,apv,wave,u*dx(u),0.0041884358674993,8,1,3,0,6.78751971175203e-16,64,0
3,wave,apv,wave,v*dy(u),0.0041884358674993,8,1,3,0,6.77591022315199e-16,64,0
3,wave,apv,wave,w*dz(u),0.0042674082639341,8,1,3,0,7.05004349275648e-16,64,0
3,wave,apv,wave,u*dx(v),0.00810350005900499,8,1,3,0,1.35271663317051e-15,64,0
3,wave,apv,wave,v*dy(v),0.00810350005900499,8,1,3,0,1.34784003754287e-15,64,0
3,wave,apv,wave,w*dz(v),0.00825686119639328,8,1,3,0,1.40828931234193e-15,64,0
3,wave,apv,wave,u*dx(w),0,1,1,-1,0,0,0,64
3,wave,apv,wave,v*dy(w),0,1,1,-1,0,0,0,64
3,wave,apv,wave,w*dz(w),0,1,1,-1,0,0,0,64
3,wave,apv,wave,u*dx(eta),0.00914973729127279,8,1,3,0,1.49259588927795e-15,64,0
3,wave,apv,wave,v*dy(eta),0.00914973729127277,8,1,3,0,1.47878908984864e-15,64,0
3,wave,apv,wave,w*dz(eta),0.0089798702998163,8,1,3,0,1.71971981542942e-15,64,0
3,wave,apv,wave,w*eta*dlogN2,0,1,1,-1,0,0,0,64
3,apv,wave,wave,u*dx(u),0.00418843542081886,3,0,8,1,6.02719354422414e-16,64,0
3,apv,wave,wave,v*dy(u),0.00418843542081886,3,0,8,1,6.02719354422414e-16,64,0
3,apv,wave,wave,w*dz(u),0,-1,0,1,1,0,0,64
3,apv,wave,wave,u*dx(v),0.0081034992820216,3,0,8,1,1.19947848346849e-15,64,0
3,apv,wave,wave,v*dy(v),0.0081034992820216,3,0,8,1,1.19947848346849e-15,64,0
3,apv,wave,wave,w*dz(v),0,-1,0,1,1,0,0,64
3,apv,wave,wave,u*dx(w),0.000668618211524268,3,0,8,1,1.0480324789834e-15,64,0
3,apv,wave,wave,v*dy(w),0.000668618211524268,3,0,8,1,1.0480324789834e-15,64,0
3,apv,wave,wave,w*dz(w),0,-1,0,1,1,0,0,64
3,apv,wave,wave,u*dx(eta),0.00897987049287786,3,0,8,1,1.6865215343471e-15,64,0
3,apv,wave,wave,v*dy(eta),0.00897987049287786,3,0,8,1,1.6865215343471e-15,64,0
3,apv,wave,wave,w*dz(eta),0,-1,0,1,1,0,0,64
3,apv,wave,wave,w*eta*dlogN2,0,-1,0,1,1,0,0,64
3,wave,boundary,wave,u*dx(u),0.000513777420095289,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,v*dy(u),0.000513777420095305,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,w*dz(u),0.00380270100690311,2,1,1,0,5.06621185216162e-15,32,0
3,wave,boundary,wave,u*dx(v),0.00101496158103381,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,v*dy(v),0.0010149615810338,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,w*dz(v),0.00748426261145807,2,1,1,0,9.84829307288662e-15,32,0
3,wave,boundary,wave,u*dx(w),0,1,1,1,0,0,0,32
3,wave,boundary,wave,v*dy(w),0,1,1,1,0,0,0,32
3,wave,boundary,wave,w*dz(w),0,1,1,1,0,0,0,32
3,wave,boundary,wave,u*dx(eta),0.000862745738881726,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,v*dy(eta),0.000862745738881726,1,1,1,0,2.44249065417534e-15,32,0
3,wave,boundary,wave,w*dz(eta),0.00399888006974593,8,1,1,0,2.1094237467878e-15,32,0
3,wave,boundary,wave,w*eta*dlogN2,0,1,1,1,0,0,0,32
3,boundary,wave,wave,u*dx(u),0.00395027303033407,1,0,1,1,3.77475828372553e-15,32,0
3,boundary,wave,wave,v*dy(u),0.00395027303033407,1,0,1,1,3.77475828372553e-15,32,0
3,boundary,wave,wave,w*dz(u),0,1,0,1,1,0,0,32
3,boundary,wave,wave,u*dx(v),0.0077707818577009,1,0,1,1,3.77475828372553e-15,32,0
3,boundary,wave,wave,v*dy(v),0.0077707818577009,1,0,1,1,3.77475828372553e-15,32,0
3,boundary,wave,wave,w*dz(v),0,1,0,1,1,0,0,32
3,boundary,wave,wave,u*dx(w),0.0123257721880465,1,0,2,1,3.5527136788005e-15,32,0
3,boundary,wave,wave,v*dy(w),0.0123257721880465,1,0,2,1,3.5527136788005e-15,32,0
3,boundary,wave,wave,w*dz(w),0,1,0,1,1,0,0,32
3,boundary,wave,wave,u*dx(eta),0.00293712570460324,1,0,2,1,2.40948103262252e-14,32,0
3,boundary,wave,wave,v*dy(eta),0.00293712570460324,1,0,2,1,2.40948103262252e-14,32,0
3,boundary,wave,wave,w*dz(eta),0,1,0,1,1,0,0,32
3,boundary,wave,wave,w*eta*dlogN2,0,1,0,1,1,0,0,32
3,apv,boundary,wave,u*dx(u),0.000505749879680614,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,v*dy(u),0.000505749879680614,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,w*dz(u),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,u*dx(v),0.000999156826262398,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,v*dy(v),0.000999156826262398,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,w*dz(v),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,u*dx(w),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,v*dy(w),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,w*dz(w),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,u*dx(eta),0.000854382185237713,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,v*dy(eta),0.000854382185237713,-1,0,1,0,2.44249065417534e-15,8,0
3,apv,boundary,wave,w*dz(eta),0,-1,0,1,0,0,0,8
3,apv,boundary,wave,w*eta*dlogN2,0,-1,0,1,0,0,0,8
3,boundary,apv,wave,u*dx(u),0.0039864669727707,1,0,-1,0,3.77475828372553e-15,8,0
3,boundary,apv,wave,v*dy(u),0.0039864669727707,1,0,-1,0,3.77475828372553e-15,8,0
3,boundary,apv,wave,w*dz(u),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,u*dx(v),0.00784191336884938,1,0,-1,0,3.77475828372553e-15,8,0
3,boundary,apv,wave,v*dy(v),0.00784191336884938,1,0,-1,0,3.77475828372553e-15,8,0
3,boundary,apv,wave,w*dz(v),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,u*dx(w),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,v*dy(w),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,w*dz(w),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,u*dx(eta),0.00443104407150224,2,0,3,0,3.5527136788005e-15,8,0
3,boundary,apv,wave,v*dy(eta),0.00443104407150224,2,0,3,0,3.5527136788005e-15,8,0
3,boundary,apv,wave,w*dz(eta),0,1,0,-1,0,0,0,8
3,boundary,apv,wave,w*eta*dlogN2,0,1,0,-1,0,0,0,8
3,boundary,boundary,wave,u*dx(u),0.0126098264071186,1,0,1,0,1.52092986904773e-06,4,0
3,boundary,boundary,wave,v*dy(u),0.0126098264071186,1,0,1,0,1.52092986904773e-06,4,0
3,boundary,boundary,wave,w*dz(u),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,u*dx(v),0.0247927570735751,1,0,1,0,1.52092986904773e-06,4,0
3,boundary,boundary,wave,v*dy(v),0.0247927570735751,1,0,1,0,1.52092986904773e-06,4,0
3,boundary,boundary,wave,w*dz(v),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,u*dx(w),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,v*dy(w),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,w*dz(w),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,u*dx(eta),0.0461590734697966,2,0,1,0,4.28607650831305e-07,4,0
3,boundary,boundary,wave,v*dy(eta),0.0461590734697966,2,0,1,0,4.28607650831305e-07,4,0
3,boundary,boundary,wave,w*dz(eta),0,1,0,1,0,0,0,4
3,boundary,boundary,wave,w*eta*dlogN2,0,1,0,1,0,0,0,4
4,wave,wave,wave,u*dx(u),0.199767787845965,8,1,7,1,1.30189728176145e-15,256,0
4,wave,wave,wave,v*dy(u),0,1,1,1,1,0,0,256
4,wave,wave,wave,w*dz(u),0.1997655734925,8,1,7,1,1.08763633149196e-15,256,0
4,wave,wave,wave,u*dx(v),0.199767787845965,8,1,7,1,1.16331426382434e-15,256,0
4,wave,wave,wave,v*dy(v),0,1,1,1,1,0,0,256
4,wave,wave,wave,w*dz(v),0.1997655734925,8,1,7,1,1.20797590894461e-15,256,0
4,wave,wave,wave,u*dx(w),0.0191156358914472,8,1,8,1,4.44089209850063e-16,256,0
4,wave,wave,wave,v*dy(w),0,1,1,1,1,0,0,256
4,wave,wave,wave,w*dz(w),0.0191156332735202,8,1,8,1,5.55111512312578e-16,256,0
4,wave,wave,wave,u*dx(eta),0.380931167564874,8,1,8,1,1.99200569396713e-15,256,0
4,wave,wave,wave,v*dy(eta),0,1,1,1,1,0,0,256
4,wave,wave,wave,w*dz(eta),0.380931115395621,8,1,8,1,1.83162660277329e-15,256,0
4,wave,wave,wave,w*eta*dlogN2,0,1,1,1,1,0,0,256
4,wave,apv,wave,u*dx(u),0,1,1,-1,0,0,0,64
4,wave,apv,wave,v*dy(u),0,1,1,-1,0,0,0,64
4,wave,apv,wave,w*dz(u),0,1,1,-1,0,0,0,64
4,wave,apv,wave,u*dx(v),0.00654339703885939,8,1,3,0,1.02398978635202e-15,64,0
4,wave,apv,wave,v*dy(v),0,1,1,-1,0,0,0,64
