Location,Severity,Fixability,Description,CheckID,LineStart,LineEnd,ColumnStart,ColumnEnd,FullFilename
issue513VerticalPrimitives.m,,,Value assigned to variable might be unused.,NASGU,102,102,1,6,/Users/jearly/Documents/OceanKitRepositories/wvm-v4-issue513-real/Benchmarks/issue513VerticalPrimitives.m
issue513VerticalPrimitives.m,,,Value assigned to variable might be unused.,NASGU,103,103,1,3,/Users/jearly/Documents/OceanKitRepositories/wvm-v4-issue513-real/Benchmarks/issue513VerticalPrimitives.m
